1844,2019-08-30,209,210,12:35,205,09:01,208,17700株,4百万円,0,0,207.746円,33回
1844,2019-09-02,209,211,15:00,208,09:40,211,7300株,2百万円,+3,+1.44,209.863円,16回
1844,2019-09-03,210,211,14:59,209,10:29,211,6200株,1百万円,0,0,209.645円,18回
1844,2019-09-03,212,212,09:00,210,10:03,212,2800株,1百万円,+1,+0.47,211.5円,8回
1844,2019-09-05,211,214,12:56,211,09:00,211,15000株,3百万円,-1,-0.47,212.22円,23回
1844,2019-09-05,214,217,15:00,213,09:01,217,14800株,3百万円,+6,+2.84,214.622円,33回
1844,2019-09-07,217,218,09:52,215,12:34,216,9300株,2百万円,-1,-0.46,216.624円,21回
1844,2019-09-10,218,225,10:34,218,09:00,221,62300株,14百万円,+5,+2.31,220.618円,91回
1844,2019-09-11,221,224,09:18,220,10:30,224,15900株,4百万円,+3,+1.36,221.899円,33回
1844,2019-09-12,227,236,14:59,226,09:01,234,115400株,27百万円,+10,+4.46,230.354円,162回
1844,2019-09-13,230,233,13:15,230,09:00,230,65500株,15百万円,-4,-1.71,230.83円,71回
1844,2019-09-17,206,230,15:00,205,09:07,230,252400株,55百万円,0,0,216.785円,312回
1844,2019-09-17,214,219,09:43,214,09:05,215,122400株,26百万円,-15,-6.52,215.478円,168回,31.92億円
1844,2019-09-19,216,218,09:46,213,13:52,214,29600株,6百万円,-1,-0.47,215.527円,67回,31.78億円
1844,2019-09-20,214,214,09:00,210,12:32,213,71200株,15百万円,-1,-0.47,211.874円,85回,31.63億円
1844,2019-09-24,213,218,14:06,213,09:00,218,51000株,11百万円,+5,+2.35,215.096円,67回,32.37億円
1844,2019-09-25,218,220,09:24,217,13:15,219,27200株,6百万円,+1,+0.46,218.636円,44回,32.52億円
1844,2019-09-26,220,224,09:23,217,12:32,219,35800株,8百万円,0,0,220.514円,61回,32.52億円
1844,2019-09-27,220,224,12:30,220,09:00,221,22700株,5百万円,+2,+0.91,222.859円,40回,32.82億円
1844,2019-09-30,224,224,09:00,219,09:25,219,24900株,6百万円,-2,-0.90,220.94円,29回,32.52億円
1844,2019-10-01,222,222,09:00,219,09:38,219,21500株,5百万円,0,0,220.307円,40回,32.52億円
1844,2019-10-02,219,220,09:00,217,09:10,220,18000株,4百万円,+1,+0.46,218.678円,29回,32.67億円
1844,2019-10-03,216,218,09:06,215,10:13,215,17200株,4百万円,-5,-2.27,216.093円,32回,31.92億円
1844,2019-10-04,215,218,14:37,213,13:23,218,24800株,5百万円,+3,+1.40,215.395円,43回,32.37億円
1844,2019-10-07,220,220,09:00,216,10:48,220,13900株,3百万円,+2,+0.92,217.684円,29回,32.67億円
1844,2019-10-08,220,227,13:28,217,09:51,226,117000株,26百万円,+6,+2.73,223.087円,106回,33.56億円
1844,2019-10-09,230,234,09:45,226,11:26,232,192700株,44百万円,+6,+2.65,230.238円,179回,34.45億円
1844,2019-10-10,230,231,10:28,227,09:17,230,52600株,12百万円,-2,-0.86,229.477円,72回,34.15億円
1844,2019-10-11,230,231,09:07,222,10:13,230,46100株,10百万円,0,0,226.683円,77回,34.15億円
1844,2019-10-15,238,250,09:00,230,10:37,233,481400株,115百万円,+3,+1.30,237.896円,474回,34.60億円
1844,2019-10-16,233,235,09:01,229,13:28,229,88200株,20百万円,-4,-1.72,231.432円,123回,34.00億円
1844,2019-10-17,231,231,09:00,227,09:02,228,14600株,3百万円,-1,-0.44,228.808円,25回,33.85億円
1844,2019-10-18,230,230,09:00,225,13:56,225,23200株,5百万円,-3,-1.32,227.435円,46回,33.41億円
1844,2019-10-21,225,230,13:27,225,09:00,227,21100株,5百万円,+2,+0.89,226.374円,47回,33.71億円
1844,2019-10-23,227,227,09:00,223,14:59,223,48400株,11百万円,-4,-1.76,224.988円,37回,33.11億円
1844,2019-10-24,220,222,09:03,218,11:03,221,67400株,15百万円,-2,-0.90,219.899円,80回,32.82億円
1844,2019-10-25,222,222,09:00,219,10:17,222,22500株,5百万円,+1,+0.45,220.84円,34回,32.96億円
1844,2019-10-28,223,223,09:00,218,12:36,219,37200株,8百万円,-3,-1.35,219.965円,44回,32.52億円
1844,2019-10-29,220,222,11:11,219,14:46,222,16300株,4百万円,+3,+1.37,220.73円,34回,32.96億円
1844,2019-10-30,220,221,09:06,219,09:24,219,13300株,3百万円,-3,-1.35,219.624円,34回,32.52億円
1844,2019-10-31,220,220,09:00,217,11:21,218,24100株,5百万円,-1,-0.46,218.054円,39回,32.37億円
1844,2019-11-01,218,218,09:00,213,14:25,216,34000株,7百万円,-2,-0.92,214.85円,35回,32.07億円
1844,2019-11-05,218,218,09:00,215,09:28,216,12500株,3百万円,0,0,216.544円,30回,32.07億円
1844,2019-11-07,219,221,09:44,219,09:00,220,4200株,1百万円,-1,-0.45,219.738円,19回,32.67億円
1844,2019-11-08,220,221,09:21,215,12:30,217,31800株,7百万円,-3,-1.36,217.604円,49回,32.22億円
1844,2019-11-11,217,219,14:32,215,10:17,216,18900株,4百万円,-1,-0.46,216.402円,31回,32.07億円
1844,2019-11-12,216,220,10:26,216,09:00,216,16500株,4百万円,0,0,217.679円,25回,32.07億円
1844,2019-11-13,217,219,13:56,217,09:00,218,11200株,2百万円,+2,+0.93,217.58円,19回,32.37億円
1844,2019-11-14,219,223,13:38,218,10:44,222,53300株,12百万円,+4,+1.83,221.178円,60回,32.96億円
1844,2019-11-15,220,223,10:08,218,12:30,218,16700株,4百万円,-4,-1.80,220.18円,25回,32.37億円
1844,2019-11-18,218,220,10:02,215,13:55,217,44000株,10百万円,-1,-0.46,217.402円,53回,32.22億円
1844,2019-11-19,217,220,09:29,217,09:00,217,17800株,4百万円,0,0,218.039円,30回,32.22億円
1844,2019-11-20,218,219,10:00,217,10:59,217,15300株,3百万円,0,0,217.477円,18回,32.22億円
1844,2019-11-21,216,217,09:08,214,10:55,216,50200株,11百万円,-1,-0.46,215.377円,38回,32.07億円
1844,2019-11-22,216,217,14:22,214,12:48,215,20800株,4百万円,-1,-0.46,214.933円,27回,31.92億円
