1994,2019-08-30,690,697,10:17,690,09:00,693,2700株,2百万円,+7,+1.02,693.556円,16回
1994,2019-09-02,693,694,09:34,688,14:45,688,5800株,4百万円,-5,-0.72,690.741円,35回
1994,2019-09-03,685,685,09:00,678,09:14,680,10000株,7百万円,-8,-1.16,681.53円,61回
1994,2019-09-03,681,686,09:29,681,09:00,686,2200株,2百万円,+6,+0.88,684.954円,9回
1994,2019-09-05,683,685,09:05,678,14:41,681,23700株,16百万円,-5,-0.73,681.283円,88回
1994,2019-09-05,682,686,09:35,682,09:00,682,14600株,10百万円,+1,+0.15,683.069円,71回
1994,2019-09-07,685,688,09:09,681,14:57,681,32100株,22百万円,-1,-0.15,684.935円,95回
1994,2019-09-10,684,684,09:00,678,14:59,678,27300株,19百万円,-3,-0.44,680.608円,137回
1994,2019-09-11,680,692,15:00,680,09:00,692,8200株,6百万円,+14,+2.06,684.878円,41回
1994,2019-09-12,695,699,09:01,688,10:51,690,14300株,10百万円,-2,-0.29,691.986円,61回
1994,2019-09-13,691,691,09:00,686,09:34,688,5300株,4百万円,-2,-0.29,689.057円,32回
1994,2019-09-17,689,690,11:23,685,12:44,687,7700株,5百万円,-1,-0.15,687.013円,29回
1994,2019-09-17,687,693,14:26,686,09:04,689,9900株,7百万円,+2,+0.29,689.212円,49回,65.82億円
1994,2019-09-19,691,699,09:26,691,09:00,693,18500株,13百万円,+4,+0.58,694.043円,80回,66.20億円
1994,2019-09-20,699,699,09:00,693,10:32,693,23400株,16百万円,0,0,695.645円,78回,66.20億円
1994,2019-09-24,698,699,09:24,694,09:59,696,19900株,14百万円,+3,+0.43,696.387円,82回,66.49億円
1994,2019-09-25,697,697,09:00,692,10:27,693,23900株,17百万円,-3,-0.43,695.356円,44回,66.20億円
1994,2019-09-26,702,703,10:04,696,14:54,697,26700株,19百万円,+4,+0.58,699.79円,107回,66.58億円
1994,2019-09-27,700,714,15:00,699,09:00,714,28800株,20百万円,+17,+2.44,705.455円,106回,68.21億円
1994,2019-09-30,714,724,09:16,710,09:47,722,32600株,23百万円,+8,+1.12,716.877円,120回,68.97億円
1994,2019-10-01,728,729,10:43,716,14:07,722,63400株,46百万円,0,0,723.651円,199回,68.97億円
1994,2019-10-02,711,716,09:53,711,09:00,711,20500株,15百万円,-11,-1.52,712.634円,65回,67.92億円
1994,2019-10-03,708,714,14:56,695,09:19,710,40700株,29百万円,-1,-0.14,704.612円,122回,67.83億円
1994,2019-10-04,712,729,14:48,709,09:06,727,38700株,28百万円,+17,+2.39,719.925円,115回,69.45億円
