2191,2019-08-30,188,192,12:36,187,10:23,189,135300株,26百万円,+1,+0.53,189.318円,159回
2191,2019-09-02,190,191,10:05,188,09:23,191,76100株,14百万円,+2,+1.06,189.698円,103回
2191,2019-09-03,189,190,10:01,186,14:43,188,97900株,18百万円,-3,-1.57,187.748円,131回
2191,2019-09-03,186,186,09:00,182,13:47,185,212200株,39百万円,-3,-1.60,184.297円,218回
2191,2019-09-05,185,189,11:22,183,09:00,185,180900株,34百万円,0,0,185.979円,174回
2191,2019-09-05,185,188,11:13,184,09:01,185,192800株,36百万円,0,0,185.083円,141回
2191,2019-09-07,185,186,15:00,183,10:55,186,73600株,14百万円,+1,+0.54,184.458円,81回
2191,2019-09-10,185,188,11:05,184,09:12,186,144300株,27百万円,0,0,186.079円,127回
2191,2019-09-11,187,192,14:54,186,09:45,188,183300株,34百万円,+2,+1.08,187.798円,156回
2191,2019-09-12,193,194,09:00,188,10:08,191,143900株,27百万円,+3,+1.60,190.978円,135回
2191,2019-09-13,192,192,09:00,186,10:42,188,195700株,37百万円,-3,-1.57,188.342円,173回
2191,2019-09-17,186,190,13:51,185,09:03,189,116300株,22百万円,+1,+0.53,187.115円,114回
2191,2019-09-17,189,190,09:00,187,13:31,187,81100株,15百万円,-2,-1.06,188.215円,91回,35.83億円
2191,2019-09-19,188,188,09:00,186,09:22,187,60800株,11百万円,0,0,187.434円,78回,35.83億円
2191,2019-09-20,186,189,11:23,186,09:00,188,113600株,21百万円,+1,+0.53,187.184円,92回,36.68億円
2191,2019-09-24,188,190,14:59,187,09:01,188,106400株,20百万円,0,0,188.166円,93回,36.68億円
2191,2019-09-25,188,188,09:00,186,13:09,187,68000株,13百万円,-1,-0.53,187.534円,69回,36.48億円
2191,2019-09-26,188,191,12:46,187,09:02,189,238300株,45百万円,+2,+1.07,188.468円,139回,36.87億円
2191,2019-09-27,189,189,09:00,185,14:36,186,166800株,31百万円,-3,-1.59,186.895円,103回,36.29億円
2191,2019-09-30,188,188,09:00,184,14:59,185,125000株,23百万円,-1,-0.54,185.343円,102回,36.09億円
2191,2019-10-01,186,187,12:42,184,10:32,185,136500株,25百万円,0,0,185.248円,85回,36.09億円
2191,2019-10-02,184,185,09:00,184,09:00,185,107400株,20百万円,0,0,184.454円,89回,36.09億円
2191,2019-10-03,200,207,09:07,190,13:50,192,3227700株,636百万円,+7,+3.78,196.946円,1965回,37.46億円
2191,2019-10-04,195,197,09:00,187,12:37,188,782000株,150百万円,-4,-2.08,192.061円,513回,36.68億円
2191,2019-10-07,189,193,12:52,186,09:56,192,390600株,74百万円,+4,+2.13,188.735円,267回,37.46億円
2191,2019-10-08,189,189,09:00,186,13:23,186,393000株,74百万円,-6,-3.13,187.6円,336回,36.29億円
2191,2019-10-09,185,186,09:00,184,09:48,185,246900株,46百万円,-1,-0.54,184.795円,238回,36.09億円
2191,2019-10-10,184,184,09:00,180,14:45,180,410000株,75百万円,-5,-2.70,182.209円,271回,35.12億円
2191,2019-10-11,181,182,11:21,177,14:27,177,241600株,43百万円,-3,-1.67,179.852円,148回,34.53億円
2191,2019-10-15,177,177,09:00,170,09:16,171,451600株,78百万円,-6,-3.39,172.773円,275回,33.36億円
2191,2019-10-16,172,173,09:09,171,10:10,171,163300株,28百万円,0,0,171.871円,112回,33.36億円
2191,2019-10-17,165,167,10:29,161,09:14,164,504200株,83百万円,-7,-4.09,163.726円,297回,31.99億円
2191,2019-10-18,169,185,09:01,168,09:00,168,1272800株,223百万円,+4,+2.44,175.393円,1075回,33.78億円
2191,2019-10-21,167,167,09:00,164,09:45,167,224000株,37百万円,-1,-0.60,165.651円,161回,33.58億円
2191,2019-10-23,167,170,12:35,166,09:02,170,185300株,31百万円,+3,+1.80,168.11円,151回,34.19億円
2191,2019-10-24,170,171,14:44,168,09:24,169,139600株,24百万円,-1,-0.59,169.671円,102回,33.98億円
2191,2019-10-25,170,172,14:56,168,09:20,170,137600株,23百万円,+1,+0.59,169.756円,142回,34.19億円
2191,2019-10-28,171,174,11:05,170,09:00,170,191000株,33百万円,0,0,171.561円,137回,34.19億円
2191,2019-10-29,171,176,10:46,171,09:00,172,205900株,36百万円,+2,+1.18,172.822円,165回,34.59億円
2191,2019-10-30,173,176,09:08,171,10:19,172,169800株,29百万円,0,0,173.032円,145回,34.59億円
