2362,2019-08-30,774,788,10:15,774,09:00,787,452400株,354百万円,+16,+2.08,782.653円,831回
2362,2019-09-02,787,791,12:38,784,09:40,785,261100株,206百万円,-2,-0.25,787.676円,405回
2362,2019-09-03,787,800,12:39,784,09:01,797,344300株,274百万円,+12,+1.53,795.167円,759回
2362,2019-09-03,792,795,11:30,785,14:59,785,236800株,187百万円,-12,-1.51,789.423円,373回
2362,2019-09-05,791,807,14:05,791,09:00,807,405900株,326百万円,+22,+2.80,802.708円,720回
2362,2019-09-05,809,816,09:05,808,10:17,814,330600株,268百万円,+7,+0.87,811.897円,785回
2362,2019-09-07,819,860,12:43,819,09:00,855,868000株,733百万円,+41,+5.04,844.393円,1734回
2362,2019-09-10,893,900,09:10,874,09:18,884,1418600株,1260百万円,+29,+3.39,887.976円,2763回
2362,2019-09-11,890,892,09:00,866,13:07,875,781900株,686百万円,-9,-1.02,877.565円,1758回
2362,2019-09-12,872,876,09:02,858,12:30,862,446900株,386百万円,-13,-1.49,864.396円,1090回
2362,2019-09-13,865,873,09:42,859,09:04,862,302000株,261百万円,0,0,864.574円,744回
2362,2019-09-17,862,870,09:14,860,09:02,864,240800株,208百万円,+2,+0.23,863.526円,545回
2362,2019-09-17,864,882,10:47,864,09:00,874,515700株,451百万円,+10,+1.16,874.355円,939回,688.91億円
2362,2019-09-19,880,894,09:26,880,09:00,892,502800株,447百万円,+18,+2.06,889.806円,1177回,703.10億円
2362,2019-09-20,899,918,10:12,896,14:32,897,815400株,738百万円,+5,+0.56,905.342円,1671回,707.17億円
2362,2019-09-24,901,905,09:18,883,12:35,900,510900株,457百万円,+3,+0.33,895.391円,1268回,709.53億円
2362,2019-09-25,899,904,09:29,892,11:12,897,407700株,366百万円,-3,-0.33,897.933円,899回,707.17億円
2362,2019-09-26,900,909,09:08,884,14:36,890,903200株,811百万円,-7,-0.78,897.503円,1403回,701.65億円
2362,2019-09-27,855,869,09:00,852,09:00,859,504900株,433百万円,-31,-3.48,857.175円,1041回,677.21億円
2362,2019-09-30,859,879,14:58,858,09:13,877,447600株,387百万円,+18,+2.10,865.248円,873回,691.40億円
2362,2019-10-01,880,909,09:28,880,09:00,905,638500株,575百万円,+28,+3.19,901.265円,1446回,713.48億円
2362,2019-10-02,899,908,09:10,888,09:00,904,350200株,316百万円,-1,-0.11,901.821円,1021回,712.69億円
2362,2019-10-03,899,907,09:24,896,09:01,904,463700株,418百万円,0,0,902.491円,1062回,712.69億円
2362,2019-10-04,909,925,09:04,908,09:52,925,584900株,537百万円,+21,+2.32,917.55円,1189回,729.24億円
2362,2019-10-07,932,938,09:02,922,13:21,926,369600株,343百万円,+1,+0.11,927.851円,918回,730.03億円
2362,2019-10-08,935,961,14:44,933,09:01,956,728700株,691百万円,+30,+3.24,947.995円,1243回,753.68億円
2362,2019-10-09,951,995,14:57,949,09:00,995,815800株,799百万円,+39,+4.08,979.142円,1645回,784.43億円
2362,2019-10-10,995,995,09:00,976,09:06,987,538500株,531百万円,-8,-0.80,985.174円,1305回,778.12億円
2362,2019-10-11,988,988,09:00,974,14:33,975,270900株,266百万円,-12,-1.22,980.136円,606回,768.66億円
2362,2019-10-15,986,990,11:01,976,09:43,979,321300株,316百万円,+4,+0.41,983.856円,615回,771.82億円
2362,2019-10-16,986,988,09:02,980,14:21,986,257600株,254百万円,+7,+0.72,985.116円,710回,777.33億円
2362,2019-10-17,980,982,09:01,945,09:22,967,360100株,348百万円,-19,-1.93,965.927円,1041回,762.36億円
2362,2019-10-18,957,973,09:19,957,09:00,966,218300株,211百万円,-1,-0.10,965.942円,538回,761.62億円
2362,2019-10-21,960,983,09:45,960,09:00,972,227200株,221百万円,+6,+0.62,974.46円,503回,766.35億円
2362,2019-10-23,978,993,10:16,977,09:00,986,282700株,279百万円,+14,+1.44,985.656円,775回,777.39億円
2362,2019-10-24,985,988,09:02,974,09:17,983,270900株,266百万円,-3,-0.30,982.732円,616回,775.02億円
2362,2019-10-25,983,984,09:11,967,09:04,982,239500株,234百万円,-1,-0.10,978.701円,639回,774.23億円
2362,2019-10-28,980,984,12:33,976,10:19,980,135700株,133百万円,-2,-0.20,979.495円,399回,772.66億円
2362,2019-10-29,980,987,09:04,967,14:55,967,224000株,218百万円,-13,-1.33,974.386円,658回,762.41億円
2362,2019-10-30,965,974,14:34,960,09:48,972,186600株,181百万円,+5,+0.52,967.853円,576回,766.35億円
2362,2019-10-31,972,973,09:00,960,14:24,965,236200株,228百万円,-7,-0.72,966.944円,726回,760.83億円
2362,2019-11-01,960,983,14:10,960,09:00,979,227700株,222百万円,+14,+1.45,973.613円,717回,771.87億円
2362,2019-11-05,980,994,09:18,980,09:00,987,292800株,290百万円,+8,+0.82,988.737円,692回,778.17億円
2362,2019-11-07,980,995,14:39,977,09:01,995,240900株,239百万円,+16,+1.63,990.285円,535回,784.48億円
2362,2019-11-08,997,1021,09:28,984,13:30,988,485200株,487百万円,-7,-0.70,1003.092円,887回,778.96億円
2362,2019-11-11,985,999,09:21,985,09:00,993,169300株,168百万円,+5,+0.51,994.239円,494回,782.91億円
2362,2019-11-12,993,1011,09:44,991,09:01,1003,433800株,436百万円,+10,+1.01,1005.769円,903回,790.79億円
2362,2019-11-13,998,1003,09:01,977,13:32,983,316200株,312百万円,-20,-1.99,987.331円,736回,775.02億円
2362,2019-11-14,978,994,10:53,966,13:56,986,374600株,369百万円,+3,+0.31,984.279円,1030回,777.39億円
2362,2019-11-15,911,969,10:49,904,09:13,935,1074900株,1001百万円,-51,-5.17,931.465円,2523回,737.18億円
2362,2019-11-18,932,946,14:46,929,09:28,945,424300株,398百万円,+10,+1.07,937.12円,1249回,745.06億円
2362,2019-11-19,945,949,09:23,924,14:47,924,509900株,477百万円,-21,-2.22,934.619円,1105回,728.50億円
2362,2019-11-20,920,928,09:19,893,14:57,897,764400株,692百万円,-27,-2.92,905.14円,1665回,707.22億円
2362,2019-11-21,892,913,14:59,892,09:00,909,346000株,313百万円,+12,+1.34,903.942円,721回,716.68億円
2362,2019-11-22,915,954,14:59,909,09:17,946,478200株,447百万円,+37,+4.07,934.182円,1129回,745.85億円
2362,2019-11-25,945,964,10:04,939,09:11,953,324000株,309百万円,+7,+0.74,953.897円,811回,751.37億円
2362,2019-11-26,953,980,15:00,946,11:27,980,408200株,393百万円,+27,+2.83,961.624円,859回,772.66億円
2362,2019-11-27,974,989,10:28,965,09:03,979,314700株,308百万円,-1,-0.10,978.032円,931回,771.87億円
2362,2019-11-28,973,978,09:00,959,14:58,966,309800株,299百万円,-13,-1.33,964.388円,772回,761.62億円
2362,2019-11-29,958,961,09:00,943,11:00,953,298100株,283百万円,-13,-1.35,950.983円,765回,751.37億円
2362,2019-12-02,952,957,09:00,930,14:30,934,365200株,343百万円,-19,-1.99,939.014円,869回,736.39億円
2362,2019-12-03,929,941,12:59,927,09:00,937,133400株,125百万円,+3,+0.32,934.173円,354回,738.75億円
2362,2019-12-05,936,937,09:00,925,14:19,930,152100株,141百万円,-1,-0.11,929.536円,400回,733.23億円
2362,2019-12-06,928,934,13:53,920,09:22,931,174900株,162百万円,+1,+0.11,927.645円,446回,734.02億円
2362,2019-12-09,945,945,09:00,928,14:13,930,181500株,170百万円,-1,-0.11,934.515円,392回,733.23億円
2362,2019-12-10,925,930,09:01,916,14:42,920,250700株,231百万円,-10,-1.08,920.298円,569回,725.35億円
2362,2019-12-13,931,935,09:16,902,13:23,909,468600株,428百万円,+2,+0.22,914.24円,1008回,716.68億円
2362,2019-12-16,906,915,09:09,897,09:37,900,553200株,498百万円,-9,-0.99,900.986円,1089回,709.58億円
2362,2019-12-17,905,912,09:22,899,09:02,911,396400株,360百万円,+11,+1.22,907.774円,764回,718.25億円
2362,2019-12-18,900,920,09:38,900,09:00,906,564300株,513百万円,-5,-0.55,909.934円,1254回,714.31億円
2362,2019-12-19,903,904,09:00,879,13:55,886,632700株,562百万円,-20,-2.21,888.773円,1255回,698.54億円
2362,2019-12-20,873,885,09:22,872,09:00,879,381800株,336百万円,-7,-0.79,878.852円,735回,693.03億円
2362,2019-12-23,883,887,09:00,872,12:37,875,322500株,283百万円,-4,-0.46,877.484円,740回,689.87億円
2362,2019-12-24,874,897,13:58,874,09:00,894,491300株,437百万円,+19,+2.17,888.938円,1037回,704.85億円
2362,2019-12-25,895,896,10:33,888,13:11,892,167700株,150百万円,-2,-0.22,891.93円,349回,703.27億円
2362,2019-12-26,895,908,12:41,895,09:00,903,300300株,271百万円,+11,+1.23,902.953円,617回,711.95億円
2362,2019-12-27,909,909,09:00,894,14:45,897,214000株,192百万円,-6,-0.66,899.105円,398回,707.22億円
2362,2019-12-30,900,900,09:00,887,09:13,887,224300株,200百万円,-10,-1.11,890.723円,518回,699.33億円
2362,2020-01-06,880,890,09:40,877,14:54,878,251300株,221百万円,-9,-1.01,881.069円,506回,692.24億円
2362,2020-01-07,879,898,12:30,879,09:00,897,222400株,198百万円,+19,+2.16,891.966円,520回,707.22億円
2362,2020-01-08,897,898,09:00,870,10:16,882,484800株,427百万円,-15,-1.67,881.049円,1081回,695.39億円
2362,2020-01-09,893,898,11:25,889,09:06,895,177200株,159百万円,+13,+1.47,894.59円,408回,705.64億円
2362,2020-01-10,903,903,09:00,882,13:22,886,319100株,284百万円,-9,-1.01,889.125円,721回,698.54億円
