2370,2019-08-30,59,61,12:53,59,09:00,59,124900株,7百万円,-1,-1.67,59.642円,46回
2370,2019-09-02,60,61,09:31,59,10:58,59,112200株,7百万円,0,0,59.849円,44回
2370,2019-09-03,60,61,10:31,59,09:00,59,254400株,15百万円,0,0,59.941円,68回
2370,2019-09-03,60,60,09:00,59,09:22,60,69400株,4百万円,+1,+1.69,59.818円,38回
2370,2019-09-05,61,61,09:00,60,09:05,60,264400株,16百万円,0,0,60.669円,53回
2370,2019-09-05,62,63,13:13,60,14:37,60,590400株,36百万円,0,0,61.53円,126回
2370,2019-09-07,62,63,09:48,61,09:13,61,267500株,16百万円,+1,+1.67,61.633円,99回
2370,2019-09-10,61,62,09:28,60,12:30,60,250700株,15百万円,-1,-1.64,60.55円,116回
2370,2019-09-11,61,61,09:00,60,09:12,61,97500株,6百万円,+1,+1.67,60.825円,73回
2370,2019-09-12,60,61,09:01,60,09:00,60,171600株,10百万円,-1,-1.64,60.229円,49回
2370,2019-09-13,61,61,09:00,60,09:29,60,241400株,15百万円,0,0,60.59円,51回
2370,2019-09-17,60,61,09:40,60,09:00,60,172200株,10百万円,0,0,60.372円,53回
2370,2019-09-17,60,61,09:17,60,09:00,60,66800株,4百万円,0,0,60.145円,37回,71.22億円
2370,2019-09-19,60,61,09:22,59,09:13,60,223800株,13百万円,0,0,59.949円,92回,71.22億円
2370,2019-09-20,60,61,11:18,59,09:30,61,237700株,14百万円,+1,+1.67,59.973円,62回,72.59億円
2370,2019-09-24,60,61,09:22,60,09:00,60,95400株,6百万円,-1,-1.64,60.031円,38回,71.40億円
2370,2019-09-25,60,61,09:19,60,09:00,60,153800株,9百万円,0,0,60.563円,35回,71.40億円
2370,2019-09-26,70,71,09:03,62,13:43,63,5964100株,396百万円,+3,+5.00,66.407円,1101回,74.97億円
2370,2019-09-27,62,63,09:00,61,09:11,62,810600株,50百万円,-1,-1.59,62.209円,228回,73.78億円
2370,2019-09-30,63,63,09:00,61,13:02,61,422100株,26百万円,-1,-1.61,61.973円,112回,72.59億円
2370,2019-10-01,62,62,09:00,61,09:00,61,205600株,13百万円,0,0,61.517円,56回,72.59億円
2370,2019-10-02,61,63,14:21,61,09:00,61,377700株,23百万円,0,0,61.554円,77回,72.59億円
2370,2019-10-03,62,62,09:00,61,09:03,62,294000株,18百万円,+1,+1.64,61.791円,69回,73.78億円
2370,2019-10-04,62,62,09:00,61,09:11,62,153900株,10百万円,0,0,61.817円,49回,73.78億円
