3021,2019-09-13,1000,1002,09:00,990,10:16,995,5500株,5百万円,-5,-0.50,995.145円,33回
3021,2019-09-17,991,1020,14:09,983,09:08,1019,7200株,7百万円,+24,+2.41,1001.528円,35回
3021,2019-09-17,1013,1033,13:33,985,11:15,1029,8800株,9百万円,+10,+0.98,1007.921円,42回,53.25億円
3021,2019-09-19,1032,1040,14:14,1014,13:40,1038,10100株,10百万円,+9,+0.87,1027.782円,67回,53.72億円
3021,2019-09-20,1038,1055,14:59,1038,09:00,1054,7500株,8百万円,+16,+1.54,1047.787円,48回,54.54億円
3021,2019-09-24,1069,1074,10:21,1051,11:29,1062,8200株,9百万円,+8,+0.76,1064.171円,44回,54.96億円
3021,2019-09-25,1065,1069,15:00,1030,10:03,1069,10600株,11百万円,+7,+0.66,1052.123円,69回,55.32億円
3021,2019-09-26,1069,1098,14:08,1065,09:33,1098,22100株,24百万円,+29,+2.71,1085.199円,80回,56.82億円
3021,2019-09-27,1099,1158,14:08,1099,09:00,1148,34600株,39百万円,+50,+4.55,1130.249円,160回,59.41億円
3021,2019-09-30,1150,1195,14:58,1134,09:08,1195,32700株,38百万円,+47,+4.09,1173.917円,146回,61.84億円
3021,2019-10-01,1200,1200,09:00,1155,11:11,1161,30500株,36百万円,-34,-2.85,1177.78円,82回,60.08億円
3021,2019-10-02,1152,1152,09:00,1123,09:04,1133,13300株,15百万円,-28,-2.41,1139.496円,68回,58.63億円
3021,2019-10-03,1108,1115,14:06,1099,13:27,1113,21000株,23百万円,-20,-1.77,1107.033円,82回,57.60億円
3021,2019-10-04,1113,1180,15:00,1102,09:55,1180,10800株,12百万円,+67,+6.02,1138.454円,71回,61.06億円
3021,2019-10-07,1170,1189,12:33,1156,10:26,1180,7600株,9百万円,0,0,1174.026円,36回,61.06億円
3021,2019-10-08,1171,1219,11:06,1166,15:00,1166,32100株,38百万円,-14,-1.19,1196.268円,137回,60.34億円
3021,2019-10-09,1152,1173,13:23,1150,09:02,1172,6300株,7百万円,+6,+0.51,1156.492円,31回,60.65億円
3021,2019-10-10,1188,1189,14:59,1157,09:40,1187,8700株,10百万円,+15,+1.28,1171.506円,57回,61.43億円
3021,2019-10-11,1178,1180,09:27,1163,14:26,1169,12800株,15百万円,-18,-1.52,1169.547円,90回,60.50億円
3021,2019-10-15,1171,1187,14:50,1163,12:44,1171,27400株,32百万円,+2,+0.17,1173.438円,120回,60.60億円
3021,2019-10-16,1231,1239,09:03,1135,13:21,1142,185900株,222百万円,-29,-2.48,1196.408円,761回,59.10億円
3021,2019-10-17,1138,1238,11:17,1136,09:17,1170,90900株,108百万円,+28,+2.45,1188.887円,452回,60.55億円
3021,2019-10-18,1168,1168,09:00,1058,14:29,1073,74700株,83百万円,-97,-8.29,1105.15円,359回,55.53億円
3021,2019-10-21,1080,1080,09:00,1048,09:11,1069,28400株,30百万円,-4,-0.37,1062.19円,147回,55.32億円
3021,2019-10-23,1069,1092,10:21,1038,14:33,1040,23100株,25百万円,-29,-2.71,1061.359円,156回,53.82億円
3021,2019-10-24,1041,1060,10:10,1017,09:39,1028,34600株,36百万円,-12,-1.15,1033.017円,233回,53.20億円
