3156,2019-08-30,1639,1683,14:58,1634,09:47,1683,114400株,190百万円,+71,+4.40,1665.199円,472回
3156,2019-09-02,1670,1695,11:21,1665,09:05,1671,39600株,66百万円,-12,-0.71,1676.98円,206回
3156,2019-09-03,1671,1679,10:18,1656,09:00,1675,42700株,71百万円,+4,+0.24,1673.241円,248回
3156,2019-09-03,1656,1680,14:15,1643,09:54,1668,61400株,102百万円,-7,-0.42,1663.671円,302回
3156,2019-09-05,1681,1730,12:37,1675,09:00,1717,142000株,243百万円,+49,+2.94,1710.946円,586回
3156,2019-09-05,1708,1758,13:02,1704,09:18,1749,135600株,236百万円,+32,+1.86,1737.99円,507回
3156,2019-09-07,1750,1761,09:37,1736,10:48,1749,72800株,127百万円,0,0,1749.832円,289回
3156,2019-09-10,1759,1767,09:45,1746,11:00,1759,79400株,140百万円,+10,+0.57,1757.744円,327回
3156,2019-09-11,1769,1796,14:59,1764,09:43,1796,109100株,195百万円,+37,+2.10,1784.343円,441回
3156,2019-09-12,1817,1829,09:00,1790,15:00,1790,121500株,219百万円,-6,-0.33,1803.849円,476回
3156,2019-09-13,1808,1808,09:00,1744,14:29,1754,235400株,416百万円,-36,-2.01,1766.782円,809回
3156,2019-09-17,1735,1750,10:45,1710,09:04,1731,127000株,220百万円,-23,-1.31,1734.856円,549回
3156,2019-09-17,1750,1776,10:57,1733,09:29,1754,146500株,257百万円,+23,+1.33,1756.461円,770回,527.47億円
3156,2019-09-19,1744,1772,10:13,1738,09:00,1758,124500株,219百万円,+4,+0.23,1757.68円,557回,528.68億円
3156,2019-09-20,1776,1791,14:59,1762,09:23,1788,128700株,229百万円,+30,+1.71,1779.294円,488回,537.70億円
3156,2019-09-24,1792,1822,09:27,1777,13:02,1783,143200株,258百万円,-5,-0.28,1801.119円,603回,536.20億円
3156,2019-09-25,1790,1812,13:23,1773,09:02,1804,130600株,235百万円,+21,+1.18,1795.957円,604回,542.51億円
3156,2019-09-26,1823,1862,12:35,1823,09:00,1838,223400株,412百万円,+34,+1.88,1844.963円,965回,552.74億円
3156,2019-09-27,1812,1815,09:04,1783,14:17,1799,134200株,241百万円,-39,-2.12,1795.737円,671回,541.01億円
3156,2019-09-30,1778,1798,09:16,1745,14:40,1751,84100株,148百万円,-48,-2.67,1764.471円,418回,526.57億円
3156,2019-10-01,1763,1799,10:37,1763,09:00,1795,70200株,125百万円,+44,+2.51,1785.872円,330回,539.80億円
3156,2019-10-02,1774,1811,14:31,1766,09:00,1806,60100株,108百万円,+11,+0.61,1799.429円,305回,543.11億円
