3159,2019-08-30,367,370,15:00,364,09:32,370,30600株,11百万円,+3,+0.82,367.618円,84回
3159,2019-09-02,369,372,11:09,368,09:09,369,15000株,6百万円,-1,-0.27,369.513円,47回
3159,2019-09-03,368,372,10:13,368,09:00,371,13200株,5百万円,+2,+0.54,370.75円,59回
3159,2019-09-03,371,374,13:23,369,09:11,372,18800株,7百万円,+1,+0.27,371.287円,56回
3159,2019-09-05,373,378,10:27,372,09:06,375,27700株,10百万円,+3,+0.81,375.347円,70回
3159,2019-09-05,373,374,09:07,371,13:00,372,14400株,5百万円,-3,-0.80,372.576円,46回
3159,2019-09-07,372,380,11:22,371,09:14,379,40900株,15百万円,+7,+1.88,377.399円,161回
3159,2019-09-10,380,380,09:00,378,09:11,380,30400株,12百万円,+1,+0.26,379.365円,89回
3159,2019-09-11,380,383,14:56,378,09:07,383,39100株,15百万円,+3,+0.79,381.343円,117回
3159,2019-09-12,383,383,09:00,380,09:13,381,35100株,13百万円,-2,-0.52,381.006円,57回
3159,2019-09-13,384,384,09:00,379,09:33,381,64300株,25百万円,0,0,382.076円,107回
3159,2019-09-17,377,381,14:53,376,09:00,381,54500株,21百万円,0,0,378.916円,99回
3159,2019-09-17,380,382,15:00,379,09:01,382,16400株,6百万円,+1,+0.26,380.774円,51回,353.56億円
3159,2019-09-19,381,383,09:06,381,09:00,383,33900株,13百万円,+1,+0.26,382.345円,82回,354.48億円
3159,2019-09-20,383,383,09:00,379,09:52,379,29000株,11百万円,-4,-1.04,380.31円,52回,350.78億円
3159,2019-09-24,378,383,10:43,378,09:00,383,23800株,9百万円,+4,+1.06,381.908円,74回,354.48億円
3159,2019-09-25,383,383,09:00,380,10:03,382,15900株,6百万円,-1,-0.26,381.805円,50回,353.56億円
3159,2019-09-26,383,383,09:00,381,10:52,382,30300株,12百万円,0,0,382.05円,52回,353.56億円
3159,2019-09-27,379,380,09:01,376,13:08,379,24200株,9百万円,-3,-0.79,378.347円,60回,350.78億円
3159,2019-09-30,378,378,09:00,370,12:30,373,26200株,10百万円,-6,-1.58,373.412円,55回,345.23億円
3159,2019-10-01,373,374,13:32,371,10:14,372,16300株,6百万円,-1,-0.27,372.307円,57回,344.30億円
3159,2019-10-02,372,377,10:59,371,09:01,376,32500株,12百万円,+4,+1.08,375.018円,82回,348.00億円
3159,2019-10-03,373,373,09:00,371,10:06,373,17900株,7百万円,-3,-0.80,372.341円,71回,345.23億円
3159,2019-10-04,372,374,14:29,371,09:55,373,18900株,7百万円,0,0,372.503円,60回,345.23億円
3159,2019-10-07,378,378,09:00,374,10:05,375,27200株,10百万円,+2,+0.54,375.842円,65回,347.08億円
3159,2019-10-08,375,375,09:00,372,13:19,372,18500株,7百万円,-3,-0.80,373.07円,61回,344.30億円
3159,2019-10-09,372,377,14:56,371,09:05,377,27400株,10百万円,+5,+1.34,374.613円,55回,348.93億円
3159,2019-10-10,380,380,09:00,377,12:48,378,47700株,18百万円,+1,+0.27,378.681円,58回,349.85億円
3159,2019-10-11,370,371,09:00,363,09:08,368,90400株,33百万円,-10,-2.65,368.437円,154回,340.60億円
