3254,2019-08-30,1542,1552,12:32,1533,09:01,1542,158600株,245百万円,+2,+0.13,1542.176円,709回
3254,2019-09-02,1537,1567,10:51,1531,09:00,1547,240500株,373百万円,+5,+0.32,1550.1円,890回
3254,2019-09-03,1540,1576,14:31,1535,10:01,1575,181600株,284百万円,+28,+1.81,1561.335円,660回
3254,2019-09-03,1564,1577,10:34,1548,09:03,1570,163000株,256百万円,-5,-0.32,1568.436円,609回
3254,2019-09-05,1573,1617,10:49,1558,09:01,1605,295100株,473百万円,+35,+2.23,1601.169円,993回
3254,2019-09-05,1610,1614,09:29,1574,14:56,1575,159600株,254百万円,-30,-1.87,1591.021円,759回
3254,2019-09-07,1587,1615,14:59,1586,09:15,1615,136400株,219百万円,+40,+2.54,1607.798円,510回
3254,2019-09-10,1612,1612,09:00,1592,10:20,1604,165100株,265百万円,-11,-0.68,1602.935円,617回
3254,2019-09-11,1607,1625,13:06,1599,09:00,1611,195800株,316百万円,+7,+0.44,1612.681円,877回
3254,2019-09-12,1610,1635,09:59,1603,09:00,1625,150100株,244百万円,+14,+0.87,1624.68円,522回
3254,2019-09-13,1635,1679,13:41,1630,09:08,1675,364100株,604百万円,+50,+3.08,1658.353円,1046回
3254,2019-09-17,1673,1699,14:00,1646,09:00,1698,229900株,387百万円,+23,+1.37,1682.265円,916回
3254,2019-09-17,1700,1714,09:00,1684,14:05,1690,274300株,464百万円,-8,-0.47,1692.158円,804回,1065.44億円
3254,2019-09-19,1700,1737,09:33,1699,09:00,1716,179700株,308百万円,+26,+1.54,1714.257円,606回,1081.83億円
3254,2019-09-20,1731,1751,09:03,1721,14:59,1721,174900株,303百万円,+5,+0.29,1733.654円,572回,1084.98億円
3254,2019-09-24,1721,1746,09:13,1718,09:00,1725,125800株,218百万円,+4,+0.23,1729.776円,574回,1087.50億円
3254,2019-09-25,1736,1743,13:51,1720,09:01,1736,134600株,233百万円,+11,+0.64,1734.61円,493回,1094.44億円
3254,2019-09-26,1741,1768,09:07,1736,09:00,1754,481700株,845百万円,+18,+1.04,1754.248円,1707回,1105.79億円
3254,2019-09-27,1756,1760,09:03,1725,13:38,1742,185400株,323百万円,-12,-0.68,1742.281円,713回,1098.22億円
3254,2019-09-30,1736,1750,09:00,1725,09:04,1742,263900株,459百万円,0,0,1737.639円,1047回,1098.22億円
3254,2019-10-01,1753,1764,09:06,1747,09:58,1757,279700株,491百万円,+15,+0.86,1754.657円,1213回,1107.68億円
3254,2019-10-02,1755,1760,09:02,1746,09:23,1757,219700株,385百万円,0,0,1753.708円,821回,1107.68億円
3254,2019-10-03,1730,1754,09:31,1724,09:00,1750,177400株,309百万円,-7,-0.40,1744.572円,775回,1103.27億円
3254,2019-10-04,1748,1758,13:09,1736,09:45,1757,159900株,280百万円,+7,+0.40,1750.35円,518回,1107.68億円
3254,2019-10-07,1756,1763,14:59,1743,10:01,1762,180400株,316百万円,+5,+0.28,1753.339円,765回,1110.83億円
3254,2019-10-08,1764,1768,09:03,1751,09:39,1760,164500株,289百万円,-2,-0.11,1758.325円,616回,1109.57億円
3254,2019-10-09,1759,1776,09:32,1756,09:00,1769,344200株,608百万円,+9,+0.51,1767.237円,1085回,1115.24億円
3254,2019-10-10,1757,1757,09:00,1736,09:30,1748,182600株,319百万円,-21,-1.19,1745.475円,745回,1102.00億円
3254,2019-10-11,1754,1757,12:34,1740,09:09,1755,170100株,298百万円,+7,+0.40,1749.441円,713回,1106.42億円
3254,2019-10-15,1743,1757,10:23,1738,09:09,1749,294400株,514百万円,-6,-0.34,1747.28円,1187回,1102.63億円
3254,2019-10-16,1763,1785,09:52,1755,09:03,1767,381600株,675百万円,+18,+1.03,1768.835円,1459回,1113.98億円
3254,2019-10-17,1760,1767,10:53,1753,09:10,1758,195500株,344百万円,-9,-0.51,1758.822円,729回,1108.31億円
3254,2019-10-18,1758,1761,09:17,1740,12:33,1750,182600株,319百万円,-8,-0.46,1749.665円,649回,1103.27億円
