3323,2019-08-30,115,119,12:35,115,09:00,118,394600株,46百万円,+4,+3.51,116.922円,191回
3323,2019-09-02,118,118,09:00,116,09:48,116,254400株,30百万円,-2,-1.69,116.562円,149回
3323,2019-09-03,116,121,12:49,116,09:00,119,285400株,34百万円,+3,+2.59,118.499円,131回
3323,2019-09-03,119,119,09:00,117,10:31,119,176500株,21百万円,0,0,118.235円,89回
3323,2019-09-05,120,124,10:51,119,09:00,123,496200株,61百万円,+4,+3.36,122.139円,195回
3323,2019-09-05,124,126,11:24,124,09:00,126,313300株,39百万円,+3,+2.44,124.968円,271回
3323,2019-09-07,126,127,09:01,123,10:58,124,292600株,36百万円,-2,-1.59,124.672円,145回
3323,2019-09-10,124,125,09:01,122,12:33,122,373900株,46百万円,-2,-1.61,123.091円,192回
3323,2019-09-11,123,124,11:01,122,09:05,124,241800株,30百万円,+2,+1.64,122.989円,119回
3323,2019-09-12,124,125,09:35,123,09:49,123,338700株,42百万円,-1,-0.81,124.025円,183回
3323,2019-09-13,124,138,13:38,123,09:08,138,3708800株,493百万円,+15,+12.20,132.848円,1557回
3323,2019-09-17,133,135,09:00,129,13:00,129,1588600株,209百万円,-9,-6.52,131.742円,672回
3323,2019-09-17,131,132,09:00,130,09:15,130,595600株,78百万円,+1,+0.78,130.958円,300回,92.06億円
3323,2019-09-19,131,138,09:42,131,09:00,134,1261600株,170百万円,+4,+3.08,134.65円,551回,94.90億円
3323,2019-09-20,135,141,10:11,135,09:00,138,2155900株,297百万円,+4,+2.99,137.881円,809回,97.73億円
3323,2019-09-24,141,142,11:30,138,09:07,139,812200株,114百万円,+1,+0.72,140.171円,330回,98.44億円
3323,2019-09-25,140,142,10:39,138,09:03,141,529900株,74百万円,+2,+1.44,140.484円,273回,99.85億円
3323,2019-09-26,140,141,09:00,135,14:59,135,795000株,110百万円,-6,-4.26,138.006円,368回,95.60億円
3323,2019-09-27,135,136,09:00,130,13:22,132,679600株,90百万円,-3,-2.22,132.213円,262回,93.48億円
3323,2019-09-30,130,134,09:18,130,09:00,130,412400株,54百万円,-2,-1.52,131.38円,200回,92.06億円
3323,2019-10-01,133,133,09:00,130,13:28,130,440400株,58百万円,0,0,131.428円,187回,92.06億円
3323,2019-10-02,130,131,12:30,129,09:02,130,368500株,48百万円,0,0,129.939円,192回,92.06億円
3323,2019-10-03,128,129,13:23,127,09:13,127,437600株,56百万円,-3,-2.31,127.944円,190回,89.94億円
3323,2019-10-04,128,132,09:11,128,09:00,130,399500株,52百万円,+3,+2.36,129.681円,262回,92.06億円
3323,2019-10-07,130,132,09:03,128,11:30,128,340100株,44百万円,-2,-1.54,129.642円,211回,90.65億円
3323,2019-10-08,129,131,11:24,128,09:06,131,431300株,56百万円,+3,+2.34,129.696円,190回,92.77億円
3323,2019-10-09,129,132,13:50,129,09:00,131,174800株,23百万円,0,0,130.312円,83回,92.77億円
3323,2019-10-10,131,133,10:25,130,09:27,132,391200株,51百万円,+1,+0.76,131.095円,164回,93.48億円
