3477,2019-08-30,837,855,15:00,837,09:00,855,1800株,2百万円,+6,+0.71,846.389円,9回
3477,2019-09-02,855,978,11:07,854,09:05,899,17600株,16百万円,+44,+5.15,909.807円,111回
3477,2019-09-03,902,950,09:15,902,09:00,930,9700株,9百万円,+31,+3.45,928.505円,52回
3477,2019-09-03,938,960,09:09,881,13:59,935,11700株,11百万円,+5,+0.54,918.641円,68回
3477,2019-09-05,936,974,14:59,910,12:59,950,10100株,10百万円,+15,+1.60,948.554円,55回
3477,2019-09-05,966,1100,09:42,966,09:03,1100,38500株,42百万円,+150,+15.79,1078.87円,126回
3477,2019-09-07,1073,1094,09:00,1015,10:41,1029,34700株,36百万円,-71,-6.45,1051.213円,165回
3477,2019-09-10,1029,1050,13:09,991,10:00,1000,12800株,13百万円,-29,-2.82,1020.109円,79回
3477,2019-09-11,1000,1075,14:46,986,10:24,1072,5400株,6百万円,+72,+7.20,1019.148円,39回
3477,2019-09-12,1065,1138,14:49,1001,10:01,1134,19000株,20百万円,+62,+5.78,1070.226円,105回
3477,2019-09-13,1135,1135,09:00,1031,09:30,1039,21700株,23百万円,-95,-8.38,1064.235円,130回
3477,2019-09-17,1043,1076,13:21,980,10:21,1058,13100株,13百万円,+19,+1.83,1023.137円,90回
3477,2019-09-17,1044,1080,14:59,1044,09:00,1080,7900株,8百万円,+22,+2.08,1060.456円,46回,21.60億円
3477,2019-09-19,1080,1080,09:00,1026,13:11,1077,6500株,7百万円,-3,-0.28,1056.477円,54回,21.54億円
3477,2019-09-20,1076,1076,09:00,1034,12:56,1067,1700株,2百万円,-10,-0.93,1060.647円,10回,21.34億円
3477,2019-09-24,1060,1063,12:30,1035,13:33,1056,8900株,9百万円,-11,-1.03,1054.528円,33回,21.12億円
3477,2019-09-25,1056,1056,09:00,1035,14:20,1039,2500株,3百万円,-17,-1.61,1049.6円,15回,20.78億円
3477,2019-09-26,1016,1057,14:38,1016,09:00,1041,3200株,3百万円,+2,+0.19,1033.719円,19回,20.82億円
3477,2019-09-27,1021,1059,10:13,1021,09:00,1040,1600株,2百万円,-1,-0.10,1043.812円,13回,20.80億円
3477,2019-09-30,1042,1058,09:04,991,11:02,1022,4000株,4百万円,-18,-1.73,1030.075円,23回,20.44億円
3477,2019-10-01,1049,1061,12:54,1030,11:19,1050,3000株,3百万円,+28,+2.74,1047.1円,21回,21.00億円
3477,2019-10-02,1048,1065,11:24,1045,10:51,1063,6500株,7百万円,+13,+1.24,1061.754円,19回,21.26億円
3477,2019-10-03,1063,1063,09:00,1022,13:34,1063,3100株,3百万円,0,0,1049.935円,24回,21.26億円
3477,2019-10-04,1055,1058,10:07,1046,15:00,1046,1400株,1百万円,-17,-1.60,1054.786円,12回,20.92億円
3477,2019-10-07,1050,1050,09:00,1036,09:23,1050,1100株,1百万円,+4,+0.38,1048.455円,7回,21.00億円
3477,2019-10-08,1080,1082,09:03,1036,13:06,1045,5500株,6百万円,-5,-0.48,1057.6円,20回,20.90億円
3477,2019-10-09,1035,1071,13:27,1035,09:40,1061,900株,1百万円,+16,+1.53,1052.778円,6回,21.22億円
3477,2019-10-10,1056,1056,10:09,1047,14:59,1047,300株,－百万円,-14,-1.32,1050円,3回,20.94億円
3477,2019-10-11,1070,1070,09:00,1038,12:30,1064,2100株,2百万円,+17,+1.62,1054.286円,15回,21.28億円
3477,2019-10-15,1064,1130,13:07,1040,09:09,1100,8600株,9百万円,+36,+3.38,1082.279円,71回,22.00億円
3477,2019-10-16,1110,1110,09:00,1041,12:52,1073,7100株,8百万円,-27,-2.45,1065.113円,51回,21.46億円
3477,2019-10-17,1064,1073,09:18,1055,15:00,1055,800株,1百万円,-18,-1.68,1065.375円,8回,21.10億円
3477,2019-10-18,1057,1079,09:49,1000,13:54,1029,8400株,9百万円,-26,-2.46,1038.333円,56回,20.58億円
3477,2019-10-21,1059,1067,14:57,1018,09:00,1050,2900株,3百万円,+21,+2.04,1049.207円,21回,21.00億円
3477,2019-10-23,1077,1077,09:00,1047,12:30,1064,900株,1百万円,+14,+1.33,1063.444円,6回,21.28億円
3477,2019-10-24,1056,1062,10:23,1051,15:00,1051,400株,－百万円,-13,-1.22,1057.5円,4回,21.02億円
3477,2019-10-25,1070,1070,09:00,1032,10:14,1041,2300株,2百万円,-10,-0.95,1050.261円,14回,20.82億円
3477,2019-10-28,1041,1075,09:39,1020,09:08,1034,2500株,3百万円,-7,-0.67,1053.92円,17回,20.68億円
3477,2019-10-29,1034,1069,14:33,1031,09:47,1069,5600株,6百万円,+35,+3.38,1037.607円,16回,21.38億円
3477,2019-10-30,1057,1069,10:28,1039,15:00,1039,1500株,2百万円,-30,-2.81,1057.533円,13回,20.78億円
3477,2019-10-31,1057,1057,09:30,1037,13:58,1046,900株,1百万円,+7,+0.67,1047.222円,7回,20.92億円
3477,2019-11-01,1040,1050,10:04,1040,09:16,1046,300株,－百万円,0,0,1045.333円,3回,20.92億円
3477,2019-11-05,1042,1060,15:00,1042,09:00,1060,3400株,4百万円,+14,+1.34,1048.529円,15回,21.20億円
3477,2019-11-07,1050,1060,14:38,1042,12:30,1060,2000株,2百万円,+10,+0.95,1050.5円,15回,21.20億円
3477,2019-11-08,1062,1062,09:00,1054,14:29,1060,700株,1百万円,0,0,1058.857円,4回,21.20億円
3477,2019-11-11,1043,1057,14:17,1032,09:31,1039,3300株,3百万円,-21,-1.98,1043.909円,22回,20.78億円
3477,2019-11-12,1059,1060,09:06,1040,10:24,1059,2500株,3百万円,+20,+1.92,1048.24円,16回,21.18億円
3477,2019-11-13,1059,1103,14:09,1042,09:36,1061,24100株,26百万円,+2,+0.19,1077.054円,146回,21.22億円
3477,2019-11-14,1045,1085,10:19,1021,09:07,1050,8400株,9百万円,-11,-1.04,1046.714円,44回,21.00億円
3477,2019-11-15,1041,1052,10:29,1036,14:59,1036,500株,1百万円,-14,-1.33,1041.2円,5回,20.72億円
3477,2019-11-18,1040,1043,12:30,1037,14:18,1037,2100株,2百万円,+1,+0.10,1039.667円,8回,20.74億円
3477,2019-11-19,1037,1050,14:59,1035,09:46,1050,2700株,3百万円,+13,+1.25,1042.444円,18回,21.00億円
3477,2019-11-20,1050,1054,09:20,1043,12:36,1049,1700株,2百万円,-1,-0.10,1050円,8回,20.98億円
3477,2019-11-21,1042,1050,09:51,1031,11:06,1044,2600株,3百万円,-5,-0.48,1040.115円,15回,20.88億円
3477,2019-11-22,1033,1048,13:59,1028,09:15,1048,5000株,5百万円,+4,+0.38,1036.14円,17回,20.96億円
3477,2019-11-25,1055,1055,09:00,1035,12:50,1052,2200株,2百万円,+4,+0.38,1045.045円,14回,21.04億円
3477,2019-11-26,1050,1050,09:00,1041,13:08,1048,400株,－百万円,-4,-0.38,1045円,3回,20.96億円
