3604,2019-08-30,398,406,13:58,398,10:40,406,3500株,1百万円,+8,+2.01,404.943円,13回
3604,2019-09-02,407,407,09:50,405,11:02,407,1300株,1百万円,+1,+0.25,406.692円,4回
3604,2019-09-03,407,407,09:32,403,10:04,405,2600株,1百万円,-2,-0.49,404.731円,9回
3604,2019-09-03,405,405,10:34,404,15:00,404,1200株,－百万円,-1,-0.25,404.917円,7回
3604,2019-09-05,405,406,13:48,405,09:17,406,200株,－百万円,+2,+0.50,405.5円,2回
3604,2019-09-05,408,413,12:48,407,09:05,408,1000株,－百万円,+2,+0.49,409.7円,9回
3604,2019-09-07,408,417,14:20,408,09:09,410,1900株,1百万円,+2,+0.49,411.368円,11回
3604,2019-09-10,411,412,10:16,406,15:00,406,3900株,2百万円,-4,-0.98,410.41円,9回
3604,2019-09-11,413,413,10:06,412,13:25,413,1300株,1百万円,+7,+1.72,412.692円,5回
3604,2019-09-12,411,413,11:16,411,09:52,412,1500株,1百万円,-1,-0.24,412.733円,5回
3604,2019-09-13,410,411,15:00,410,10:48,411,400株,－百万円,-1,-0.24,410.25円,4回
3604,2019-09-17,407,412,09:30,407,09:23,410,2000株,1百万円,-1,-0.24,409.3円,10回
3604,2019-09-17,406,407,09:34,406,09:00,407,500株,－百万円,-3,-0.73,406.6円,4回,24.42億円
3604,2019-09-19,413,413,09:11,413,09:11,413,200株,－百万円,+6,+1.47,413円,2回,24.78億円
3604,2019-09-20,412,413,10:53,410,09:53,411,1100株,－百万円,-2,-0.48,412.273円,5回,24.66億円
3604,2019-09-24,414,415,12:35,409,14:09,411,15300株,6百万円,0,0,411.627円,25回,24.66億円
3604,2019-09-25,410,413,13:28,405,10:17,412,5700株,2百万円,+1,+0.24,409.684円,20回,24.72億円
3604,2019-09-26,413,420,09:38,392,10:59,406,82300株,34百万円,-6,-1.46,410.213円,184回,24.36億円
3604,2019-09-27,405,415,11:29,404,09:53,413,20400株,8百万円,+7,+1.72,409.819円,66回,24.78億円
3604,2019-09-30,411,418,09:31,401,14:55,410,29400株,12百万円,-3,-0.73,411.177円,79回,24.60億円
3604,2019-10-01,413,415,09:33,401,11:13,407,4900株,2百万円,-3,-0.73,409.225円,22回,24.42億円
3604,2019-10-02,408,424,13:00,408,09:00,414,14400株,6百万円,+7,+1.72,417.84円,48回,24.84億円
3604,2019-10-03,410,410,09:26,406,10:08,409,2700株,1百万円,-5,-1.21,407.333円,16回,24.54億円
3604,2019-10-04,418,431,11:11,411,09:13,418,24200株,10百万円,+9,+2.20,424.025円,80回,25.08億円
3604,2019-10-07,420,426,13:30,420,09:00,421,7200株,3百万円,+3,+0.72,424.125円,26回,25.26億円
3604,2019-10-08,419,426,11:01,419,09:00,424,3100株,1百万円,+3,+0.71,423円,12回,25.44億円
3604,2019-10-09,426,439,13:01,426,09:09,430,24400株,11百万円,+6,+1.42,433.32円,82回,25.80億円
3604,2019-10-10,429,436,10:32,418,09:26,436,22900株,10百万円,+6,+1.40,428.314円,66回,26.16億円
3604,2019-10-11,432,437,09:35,428,15:00,428,3200株,1百万円,-8,-1.83,432.5円,17回,25.68億円
3604,2019-10-15,434,444,09:06,434,09:01,441,20500株,9百万円,+13,+3.04,440.873円,67回,26.46億円
3604,2019-10-16,446,446,09:00,427,14:00,427,12300株,5百万円,-14,-3.17,435.471円,47回,25.62億円
3604,2019-10-17,428,434,09:13,428,09:00,430,2700株,1百万円,+3,+0.70,429.778円,12回,25.80億円
3604,2019-10-18,430,436,10:03,429,09:28,433,1700株,1百万円,+3,+0.70,433.059円,12回,25.98億円
3604,2019-10-21,437,444,09:08,435,09:44,436,2800株,1百万円,+3,+0.69,439円,15回,26.16億円
3604,2019-10-23,443,443,09:17,437,13:05,441,1700株,1百万円,+5,+1.15,439.118円,10回,26.46億円
