3647,2019-08-30,304,309,09:43,301,09:06,308,62400株,19百万円,+3,+0.98,305.797円,129回
3647,2019-09-02,303,306,09:04,300,10:00,300,58300株,18百万円,-8,-2.60,302.666円,105回
3647,2019-09-03,300,305,12:51,296,09:11,301,68400株,21百万円,+1,+0.33,300.165円,138回
3647,2019-09-03,305,305,09:00,298,09:19,299,52700株,16百万円,-2,-0.66,300.034円,93回
3647,2019-09-05,298,304,12:48,298,09:00,301,41200株,12百万円,+2,+0.67,300.922円,104回
3647,2019-09-05,299,305,09:35,299,09:00,303,47600株,14百万円,+2,+0.66,302.51円,80回
3647,2019-09-07,303,303,09:00,300,09:10,302,22300株,7百万円,-1,-0.33,301.816円,53回
3647,2019-09-10,301,304,13:09,296,09:26,302,85600株,26百万円,0,0,300.293円,128回
3647,2019-09-11,303,306,12:35,299,09:07,303,42000株,13百万円,+1,+0.33,303.974円,91回
3647,2019-09-12,305,317,11:10,304,09:09,315,126300株,39百万円,+12,+3.96,312.72円,181回
3647,2019-09-13,316,317,09:00,310,14:49,311,63800株,20百万円,-4,-1.27,313.077円,123回
3647,2019-09-17,311,314,09:59,307,14:49,309,69500株,22百万円,-2,-0.64,310.522円,101回
3647,2019-09-17,309,310,09:06,304,13:29,304,40400株,12百万円,-5,-1.62,306.678円,90回,48.62億円
3647,2019-09-19,304,311,09:26,302,12:30,307,39300株,12百万円,+3,+0.99,304.626円,98回,49.10億円
3647,2019-09-20,303,310,10:31,303,09:00,308,38700株,12百万円,+1,+0.33,306.956円,81回,49.26億円
3647,2019-09-24,309,311,09:14,308,11:30,308,31800株,10百万円,0,0,309.733円,68回,49.26億円
3647,2019-09-25,307,309,10:25,302,09:09,307,41600株,13百万円,-1,-0.32,305.906円,93回,49.10億円
3647,2019-09-26,309,309,09:00,305,13:00,305,33900株,10百万円,-2,-0.65,306.832円,67回,48.78億円
3647,2019-09-27,306,306,09:00,303,11:09,303,21100株,6百万円,-2,-0.66,304.502円,66回,48.46億円
3647,2019-09-30,302,305,09:00,299,10:19,299,37500株,11百万円,-4,-1.32,300.619円,94回,47.82億円
3647,2019-10-01,300,303,10:17,300,09:00,303,8500株,3百万円,+4,+1.34,301.929円,41回,48.46億円
3647,2019-10-02,302,306,10:47,301,09:10,302,20900株,6百万円,-1,-0.33,303.268円,53回,48.30億円
3647,2019-10-03,301,302,11:26,297,09:19,297,46600株,14百万円,-5,-1.66,298.77円,117回,47.50億円
3647,2019-10-04,298,302,13:33,297,10:37,301,14400株,4百万円,+4,+1.35,299.34円,40回,48.14億円
3647,2019-10-07,298,301,10:37,297,13:06,300,28600株,9百万円,-1,-0.33,298.773円,51回,47.98億円
3647,2019-10-08,290,297,12:51,286,09:18,295,105600株,31百万円,-5,-1.67,291.446円,267回,47.18億円
3647,2019-10-09,291,295,09:02,291,09:00,295,28500株,8百万円,0,0,293.151円,76回,47.18億円
3647,2019-10-10,290,296,12:46,290,09:00,295,23900株,7百万円,0,0,292.812円,63回,47.18億円
3647,2019-10-11,297,297,09:00,290,10:45,293,42600株,12百万円,-2,-0.68,292.634円,128回,46.86億円
3647,2019-10-15,292,296,13:51,291,09:00,294,37900株,11百万円,+1,+0.34,293.061円,82回,47.02億円
3647,2019-10-16,291,302,10:27,287,09:01,296,108100株,32百万円,+2,+0.68,296.22円,207回,47.34億円
