3695,2019-08-30,1937,1937,09:02,1857,12:59,1857,400株,1百万円,-40,-2.11,1907円,3回
3695,2019-09-02,1870,1900,14:36,1870,09:00,1900,200株,－百万円,+43,+2.32,1885円,2回
3695,2019-09-03,1880,1892,14:17,1880,13:37,1892,700株,1百万円,-8,-0.42,1882.571円,4回
3695,2019-09-03,1892,1916,11:03,1892,09:00,1908,400株,1百万円,+16,+0.85,1908円,4回
3695,2019-09-05,1908,1917,14:31,1908,09:00,1911,900株,2百万円,+3,+0.16,1911.778円,6回
3695,2019-09-05,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回
3695,2019-09-07,1871,1873,12:54,1871,10:18,1873,200株,－百万円,0,0,1872円,2回
3695,2019-09-10,1909,1909,09:28,1886,15:00,1886,1600株,3百万円,+13,+0.69,1903円,5回
3695,2019-09-11,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回
3695,2019-09-12,1890,1890,09:28,1816,13:19,1816,1700株,3百万円,0,0,1864.941円,12回
3695,2019-09-13,1876,1876,09:03,1835,15:00,1835,1000株,2百万円,+19,+1.05,1869.4円,5回
3695,2019-09-17,1840,1840,09:00,1840,09:00,1840,200株,－百万円,+5,+0.27,1840円,2回
3695,2019-09-17,1830,1830,13:03,1830,13:03,1830,300株,1百万円,-10,-0.54,1830円,1回,30.69億円
3695,2019-09-19,1815,1815,09:01,1815,09:01,1815,600株,1百万円,-15,-0.82,1815円,2回,30.44億円
3695,2019-09-20,1855,1855,09:00,1852,14:04,1852,200株,－百万円,+37,+2.04,1853.5円,2回,31.06億円
3695,2019-09-24,1812,1831,15:00,1812,09:02,1831,1400株,3百万円,-21,-1.13,1823.929円,9回,30.71億円
3695,2019-09-25,1811,1811,14:22,1801,14:59,1801,1100株,2百万円,-30,-1.64,1806.727円,6回,30.20億円
3695,2019-09-26,1802,1802,09:34,1760,13:55,1761,2800株,5百万円,-40,-2.22,1769.607円,15回,29.53億円
3695,2019-09-27,1798,1798,09:00,1756,09:26,1756,900株,2百万円,-5,-0.28,1761.444円,6回,29.45億円
3695,2019-09-30,1756,1832,11:29,1756,09:00,1814,600株,1百万円,+58,+3.30,1796.333円,5回,30.42億円
3695,2019-10-01,1814,1814,09:00,1778,13:05,1791,1600株,3百万円,-23,-1.27,1799.312円,12回,30.04億円
3695,2019-10-02,1805,1818,10:19,1786,09:42,1789,700株,1百万円,-2,-0.11,1797円,7回,30.00億円
3695,2019-10-03,1789,1792,14:53,1789,09:00,1792,300株,1百万円,+3,+0.17,1790円,2回,30.05億円
3695,2019-10-04,1792,1792,09:08,1789,12:33,1791,400株,1百万円,-1,-0.06,1791円,3回,30.04億円
3695,2019-10-07,1809,1809,09:30,1791,12:33,1791,800株,1百万円,0,0,1799.75円,5回,30.04億円
3695,2019-10-08,1790,1804,13:14,1789,12:44,1791,1100株,2百万円,0,0,1794.727円,8回,30.04億円
3695,2019-10-09,1809,1825,15:00,1809,09:50,1825,1000株,2百万円,+34,+1.90,1816.1円,9回,30.61億円
3695,2019-10-10,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,30.61億円
3695,2019-10-11,1825,1828,14:21,1825,13:58,1828,200株,－百万円,0,0,1826.5円,2回,30.66億円
3695,2019-10-15,1828,1832,13:43,1828,09:00,1832,1200株,2百万円,+4,+0.22,1831.333円,3回,30.72億円
3695,2019-10-16,1841,1841,09:00,1832,14:58,1832,800株,1百万円,0,0,1836.75円,6回,30.72億円
3695,2019-10-17,1895,1895,09:03,1856,09:12,1856,2300株,4百万円,+24,+1.31,1883.13円,6回,31.13億円
3695,2019-10-18,1851,1851,09:11,1830,15:00,1830,700株,1百万円,-26,-1.40,1833円,2回,30.69億円
