3864,2019-09-06,491,494,09:00,484,14:39,485,40300株,20百万円,-3,-0.61,487.963円,162回
3864,2019-09-07,487,487,09:00,477,09:28,482,75200株,36百万円,-3,-0.62,482.177円,320回
3864,2019-09-10,484,484,09:00,472,09:38,480,130400株,62百万円,-2,-0.41,477.917円,382回
3864,2019-09-11,480,492,14:32,478,09:43,492,95700株,46百万円,+12,+2.50,485.558円,287回
3864,2019-09-12,490,492,14:37,482,09:35,488,103400株,50百万円,-4,-0.81,486.683円,279回
3864,2019-09-13,486,494,13:04,482,09:28,491,155700株,76百万円,+3,+0.61,487.691円,290回
3864,2019-09-17,488,492,13:56,479,09:09,486,87800株,43百万円,-5,-1.02,485.764円,280回
3864,2019-09-17,486,490,09:00,474,13:58,480,121500株,58百万円,-6,-1.23,478.52円,349回,214.76億円
3864,2019-09-19,482,492,14:57,481,09:03,491,125500株,61百万円,+11,+2.29,486.341円,347回,219.68億円
3864,2019-09-20,493,500,14:59,492,09:01,500,220800株,110百万円,+9,+1.83,498.097円,206回,223.71億円
3864,2019-09-24,505,512,09:13,500,14:54,503,177200株,90百万円,+3,+0.60,505.845円,334回,225.05億円
3864,2019-09-25,500,504,14:18,487,09:03,497,50800株,25百万円,-6,-1.19,497.114円,143回,222.36億円
3864,2019-09-26,503,510,09:25,500,09:02,502,99200株,50百万円,+5,+1.01,503.846円,162回,224.60億円
3864,2019-09-27,504,504,09:00,487,12:40,490,73300株,36百万円,-12,-2.39,492.308円,209回,219.23億円
3864,2019-09-30,489,491,09:34,476,13:09,483,85500株,41百万円,-7,-1.43,482.978円,211回,216.10億円
3864,2019-10-01,479,500,10:20,479,09:00,497,52600株,26百万円,+14,+2.90,494.757円,176回,222.36億円
3864,2019-10-02,495,505,10:40,495,09:00,502,43800株,22百万円,+5,+1.01,500.431円,113回,224.60億円
3864,2019-10-03,486,488,14:54,481,12:30,488,56200株,27百万円,-14,-2.79,484.931円,127回,218.34億円
3864,2019-10-04,488,488,09:00,480,10:35,482,44300株,21百万円,-6,-1.23,482.923円,197回,215.65億円
3864,2019-10-07,486,491,09:00,477,14:45,479,61100株,29百万円,-3,-0.62,480.854円,135回,214.31億円
3864,2019-10-08,475,475,09:00,467,09:04,471,193500株,91百万円,-8,-1.67,470.242円,504回,210.73億円
3864,2019-10-09,464,474,14:46,464,09:00,473,107200株,50百万円,+2,+0.42,468.027円,237回,211.63億円
3864,2019-10-10,475,475,09:00,463,09:54,471,75500株,35百万円,-2,-0.42,469.777円,197回,210.73億円
3864,2019-10-11,472,473,09:00,466,09:06,471,124200株,58百万円,0,0,469.766円,322回,210.73億円
3864,2019-10-15,475,480,09:06,474,09:00,480,97400株,46百万円,+9,+1.91,477.288円,215回,214.76億円
3864,2019-10-16,475,481,09:52,474,12:36,478,120900株,58百万円,-2,-0.42,477.005円,309回,213.86億円
3864,2019-10-17,478,478,09:00,472,09:02,476,66600株,32百万円,-2,-0.42,474.595円,273回,212.97億円
3864,2019-10-18,479,483,09:06,473,13:22,475,77600株,37百万円,-1,-0.21,476.294円,244回,212.52億円
3864,2019-10-21,473,477,12:30,472,14:05,474,34300株,16百万円,-1,-0.21,473.892円,99回,212.07億円
3864,2019-10-23,474,478,14:35,472,09:21,476,77700株,37百万円,+2,+0.42,474.62円,276回,212.97億円
3864,2019-10-24,476,485,13:00,476,09:00,483,99800株,48百万円,+7,+1.47,480.813円,256回,216.10億円
3864,2019-10-25,480,481,09:00,471,09:59,472,128600株,61百万円,-11,-2.28,473.799円,330回,211.18億円
3864,2019-10-28,474,476,09:10,466,10:46,470,206900株,97百万円,-2,-0.42,470.069円,551回,210.28億円
3864,2019-10-29,472,493,09:56,472,09:00,487,236700株,114百万円,+17,+3.62,483.409円,549回,217.89億円
3864,2019-10-30,485,495,14:55,477,10:14,492,422700株,207百万円,+5,+1.03,489.893円,634回,220.13億円
3864,2019-10-31,495,497,09:36,489,09:06,496,103700株,51百万円,+4,+0.81,493.614円,313回,221.92億円
3864,2019-11-01,497,497,09:00,488,13:52,489,83300株,41百万円,-7,-1.41,491.993円,279回,218.79億円
3864,2019-11-05,493,502,14:05,493,09:00,501,130300株,65百万円,+12,+2.45,498.074円,319回,224.15億円
3864,2019-11-07,507,507,09:00,499,14:17,500,60300株,30百万円,-7,-1.38,501.799円,173回,223.71億円
