3891,2019-08-30,1174,1249,14:00,1164,09:03,1244,40100株,48百万円,+30,+2.47,1196.753円,163回
3891,2019-09-02,1214,1271,12:40,1195,09:08,1261,24300株,30百万円,+17,+1.37,1240.103円,126回
3891,2019-09-03,1243,1260,13:38,1236,09:14,1257,18200株,23百万円,-4,-0.32,1249.132円,111回
3891,2019-09-03,1241,1259,13:21,1232,09:35,1243,13600株,17百万円,-14,-1.11,1243.956円,94回
3891,2019-09-05,1236,1261,09:34,1236,09:00,1255,16200株,20百万円,+12,+0.97,1251.364円,117回
3891,2019-09-05,1251,1260,09:02,1246,14:44,1251,19400株,24百万円,-4,-0.32,1252.397円,128回
3891,2019-09-07,1241,1242,09:01,1222,09:05,1229,12200株,15百万円,-22,-1.76,1229.574円,60回
3891,2019-09-10,1220,1254,10:26,1220,09:00,1229,21700株,27百万円,0,0,1234.885円,126回
3891,2019-09-11,1223,1272,10:53,1223,09:00,1260,24600株,31百万円,+31,+2.52,1253.845円,177回
3891,2019-09-12,1256,1282,09:19,1242,15:00,1242,15300株,19百万円,-18,-1.43,1257.536円,95回
3891,2019-09-13,1236,1236,09:00,1202,09:26,1220,23100株,28百万円,-22,-1.77,1220.229円,129回
3891,2019-09-17,1204,1220,09:18,1203,14:44,1203,22700株,27百万円,-17,-1.39,1208.974円,123回
3891,2019-09-17,1201,1215,09:32,1200,12:44,1203,17400株,21百万円,0,0,1203.58円,95回,131.77億円
3891,2019-09-19,1201,1220,09:12,1197,12:55,1208,10800株,13百万円,+5,+0.42,1206.963円,51回,132.32億円
3891,2019-09-20,1200,1205,09:21,1190,12:30,1196,24000株,29百万円,-12,-0.99,1195.637円,128回,131.00億円
3891,2019-09-24,1196,1204,09:31,1181,12:39,1194,19900株,24百万円,-2,-0.17,1193.407円,90回,130.79億円
3891,2019-09-25,1183,1200,15:00,1178,09:13,1200,13700株,16百万円,+6,+0.50,1187.131円,63回,131.44億円
3891,2019-09-26,1193,1227,15:00,1193,09:00,1227,17700株,21百万円,+27,+2.25,1211.254円,89回,134.40億円
3891,2019-09-27,1221,1260,09:05,1221,09:00,1245,26800株,33百万円,+18,+1.47,1242.119円,139回,136.37億円
3891,2019-09-30,1240,1245,09:00,1220,12:35,1239,15900株,20百万円,-6,-0.48,1230.516円,61回,135.71億円
3891,2019-10-01,1226,1240,09:17,1212,15:00,1212,16800株,21百万円,-27,-2.18,1223.774円,79回,132.76億円
3891,2019-10-02,1202,1210,13:31,1185,09:02,1208,12100株,15百万円,-4,-0.33,1202.058円,62回,132.32億円
3891,2019-10-03,1192,1192,09:00,1156,13:58,1170,33300株,39百万円,-38,-3.15,1169.94円,214回,128.16億円
3891,2019-10-04,1167,1182,09:08,1161,13:34,1171,16600株,19百万円,+1,+0.09,1171.337円,85回,128.27億円
3891,2019-10-07,1170,1190,11:30,1163,09:59,1183,12200株,14百万円,+12,+1.02,1177.803円,44回,129.58億円
3891,2019-10-08,1183,1247,13:59,1183,09:00,1238,32100株,39百万円,+55,+4.65,1223.221円,193回,135.61億円
3891,2019-10-09,1217,1265,11:11,1217,09:00,1247,34800株,43百万円,+9,+0.73,1245.779円,161回,136.59億円
3891,2019-10-10,1300,1337,09:04,1268,09:34,1277,107500株,139百万円,+30,+2.41,1292.497円,474回,139.88億円
3891,2019-10-11,1307,1355,09:14,1299,09:02,1339,105800株,141百万円,+62,+4.86,1329.315円,512回,146.67億円
3891,2019-10-15,1387,1387,09:03,1335,14:58,1338,58200株,79百万円,-1,-0.07,1365.665円,257回,146.56億円
3891,2019-10-16,1340,1356,09:00,1306,15:00,1306,40900株,54百万円,-32,-2.39,1331.98円,236回,143.05億円
3891,2019-10-17,1306,1318,09:22,1301,10:27,1309,15100株,20百万円,+3,+0.23,1307.675円,74回,143.38億円
3891,2019-10-18,1306,1339,14:59,1306,09:00,1339,21700株,29百万円,+30,+2.29,1322.917円,129回,146.67億円
3891,2019-10-21,1341,1425,09:48,1341,09:00,1423,71800株,101百万円,+84,+6.27,1400.319円,386回,155.87億円
3891,2019-10-23,1429,1447,09:04,1401,12:30,1405,36700株,52百万円,-18,-1.26,1416.632円,167回,153.90億円
3891,2019-10-24,1403,1425,09:08,1387,12:30,1396,37500株,53百万円,-9,-0.64,1401.84円,136回,152.91億円
3891,2019-10-25,1393,1460,14:42,1390,09:11,1458,57800株,83百万円,+62,+4.44,1432.87円,335回,159.70億円
3891,2019-10-28,1458,1479,09:03,1426,13:20,1430,29200株,42百万円,-28,-1.92,1443.137円,156回,156.64億円
3891,2019-10-29,1448,1457,09:06,1439,09:15,1447,17800株,26百万円,+17,+1.19,1447.764円,114回,158.50億円
3891,2019-10-30,1461,1467,10:06,1429,12:50,1435,23700株,34百万円,-12,-0.83,1451.279円,151回,157.18億円
3891,2019-10-31,1449,1450,09:01,1404,11:02,1423,19000株,27百万円,-12,-0.84,1426.342円,124回,155.87億円
3891,2019-11-01,1281,1336,14:15,1260,09:12,1320,96800株,126百万円,-103,-7.24,1299.466円,525回,144.59億円
