3934,2019-08-30,1593,1656,09:25,1550,14:44,1571,84700株,135百万円,-31,-1.94,1596.986円,449回
3934,2019-09-02,1544,1549,13:28,1483,10:06,1549,53900株,82百万円,-22,-1.40,1520.735円,255回
3934,2019-09-03,1554,1589,12:36,1528,09:47,1580,75800株,119百万円,+31,+2.00,1569.963円,427回
3934,2019-09-03,1556,1799,09:44,1556,09:00,1798,257500株,445百万円,+218,+13.80,1727.78円,1490回
3934,2019-09-05,1789,1849,09:03,1704,11:03,1763,187100株,331百万円,-35,-1.95,1771.407円,875回
3934,2019-09-05,1780,1788,09:00,1610,14:56,1633,107600株,181百万円,-130,-7.37,1681.027円,620回
3934,2019-09-07,1616,1654,12:34,1553,09:13,1608,74700株,120百万円,-25,-1.53,1609.908円,395回
3934,2019-09-10,1601,1635,09:28,1442,13:25,1484,142900株,216百万円,-124,-7.71,1510.255円,656回
3934,2019-09-11,1483,1573,14:45,1483,09:00,1558,58800株,91百万円,+74,+4.99,1541.141円,294回
3934,2019-09-12,1551,1551,09:00,1463,11:13,1488,87700株,131百万円,-70,-4.49,1492.153円,414回
3934,2019-09-13,1505,1699,12:55,1494,09:02,1692,169100株,275百万円,+204,+13.71,1628.437円,916回
3934,2019-09-17,1655,1688,10:14,1560,12:35,1578,117800株,189百万円,-114,-6.74,1607.656円,642回
3934,2019-09-17,1585,1600,09:00,1530,12:57,1566,38600株,60百万円,-12,-0.76,1558.694円,228回,92.31億円
3934,2019-09-19,1583,1635,14:41,1544,12:52,1599,60600株,97百万円,+33,+2.11,1598.804円,324回,94.26億円
3934,2019-09-20,1660,1686,09:07,1607,09:47,1629,72400株,119百万円,+30,+1.88,1647.05円,380回,96.03億円
3934,2019-09-24,1624,1873,14:59,1602,09:00,1859,226800株,403百万円,+230,+14.12,1779.06円,1099回,109.58億円
3934,2019-09-25,1849,1849,09:00,1700,11:08,1788,190200株,337百万円,-71,-3.82,1772.2円,832回,105.40億円
3934,2019-09-26,1785,1830,09:13,1742,11:26,1771,56000株,100百万円,-17,-0.95,1786.575円,279回,104.40億円
3934,2019-09-27,1798,1820,09:07,1683,11:21,1690,88300株,152百万円,-81,-4.57,1716.724円,399回,99.62億円
3934,2019-09-30,1694,1745,10:40,1664,09:07,1721,55200株,94百万円,+31,+1.83,1707.804円,300回,101.45億円
3934,2019-10-01,1724,1766,09:03,1665,11:15,1715,51900株,89百万円,-6,-0.35,1708.64円,290回,101.10億円
3934,2019-10-02,1682,1807,14:35,1682,09:00,1786,67800株,119百万円,+71,+4.14,1760.313円,370回,105.28億円
3934,2019-10-03,1741,1852,14:59,1701,09:12,1845,122800株,219百万円,+59,+3.30,1783.22円,622回,108.76億円
3934,2019-10-04,1864,1945,09:00,1789,09:34,1812,101400株,186百万円,-33,-1.79,1834.053円,518回,106.81億円
3934,2019-10-07,1799,1814,10:27,1755,09:29,1780,46900株,84百万円,-32,-1.77,1784.772円,241回,104.93億円
3934,2019-10-08,1795,1816,09:18,1784,10:44,1794,40000株,72百万円,+14,+0.79,1796.453円,246回,105.75億円
3934,2019-10-09,1761,1792,12:53,1750,09:40,1768,41000株,72百万円,-26,-1.45,1764.868円,177回,104.22億円
3934,2019-10-10,1770,1824,13:58,1761,09:17,1775,42500株,76百万円,+7,+0.40,1793.442円,247回,104.63億円
3934,2019-10-11,1797,1797,09:00,1711,14:11,1713,73000株,127百万円,-62,-3.49,1736.169円,384回,100.98億円
3934,2019-10-15,1727,1764,10:34,1612,14:09,1630,115100株,192百万円,-83,-4.85,1671.515円,640回,96.08億円
3934,2019-10-16,1640,1663,09:51,1615,10:25,1659,37400株,61百万円,+29,+1.78,1640.821円,231回,97.79億円
3934,2019-10-17,1647,1693,13:19,1634,09:20,1687,20800株,35百万円,+28,+1.69,1665.034円,137回,99.44億円
3934,2019-10-18,1691,1704,09:04,1637,14:26,1645,34300株,57百万円,-42,-2.49,1668.962円,198回,96.98億円
3934,2019-10-21,1640,1640,09:00,1603,13:05,1608,32000株,52百万円,-37,-2.25,1613.053円,159回,94.80億円
3934,2019-10-23,1606,1654,14:54,1602,09:48,1642,20500株,33百万円,+34,+2.11,1629.898円,131回,96.81億円
3934,2019-10-24,1661,1661,09:00,1611,12:30,1611,19700株,32百万円,-31,-1.89,1620.396円,124回,94.98億円
3934,2019-10-25,1611,1657,14:45,1610,09:00,1653,36600株,60百万円,+42,+2.61,1636.713円,184回,97.46億円
3934,2019-10-28,1653,1666,09:00,1604,14:53,1616,30300株,49百万円,-37,-2.24,1625.703円,166回,95.27億円
3934,2019-10-29,1606,1646,12:59,1606,09:00,1607,16400株,27百万円,-9,-0.56,1619.445円,102回,94.74億円
