4004,2019-08-30,2705,2763,12:41,2698,09:03,2742,2017300株,5518百万円,+74,+2.77,2735.176円,3619回
4004,2019-09-02,2740,2741,09:02,2678,09:51,2712,1332100株,3605百万円,-30,-1.09,2706.234円,2775回
4004,2019-09-02,2740,2741,09:02,2678,09:51,2712,1332100株,3605百万円,-30,-1.09,2706.234円,2775回
4004,2019-09-03,2712,2782,12:38,2712,09:00,2758,1358900株,3750百万円,+46,+1.70,2759.224円,3216回
4004,2019-09-03,2712,2782,12:38,2712,09:00,2758,1358900株,3750百万円,+46,+1.70,2759.224円,3216回
4004,2019-09-03,2727,2731,09:04,2681,09:58,2719,1570700株,4261百万円,-39,-1.41,2712.534円,3377回
4004,2019-09-03,2727,2731,09:04,2681,09:58,2719,1570700株,4261百万円,-39,-1.41,2712.534円,3377回
4004,2019-09-05,2749,2818,11:09,2748,09:00,2783,2046100株,5702百万円,+64,+2.35,2786.554円,4164回
4004,2019-09-05,2749,2818,11:09,2748,09:00,2783,2046100株,5702百万円,+64,+2.35,2786.554円,4164回
4004,2019-09-05,2831,2853,09:36,2798,14:23,2809,1984400株,5602百万円,+26,+0.93,2822.938円,4015回
4004,2019-09-05,2831,2853,09:36,2798,14:23,2809,1984400株,5602百万円,+26,+0.93,2822.938円,4015回
4004,2019-09-07,2822,2859,12:30,2814,09:00,2845,1630300株,4635百万円,+36,+1.28,2843.182円,3031回
4004,2019-09-10,2887,2993,14:35,2882,09:00,2988,2982900株,8815百万円,+143,+5.03,2955.231円,6187回
4004,2019-09-11,3060,3110,09:40,3045,09:45,3080,3226800株,9931百万円,+92,+3.08,3077.792円,3753回
4004,2019-09-12,3135,3175,09:04,3070,14:59,3075,2241400株,6963百万円,-5,-0.16,3106.451円,2823回
4004,2019-09-13,3065,3085,09:03,3025,09:20,3080,1740500株,5326百万円,+5,+0.16,3059.956円,2433回
4004,2019-09-17,3105,3110,09:00,3035,11:04,3060,1340700株,4118百万円,-20,-0.65,3071.648円,1901回
4004,2019-09-17,3060,3085,13:11,3045,09:28,3070,1223500株,3749百万円,+10,+0.33,3063.957円,2054回,4596.14億円
4004,2019-09-19,3080,3095,09:00,2991,14:59,2992,1838900株,5553百万円,-78,-2.54,3019.641円,2818回,4479.36億円
4004,2019-09-20,2998,3000,09:00,2907,13:03,2939,2757200株,8103百万円,-53,-1.77,2938.968円,5514回,4400.01億円
4004,2019-09-24,2945,2978,09:31,2928,14:41,2937,1496500株,4414百万円,-2,-0.07,2949.862円,3238回,4397.02億円
4004,2019-09-25,2898,2899,09:00,2820,10:01,2841,2476900株,7049百万円,-96,-3.27,2845.769円,5111回,4253.30億円
4004,2019-09-26,2897,2973,09:31,2888,14:58,2895,2376000株,6944百万円,+54,+1.90,2922.47円,4893回,4334.14億円
4004,2019-09-27,2882,2912,09:04,2838,09:39,2867,1832500株,5242百万円,-28,-0.97,2860.446円,3791回,4292.22億円
4004,2019-09-30,2856,2863,11:06,2820,14:25,2825,2098700株,5952百万円,-42,-1.46,2836.139円,3539回,4229.34億円
4004,2019-10-01,2845,2881,10:57,2819,09:11,2876,2700400株,7723百万円,+51,+1.81,2859.794円,4552回,4305.70億円
4004,2019-10-02,2808,2824,09:03,2789,09:07,2820,3274900株,9196百万円,-56,-1.95,2807.891円,5048回,4221.86億円
4004,2019-10-03,2741,2765,09:32,2730,09:04,2758,2540900株,6984百万円,-62,-2.20,2748.816円,4525回,4129.04億円
4004,2019-10-04,2758,2760,14:42,2737,09:01,2758,1195900株,3290百万円,0,0,2751.365円,2877回,4129.04億円
4004,2019-10-07,2760,2767,09:04,2723,11:12,2747,1899200株,5208百万円,-11,-0.40,2742.317円,3230回,4112.57億円
4004,2019-10-08,2766,2819,11:04,2766,09:00,2798,1704900株,4766百万円,+51,+1.86,2795.742円,3591回,4188.92億円
4004,2019-10-09,2743,2760,12:53,2737,13:50,2754,1708100株,4694百万円,-44,-1.57,2748.303円,2846回,4123.05億円
4004,2019-10-10,2772,2818,10:43,2757,09:38,2815,2091500株,5855百万円,+61,+2.21,2799.636円,4213回,4214.37億円
4004,2019-10-11,2830,2880,14:58,2808,09:00,2878,1987900株,5671百万円,+63,+2.24,2852.828円,4252回,4308.69億円
4004,2019-10-15,2976,3010,09:03,2920,14:59,2922,2442300株,7232百万円,+44,+1.53,2961.24円,4616回,4374.56億円
4004,2019-10-16,2972,3005,09:03,2900,13:20,2923,2077400株,6117百万円,+1,+0.03,2944.659円,4589回,4376.06億円
4004,2019-10-17,2913,2957,12:49,2883,09:05,2941,1540900株,4515百万円,+18,+0.62,2930.293円,3466回,4403.01億円
4004,2019-10-18,2950,3010,10:17,2949,09:00,2975,2006600株,5986百万円,+34,+1.16,2982.954円,4214回,4453.91億円
4004,2019-10-21,2950,2968,09:00,2912,15:00,2912,2419300株,7101百万円,-63,-2.12,2935.304円,5079回,4359.59億円
4004,2019-10-23,2956,2982,09:02,2920,09:19,2971,2682400株,7925百万円,+59,+2.03,2954.448円,6019回,4447.92億円
4004,2019-10-24,2993,3030,12:31,2987,09:24,3025,1938800株,5843百万円,+54,+1.82,3013.766円,2721回,4528.77億円
4004,2019-10-25,3030,3070,10:04,3030,09:00,3045,2216100株,6751百万円,+20,+0.66,3046.31円,2916回,4558.71億円
4004,2019-10-28,3090,3130,09:09,3055,13:16,3065,1684000株,5187百万円,+20,+0.66,3080.183円,2271回,4588.65億円
4004,2019-10-29,3110,3120,09:02,3060,14:43,3080,1668200株,5146百万円,+15,+0.49,3084.716円,2079回,4611.11億円
4004,2019-10-30,3090,3090,09:00,3020,12:53,3040,1465700株,4463百万円,-40,-1.30,3045.191円,2226回,4551.22億円
4004,2019-10-31,3050,3085,12:57,3025,10:57,3075,1631100株,4993百万円,+25,+0.82,3061.372円,1930回,4603.62億円
4004,2019-11-01,3010,3030,11:29,2990,09:29,3030,1420900株,4287百万円,-45,-1.46,3017.165円,2146回,4536.25億円
4004,2019-11-05,3100,3140,09:09,3085,09:00,3110,2135800株,6657百万円,+80,+2.64,3116.701円,2471回,4656.02億円
4004,2019-11-06,3145,3165,09:41,3120,12:35,3145,2117000株,6653百万円,+35,+1.13,3142.653円,2616回,4708.42億円
4004,2019-11-07,3005,3145,10:11,3000,09:04,3135,3264100株,10091百万円,-10,-0.32,3091.422円,3540回,4693.45億円
4004,2019-11-08,3180,3240,09:10,3175,09:00,3200,2740000株,8760百万円,+65,+2.07,3197.157円,3085回,4790.76億円
4004,2019-11-11,3235,3240,09:00,3160,11:29,3170,1504100株,4791百万円,-30,-0.94,3185.134円,2063回,4745.85億円
4004,2019-11-12,3180,3290,14:35,3175,09:00,3290,2813600株,9146百万円,+120,+3.79,3250.655円,3036回,4925.50億円
4004,2019-11-13,3285,3320,10:07,3245,09:08,3300,2168600株,7125百万円,+10,+0.30,3285.511円,2537回,4940.47億円
4004,2019-11-14,3285,3285,09:00,3200,14:19,3200,2736900株,8840百万円,-105,-3.18,3230.086円,3519回,4790.76億円
4004,2019-11-15,3175,3210,12:30,3130,09:09,3195,1832100株,5825百万円,-5,-0.16,3179.209円,2330回,4783.28億円
4004,2019-11-18,3200,3200,09:00,3130,09:14,3140,1583200株,4978百万円,-55,-1.72,3144.04円,2113回,4700.93億円
4004,2019-11-19,3130,3150,12:42,3080,09:11,3135,1525600株,4760百万円,-5,-0.16,3119.976円,2114回,4693.45億円
4004,2019-11-20,3085,3115,09:41,3060,11:28,3075,1808600株,5571百万円,-60,-1.91,3080.238円,2277回,4603.62億円
4004,2019-11-21,3040,3065,09:20,3005,10:49,3030,1653200株,5003百万円,-45,-1.46,3026.538円,2191回,4536.25億円
4004,2019-11-22,3010,3070,12:30,3000,09:01,3035,1534400株,4667百万円,+5,+0.17,3041.427円,1701回,4543.74億円
4004,2019-11-25,3075,3130,11:09,3070,09:01,3085,1317500株,4079百万円,+50,+1.65,3095.739円,1532回,4618.59億円
4004,2019-11-26,2845,2978,10:49,2818,09:09,2900,12529600株,36520百万円,-185,-6.00,2914.685円,18800回,4341.63億円
4004,2019-11-27,2900,2932,10:00,2873,09:02,2918,5105500株,14876百万円,+18,+0.62,2913.772円,7585回,4368.58億円
4004,2019-11-28,2938,2976,09:24,2913,13:53,2919,2927100株,8605百万円,+1,+0.03,2939.924円,4902回,4370.07億円
4004,2019-11-29,2950,2954,09:00,2921,14:59,2923,2973900株,8717百万円,+4,+0.14,2931.163円,3489回,4376.06億円
4004,2019-12-02,2924,2985,11:05,2924,09:00,2965,2641000株,7840百万円,+42,+1.44,2968.683円,4066回,4438.94億円
4004,2019-12-03,2937,2963,15:00,2919,09:00,2963,1779300株,5250百万円,-2,-0.07,2950.44円,3208回,4435.95億円
4004,2019-12-05,2939,2952,09:03,2921,12:33,2935,1839000株,5395百万円,+18,+0.62,2933.613円,3344回,4394.03億円
4004,2019-12-06,2945,2980,10:17,2942,09:00,2953,2425200株,7178百万円,+18,+0.61,2959.774円,3716回,4420.97億円
4004,2019-12-09,2986,3005,09:00,2980,09:08,2987,2140600株,6405百万円,+34,+1.15,2992.162円,3774回,4471.88億円
4004,2019-12-10,2982,3010,09:07,2973,09:00,2995,1552000株,4648百万円,+8,+0.27,2994.629円,2382回,4483.85億円
4004,2019-12-13,3020,3040,09:12,2988,09:37,3000,2916700株,8779百万円,+34,+1.15,3009.822円,3265回,4491.34億円
4004,2019-12-16,2999,3025,09:03,2999,09:00,3005,1018300株,3066百万円,+5,+0.17,3010.757円,1518回,4498.82億円
4004,2019-12-17,3030,3060,09:08,3025,09:00,3040,1565500株,4770百万円,+35,+1.16,3046.778円,1881回,4551.22億円
4004,2019-12-18,3040,3060,09:21,2998,14:44,3020,2034500株,6168百万円,-20,-0.66,3031.795円,2005回,4521.28億円
4004,2019-12-19,2908,2995,10:21,2888,09:04,2940,8296500株,24424百万円,-80,-2.65,2943.91円,11697回,4401.51億円
4004,2019-12-20,2945,2990,12:38,2936,09:05,2975,2961100株,8784百万円,+35,+1.19,2966.418円,4857回,4453.91億円
4004,2019-12-23,2997,3020,10:12,2973,09:13,3010,1899200株,5708百万円,+35,+1.18,3005.526円,2973回,4506.31億円
4004,2019-12-24,3020,3035,09:15,3000,12:32,3015,1245300株,3754百万円,+5,+0.17,3014.741円,1449回,4513.80億円
4004,2019-12-25,3015,3015,09:00,2983,12:49,2999,1199600株,3594百万円,-16,-0.53,2995.633円,1920回,4489.84億円
4004,2019-12-26,2990,3035,14:14,2983,09:00,3025,1888900株,5692百万円,+26,+0.87,3013.564円,1613回,4528.77億円
4004,2019-12-27,2950,2970,09:01,2930,10:37,2955,2194900株,6470百万円,-70,-2.31,2947.691円,3268回,4423.97億円
4004,2019-12-30,2938,2938,09:00,2889,09:10,2899,2048600株,5952百万円,-56,-1.90,2905.319円,3320回,4340.13億円
4004,2020-01-06,2849,2849,09:01,2802,10:10,2839,2722000株,7681百万円,-60,-2.07,2821.779円,4896回,4250.30億円
4004,2020-01-07,2850,2869,09:06,2830,12:58,2833,1584300株,4499百万円,-6,-0.21,2839.465円,2841回,4241.32億円
4004,2020-01-08,2786,2786,09:00,2746,10:37,2756,3164900株,8734百万円,-77,-2.72,2759.779円,5424回,4126.04億円
4004,2020-01-09,2801,2809,09:02,2763,14:07,2764,1943800株,5408百万円,+8,+0.29,2781.928円,3218回,4138.02億円
4004,2020-01-10,2756,2763,09:00,2725,09:26,2746,2640000株,7239百万円,-18,-0.65,2742.136円,3782回,4111.07億円
