4215,2019-09-06,615,621,09:02,612,11:27,614,54700株,34百万円,-3,-0.49,615.914円,176回
4215,2019-09-07,614,621,13:36,613,09:04,621,78100株,48百万円,+7,+1.14,617.675円,261回
4215,2019-09-10,623,627,10:29,620,09:21,626,68500株,43百万円,+5,+0.81,623.85円,208回
4215,2019-09-11,626,634,14:42,624,09:24,632,88500株,56百万円,+6,+0.96,629.699円,243回
4215,2019-09-12,638,642,09:48,634,09:13,636,94700株,60百万円,+4,+0.63,637.397円,249回
4215,2019-09-13,642,649,14:01,636,09:18,646,153000株,98百万円,+10,+1.57,643.349円,324回
4215,2019-09-17,651,658,12:30,644,09:04,653,86800株,57百万円,+7,+1.08,652.887円,251回
4215,2019-09-17,653,654,09:00,644,12:46,648,79400株,51百万円,-5,-0.77,648.141円,236回,631.80億円
4215,2019-09-19,652,665,14:52,652,09:00,663,111400株,74百万円,+15,+2.31,660.374円,272回,646.42億円
4215,2019-09-20,672,676,09:15,666,13:14,672,80400株,54百万円,+9,+1.36,671.608円,222回,655.20億円
4215,2019-09-24,671,677,09:16,664,14:40,665,80300株,54百万円,-7,-1.04,669.569円,234回,648.38億円
4215,2019-09-25,666,666,09:00,651,10:10,664,74300株,49百万円,-1,-0.15,661.779円,175回,647.40億円
4215,2019-09-26,673,676,09:53,661,14:51,665,114000株,76百万円,+1,+0.15,667.93円,326回,648.38億円
4215,2019-09-27,660,660,09:00,634,13:56,642,85100株,55百万円,-23,-3.46,641.297円,273回,625.95億円
4215,2019-09-30,633,639,09:31,623,13:34,626,79400株,50百万円,-16,-2.49,629.748円,264回,610.35億円
4215,2019-10-01,629,636,10:09,629,09:00,633,49600株,31百万円,+7,+1.12,632.994円,189回,617.17億円
4215,2019-10-02,622,629,10:44,614,09:04,627,90200株,56百万円,-6,-0.95,623.11円,353回,611.32億円
4215,2019-10-03,609,612,15:00,604,09:05,612,145800株,89百万円,-15,-2.39,608.117円,483回,596.70億円
4215,2019-10-04,606,612,14:58,601,09:59,612,105700株,64百万円,0,0,605.934円,348回,596.70億円
4215,2019-10-07,612,612,09:00,605,10:42,608,63700株,39百万円,-4,-0.65,607.667円,230回,592.80億円
4215,2019-10-08,611,616,09:08,611,09:00,616,99700株,61百万円,+8,+1.32,614.161円,433回,600.60億円
4215,2019-10-09,612,617,12:30,606,09:29,617,70000株,43百万円,+1,+0.16,613.643円,222回,601.57億円
4215,2019-10-10,617,617,09:00,608,09:31,613,69500株,43百万円,-4,-0.65,612.449円,251回,597.67億円
