4587,2019-08-30,5470,5580,10:09,5450,09:00,5570,671200株,3716百万円,+70,+1.27,5535.799円,1187回
4587,2019-09-02,5570,5610,09:02,5480,12:30,5490,445300株,2457百万円,-80,-1.44,5517.528円,1213回
4587,2019-09-03,5490,5540,09:18,5470,10:09,5520,330800株,1822百万円,+30,+0.55,5507.962円,817回
4587,2019-09-03,5490,5520,09:13,5450,12:30,5460,323800株,1773百万円,-60,-1.09,5476.665円,749回
4587,2019-09-05,5470,5560,10:59,5440,09:00,5530,406500株,2244百万円,+70,+1.28,5519.589円,815回
4587,2019-09-05,5530,5530,09:00,5470,09:39,5470,337200株,1850百万円,-60,-1.08,5487.782円,737回
4587,2019-09-07,5450,5500,10:01,5430,09:01,5470,274400株,1502百万円,0,0,5472.642円,622回
4587,2019-09-10,5400,5400,09:00,5140,14:31,5140,1101300株,5760百万円,-330,-6.03,5230.381円,1902回
4587,2019-09-11,5100,5240,12:39,5020,09:04,5200,893100株,4592百万円,+60,+1.17,5141.33円,1873回
4587,2019-09-12,5180,5210,09:12,5120,14:58,5120,838300株,4319百万円,-80,-1.54,5151.98円,1349回
4587,2019-09-13,5050,5160,14:59,5030,09:15,5160,1400700株,7135百万円,+40,+0.78,5093.818円,2546回
4587,2019-09-17,5180,5400,12:51,5170,09:00,5380,744400株,3970百万円,+220,+4.26,5332.512円,1366回
4587,2019-09-17,5340,5470,14:37,5320,09:15,5470,569600株,3077百万円,+90,+1.67,5402.144円,1071回,6854.48億円
4587,2019-09-19,5530,5540,09:00,5430,09:26,5460,608900株,3334百万円,-10,-0.18,5475.257円,1270回,6841.95億円
4587,2019-09-20,5550,5570,09:00,5370,14:38,5400,630200株,3440百万円,-60,-1.10,5459.01円,1212回,6766.76億円
4587,2019-09-24,5420,5480,09:08,5310,14:52,5340,505100株,2717百万円,-60,-1.11,5379.911円,1038回,6691.58億円
4587,2019-09-25,5280,5330,09:03,5220,09:25,5260,381600株,2009百万円,-80,-1.50,5265.82円,928回,6591.33億円
4587,2019-09-26,5280,5300,09:01,5160,14:51,5180,641800株,3344百万円,-80,-1.52,5210.944円,1194回,6491.08億円
4587,2019-09-27,5200,5220,09:00,5090,13:45,5150,531000株,2730百万円,-30,-0.58,5141.345円,1402回,6453.49億円
4587,2019-09-30,5110,5150,09:54,5100,09:00,5130,520900株,2669百万円,-20,-0.39,5123.509円,1109回,6428.42億円
4587,2019-10-01,5130,5260,11:07,5080,09:20,5240,584900株,3046百万円,+110,+2.14,5208.501円,1332回,6566.26億円
4587,2019-10-02,5220,5220,09:00,5090,14:53,5090,710000株,3652百万円,-150,-2.86,5143.868円,1376回,6378.30億円
4587,2019-10-03,5010,5050,09:06,4905,14:36,4910,1024300株,5083百万円,-180,-3.54,4962.544円,1968回,6152.74億円
4587,2019-10-04,4925,4925,09:00,4835,12:34,4890,855200株,4174百万円,-20,-0.41,4881.05円,1980回,6127.68億円
4587,2019-10-07,4915,5030,14:59,4900,09:00,5030,651700株,3247百万円,+140,+2.86,4982.889円,1577回,6303.11億円
4587,2019-10-08,5050,5170,14:59,5020,09:06,5170,565900株,2895百万円,+140,+2.78,5115.476円,1259回,6478.55億円
4587,2019-10-09,5070,5150,12:33,5050,09:01,5130,397300株,2032百万円,-40,-0.77,5115.411円,956回,6428.42億円
4587,2019-10-10,5100,5100,09:00,4930,13:49,4930,763300株,3793百万円,-200,-3.90,4969.562円,1713回,6177.80億円
4587,2019-10-11,4970,4990,09:30,4910,09:20,4925,549300株,2716百万円,-5,-0.10,4944.355円,1361回,6171.54億円
4587,2019-10-15,4995,5010,09:01,4900,12:32,4910,797900株,3941百万円,-15,-0.30,4938.988円,1619回,6152.74億円
4587,2019-10-16,4990,5040,09:12,4920,14:31,4940,413800株,2056百万円,+30,+0.61,4967.554円,943回,6190.33億円
4587,2019-10-17,4940,4970,09:14,4915,14:36,4925,424300株,2094百万円,-15,-0.30,4935.729円,1067回,6171.54億円
4587,2019-10-18,4940,5050,09:29,4940,09:00,4970,519900株,2594百万円,+45,+0.91,4989.666円,1060回,6227.93億円
4587,2019-10-21,4945,5000,09:29,4920,14:38,4935,427900株,2118百万円,-35,-0.70,4949.825円,903回,6184.07億円
4587,2019-10-23,4975,5190,14:46,4975,09:00,5170,821400株,4197百万円,+235,+4.76,5109.954円,1464回,6478.55億円
4587,2019-10-24,5200,5260,09:07,5150,11:24,5160,522300株,2713百万円,-10,-0.19,5194.438円,1187回,6466.02億円
4587,2019-10-25,5240,5340,14:50,5220,09:02,5320,631200株,3340百万円,+160,+3.10,5292.139円,1253回,6666.51億円
4587,2019-10-28,5300,5370,09:21,5270,09:04,5320,418200株,2226百万円,0,0,5322.549円,1166回,6666.51億円
4587,2019-10-29,5360,5400,11:07,5300,09:15,5330,540400株,2893百万円,+10,+0.19,5353.449円,1334回,6679.04億円
4587,2019-10-30,5400,5480,09:06,5370,13:30,5440,855300株,4646百万円,+110,+2.06,5431.881円,1337回,6816.89億円
4587,2019-10-31,5410,5490,09:59,5400,11:27,5460,557700株,3041百万円,+20,+0.37,5453.416円,1081回,6841.95億円
4587,2019-11-01,5420,5490,14:51,5410,09:03,5490,421500株,2300百万円,+30,+0.55,5456.667円,937回,6879.54億円
4587,2019-11-05,5510,5540,09:00,5420,14:54,5430,669200株,3654百万円,-60,-1.09,5459.961円,1699回,6804.35億円
4587,2019-11-07,5360,5440,09:09,5020,09:35,5100,2177400株,11155百万円,-210,-3.95,5123.259円,4047回,6390.83億円
4587,2019-11-08,5180,5280,14:51,5110,09:02,5280,1410700株,7345百万円,+180,+3.53,5206.674円,2750回,6616.39億円
4587,2019-11-11,5340,5390,09:13,5250,12:34,5290,601900株,3194百万円,+10,+0.19,5306.558円,1185回,6628.92億円
4587,2019-11-12,5210,5240,09:00,5150,09:11,5210,761800株,3964百万円,-80,-1.51,5203.548円,1522回,6528.67億円
4587,2019-11-13,5130,5240,09:13,4905,14:58,4905,1277200株,6410百万円,-305,-5.85,5018.731円,2362回,6146.48億円
4587,2019-11-14,4875,5010,09:08,4730,14:59,4740,1313000株,6339百万円,-165,-3.36,4827.773円,2595回,5939.71億円
4587,2019-11-15,4700,4775,09:01,4585,12:44,4655,1304800株,6069百万円,-85,-1.79,4650.905円,2953回,5833.20億円
4587,2019-11-18,4660,4795,09:03,4645,09:00,4705,837900株,3946百万円,+50,+1.07,4708.886円,1977回,5895.85億円
4587,2019-11-19,4915,5080,14:29,4860,09:07,5040,1389200株,6927百万円,+335,+7.12,4986.306円,2825回,6315.64億円
