4592,2019-08-30,3255,3375,14:59,3210,09:06,3340,421500株,1396百万円,+165,+5.20,3311.419円,1060回
4592,2019-09-02,3410,3935,11:23,3385,09:00,3600,5420100株,20167百万円,+260,+7.78,3720.798円,13322回
4592,2019-09-03,3640,3650,09:00,3460,13:17,3485,1719600株,6094百万円,-115,-3.19,3543.733円,4335回
4592,2019-09-03,3450,3470,09:00,3290,14:39,3295,1241200株,4154百万円,-190,-5.45,3346.897円,2686回
4592,2019-09-05,3340,3390,10:26,3315,09:18,3340,545200株,1823百万円,+45,+1.37,3344.254円,1346回
4592,2019-09-05,3330,3375,13:57,3320,09:01,3355,263400株,882百万円,+15,+0.45,3347.938円,765回
4592,2019-09-07,3330,3340,09:09,3270,09:31,3315,302800株,1001百万円,-40,-1.19,3304.217円,903回
4592,2019-09-10,3310,3330,13:50,3280,09:06,3330,202600株,671百万円,+15,+0.45,3309.965円,593回
4592,2019-09-11,3335,3480,13:01,3320,09:02,3475,605900株,2079百万円,+145,+4.35,3431.849円,1388回
4592,2019-09-12,3450,3485,09:10,3310,14:57,3320,642800株,2159百万円,-155,-4.46,3359.301円,1617回
4592,2019-09-13,3345,3350,10:19,3270,09:16,3310,376100株,1243百万円,-10,-0.30,3306.187円,945回
4592,2019-09-17,3365,3500,09:21,3325,09:01,3410,701800株,2394百万円,+100,+3.02,3411.034円,1744回
4592,2019-09-17,3400,3575,09:57,3380,09:03,3555,969000株,3407百万円,+145,+4.25,3515.816円,2082回,1839.15億円
4592,2019-09-19,3585,3655,09:18,3525,10:52,3540,689800株,2469百万円,-15,-0.42,3578.889円,1848回,1831.39億円
4592,2019-09-20,3950,4240,09:40,3935,09:15,4185,5720000株,23670百万円,+645,+18.22,4138.188円,12105回,2167.17億円
4592,2019-09-24,4065,4380,10:09,3990,09:03,4050,3335800株,13986百万円,-135,-3.23,4192.763円,8352回,2097.26億円
4592,2019-09-25,4115,4240,09:06,4080,10:58,4205,1752500株,7309百万円,+155,+3.83,4170.656円,4253回,2177.53億円
4592,2019-09-26,4295,4550,10:18,4275,09:14,4460,3308700株,14670百万円,+255,+6.06,4433.821円,7604回,2309.58億円
4592,2019-09-27,4560,4620,09:04,4430,12:53,4490,2205600株,9988百万円,+30,+0.67,4528.565円,5467回,2325.11億円
4592,2019-09-30,4440,4505,09:05,4325,10:10,4490,1044500株,4625百万円,0,0,4428.262円,2746回,2325.11億円
4592,2019-10-01,4510,4520,09:00,4355,14:59,4370,746100株,3289百万円,-120,-2.67,4408.474円,1912回,2262.97億円
4592,2019-10-02,4300,4340,09:10,4180,12:30,4255,926700株,3948百万円,-115,-2.63,4260.577円,2174回,2203.42億円
4592,2019-10-03,4170,4275,14:56,4155,09:03,4270,657200株,2773百万円,+15,+0.35,4218.774円,1602回,2211.19億円
4592,2019-10-04,4270,4375,10:23,4240,09:04,4300,757000株,3274百万円,+30,+0.70,4325.563円,1833回,2226.72億円
4592,2019-10-07,4340,4345,09:00,4235,13:02,4305,410800株,1758百万円,+5,+0.12,4280.562円,993回,2229.31億円
4592,2019-10-08,4280,4305,09:02,4200,14:16,4215,465400株,1971百万円,-90,-2.09,4236.093円,1145回,2182.70億円
4592,2019-10-09,4195,4310,13:10,4160,09:03,4280,493200株,2094百万円,+65,+1.54,4245.019円,1171回,2216.36億円
4592,2019-10-10,4300,4300,09:00,4165,14:58,4175,473500株,1993百万円,-105,-2.45,4209.443円,1261回,2161.99億円
4592,2019-10-11,4190,4190,09:00,3985,10:52,4010,792700株,3209百万円,-165,-3.95,4048.67円,2054回,2076.55億円
4592,2019-10-15,4000,4075,09:40,3920,09:03,4025,499700株,2005百万円,+15,+0.37,4013.152円,1546回,2084.31億円
4592,2019-10-16,4040,4085,10:08,3985,12:30,3990,372900株,1499百万円,-35,-0.87,4021.177円,973回,2066.19億円
4592,2019-10-17,3960,3990,09:02,3895,13:07,3895,537500株,2107百万円,-95,-2.38,3920.843円,1235回,2017.00億円
4592,2019-10-18,3825,3935,11:15,3810,09:00,3880,499500株,1936百万円,-15,-0.39,3875.451円,1212回,2009.26億円
4592,2019-10-21,3840,3910,09:05,3805,15:00,3805,357700株,1375百万円,-75,-1.93,3845.375円,1140回,1970.42億円
4592,2019-10-23,3940,3965,09:03,3820,09:55,3845,593000株,2294百万円,+40,+1.05,3868.039円,1752回,1991.13億円
4592,2019-10-24,3960,4230,12:47,3920,09:03,4205,2304200株,9501百万円,+360,+9.36,4123.208円,5442回,2177.56億円
4592,2019-10-25,4145,4240,09:38,4085,09:09,4210,1130300株,4706百万円,+5,+0.12,4163.454円,2900回,2180.15億円
4592,2019-10-28,4250,4270,09:02,4135,14:30,4140,573300株,2401百万円,-70,-1.66,4187.684円,1469回,2143.90億円
4592,2019-10-29,4155,4390,14:39,4105,09:37,4375,1606300株,6913百万円,+235,+5.68,4303.561円,3444回,2265.59億円
4592,2019-10-30,4330,4385,09:06,4265,09:56,4325,756200株,3262百万円,-50,-1.14,4313.629円,1825回,2239.70億円
4592,2019-10-31,4335,4415,14:21,4295,10:17,4410,815900株,3563百万円,+85,+1.97,4366.619円,1852回,2283.72億円
4592,2019-11-01,4385,4445,12:30,4355,09:01,4400,554600株,2441百万円,-10,-0.23,4401.251円,1385回,2278.54億円
4592,2019-11-05,4380,4400,09:55,4290,14:51,4290,740500株,3218百万円,-110,-2.50,4345.28円,1653回,2221.58億円
