4593,2019-08-30,1265,1300,14:57,1256,09:00,1293,132600株,170百万円,+46,+3.69,1282.878円,586回
4593,2019-09-02,1277,1322,12:31,1251,09:04,1313,154800株,201百万円,+20,+1.55,1299.392円,854回
4593,2019-09-03,1301,1316,14:49,1287,10:59,1313,117600株,153百万円,0,0,1303.778円,659回
4593,2019-09-03,1288,1313,14:59,1274,09:21,1311,101800株,132百万円,-2,-0.15,1299.934円,480回
4593,2019-09-05,1311,1356,12:35,1301,09:00,1321,189200株,253百万円,+10,+0.76,1338.019円,777回
4593,2019-09-05,1314,1355,13:45,1312,09:01,1335,122300株,164百万円,+14,+1.06,1337.964円,608回
4593,2019-09-07,1338,1349,09:00,1285,13:14,1297,158800株,207百万円,-38,-2.85,1303.53円,660回
4593,2019-09-10,1293,1306,09:00,1268,14:29,1273,106900株,137百万円,-24,-1.85,1279.046円,574回
4593,2019-09-11,1271,1297,12:35,1254,09:01,1297,79500株,102百万円,+24,+1.89,1282.535円,354回
4593,2019-09-12,1300,1329,09:36,1259,12:31,1280,186300株,242百万円,-17,-1.31,1300.419円,696回
4593,2019-09-13,1270,1273,09:02,1257,12:43,1268,114300株,145百万円,-12,-0.94,1265.538円,434回
4593,2019-09-17,1262,1269,09:21,1255,12:36,1268,116500株,147百万円,0,0,1262.754円,437回
4593,2019-09-17,1260,1264,09:03,1248,13:41,1260,123700株,155百万円,-8,-0.63,1254.737円,515回,645.53億円
4593,2019-09-19,1261,1297,09:29,1242,14:49,1248,204800株,260百万円,-12,-0.95,1270.553円,864回,639.38億円
4593,2019-09-20,1244,1270,12:49,1227,09:01,1260,159000株,200百万円,+12,+0.96,1257.006円,668回,645.58億円
4593,2019-09-24,1255,1286,10:15,1246,09:05,1268,132800株,169百万円,+8,+0.63,1269.149円,653回,649.68億円
4593,2019-09-25,1274,1297,13:29,1264,09:02,1294,118900株,153百万円,+26,+2.05,1283.647円,602回,663.01億円
4593,2019-09-26,1311,1357,10:53,1292,09:18,1330,331900株,441百万円,+36,+2.78,1330.207円,1262回,681.45億円
4593,2019-09-27,1315,1337,09:07,1286,13:38,1292,146000株,190百万円,-38,-2.86,1303.923円,667回,661.98億円
4593,2019-09-30,1292,1308,09:10,1276,13:19,1286,94800株,122百万円,-6,-0.46,1286.584円,347回,658.91億円
4593,2019-10-01,1281,1296,09:04,1259,09:41,1264,170800株,216百万円,-22,-1.71,1267.394円,709回,647.63億円
4593,2019-10-02,1255,1260,09:00,1244,09:06,1249,118300株,148百万円,-15,-1.19,1251.033円,581回,639.95億円
4593,2019-10-03,1268,1269,09:00,1248,09:00,1250,121100株,152百万円,+1,+0.08,1254.363円,628回,640.46億円
4593,2019-10-04,1260,1324,14:59,1255,09:02,1324,189100株,245百万円,+74,+5.92,1295.867円,741回,678.38億円
4593,2019-10-07,1324,1324,09:00,1302,09:00,1318,88000株,116百万円,-6,-0.45,1316.534円,444回,675.30億円
4593,2019-10-08,1318,1321,09:05,1291,09:52,1294,124800株,162百万円,-24,-1.82,1301.009円,678回,663.01億円
4593,2019-10-09,1282,1289,09:01,1263,12:36,1264,125300株,159百万円,-30,-2.32,1270.493円,606回,647.63億円
4593,2019-10-10,1288,1288,09:00,1251,15:00,1251,86100株,109百万円,-13,-1.03,1260.189円,377回,640.97億円
4593,2019-10-11,1264,1264,09:00,1226,14:59,1226,157800株,196百万円,-25,-2.00,1239.34円,651回,628.16億円
4593,2019-10-15,1247,1269,10:18,1235,09:00,1248,68800株,86百万円,+22,+1.79,1255.31円,296回,639.44億円
4593,2019-10-16,1270,1274,09:09,1237,14:35,1237,80300株,100百万円,-11,-0.88,1251.507円,393回,633.80億円
4593,2019-10-17,1253,1258,10:40,1234,09:13,1250,82100株,102百万円,+13,+1.05,1248.466円,402回,640.46億円
4593,2019-10-18,1245,1263,10:46,1238,09:05,1248,93500株,117百万円,-2,-0.16,1250.602円,373回,639.44億円
4593,2019-10-21,1238,1253,11:25,1233,09:18,1242,64000株,80百万円,-6,-0.48,1242.602円,318回,636.36億円
4593,2019-10-23,1243,1254,13:12,1212,09:19,1242,248300株,306百万円,0,0,1231.387円,962回,636.36億円
4593,2019-10-24,1249,1252,09:02,1230,12:56,1231,87100株,108百万円,-11,-0.89,1236.629円,377回,630.73億円
4593,2019-10-25,1244,1247,09:40,1222,12:55,1230,84600株,104百万円,-1,-0.08,1231.499円,394回,630.21億円
4593,2019-10-28,1230,1240,12:57,1221,09:35,1232,77000株,95百万円,+2,+0.16,1231.109円,398回,631.24億円
4593,2019-10-29,1229,1280,14:00,1229,09:00,1270,139400株,176百万円,+38,+3.08,1260.124円,609回,650.71億円
4593,2019-10-30,1275,1299,09:04,1253,12:40,1266,106400株,136百万円,-4,-0.31,1274.25円,445回,648.66億円
4593,2019-10-31,1270,1286,09:01,1265,10:23,1276,89500株,114百万円,+10,+0.79,1272.78円,390回,653.78億円
4593,2019-11-01,1269,1275,10:17,1226,12:38,1236,181900株,226百万円,-40,-3.13,1245.162円,730回,633.29億円
4593,2019-11-05,1257,1261,11:22,1234,14:33,1239,115900株,145百万円,+3,+0.24,1248.107円,587回,634.83億円
4593,2019-11-07,1219,1237,09:06,1216,11:18,1223,94200株,115百万円,+6,+0.49,1225.279円,444回,626.63億円
4593,2019-11-08,1223,1226,09:23,1195,14:04,1213,186100株,226百万円,-10,-0.82,1212.21円,545回,621.50億円
4593,2019-11-11,1217,1236,09:39,1203,12:33,1223,100500株,123百万円,+10,+0.82,1221.453円,345回,626.63億円
4593,2019-11-12,1216,1218,09:02,1196,11:05,1207,120000株,145百万円,-16,-1.31,1206.562円,405回,618.43億円
4593,2019-11-13,1205,1206,09:15,1173,12:47,1177,199800株,238百万円,-30,-2.49,1189.02円,615回,603.06億円
4593,2019-11-14,1191,1217,09:07,1116,12:34,1181,346800株,410百万円,+4,+0.34,1182.649円,1355回,605.11億円
4593,2019-11-15,1207,1241,10:06,1195,12:58,1207,238100株,290百万円,+26,+2.20,1218.911円,891回,618.43億円
4593,2019-11-18,1217,1250,13:17,1211,09:21,1248,189200株,233百万円,+41,+3.40,1229.44円,585回,639.44億円
4593,2019-11-19,1248,1252,09:39,1216,13:54,1234,131400株,162百万円,-14,-1.12,1231.78円,496回,632.26億円
4593,2019-11-20,1234,1267,12:30,1233,09:00,1258,209100株,263百万円,+24,+1.94,1256.807円,804回,644.68億円
4593,2019-11-21,1270,1327,09:46,1253,14:03,1274,461100株,593百万円,+16,+1.27,1286.91円,1818回,652.88億円
4593,2019-11-22,1269,1296,12:36,1257,09:16,1287,108000株,138百万円,+13,+1.02,1280.473円,412回,659.54億円
4593,2019-11-25,1299,1371,14:59,1299,09:00,1368,371000株,498百万円,+81,+6.29,1343.476円,1429回,701.05億円
4593,2019-11-26,1375,1505,14:19,1361,09:02,1469,733100株,1058百万円,+101,+7.38,1442.9円,2796回,752.81億円
4593,2019-11-27,1471,1488,09:19,1436,13:02,1456,352300株,516百万円,-13,-0.88,1463.87円,1339回,746.14億円
4593,2019-11-28,1496,1517,14:59,1458,09:10,1512,268000株,400百万円,+56,+3.85,1491.779円,1114回,774.84億円
4593,2019-11-29,1522,1536,09:18,1503,12:35,1511,239200株,364百万円,-1,-0.07,1520.107円,893回,774.33億円
4593,2019-12-02,1520,1520,09:00,1436,14:56,1437,274500株,402百万円,-74,-4.90,1464.145円,993回,736.41億円
4593,2019-12-03,1436,1460,12:41,1431,09:00,1442,111600株,161百万円,+5,+0.35,1446.046円,438回,738.97億円
4593,2019-12-05,1419,1435,09:24,1367,14:37,1370,238200株,332百万円,-55,-3.86,1392.979円,852回,702.07億円
4593,2019-12-06,1369,1413,09:37,1368,09:00,1398,96800株,135百万円,+28,+2.04,1397.655円,395回,716.42億円
4593,2019-12-09,1428,1428,09:00,1362,14:16,1368,98100株,136百万円,-30,-2.15,1381.418円,401回,701.05億円
4593,2019-12-10,1398,1413,09:04,1385,12:38,1400,101400株,142百万円,+32,+2.34,1398.582円,442回,717.45億円
4593,2019-12-13,1410,1411,09:01,1364,14:08,1364,186400株,257百万円,-35,-2.50,1379.272円,752回,699.00億円
4593,2019-12-16,1360,1369,09:21,1324,14:54,1325,142400株,191百万円,-39,-2.86,1338.227円,659回,679.01億円
4593,2019-12-17,1385,1451,14:57,1352,09:13,1448,312400株,439百万円,+123,+9.28,1405.353円,1067回,742.04億円
4593,2019-12-18,1491,1572,10:10,1408,13:40,1422,762000株,1140百万円,-26,-1.80,1496.718円,2800回,728.72億円
4593,2019-12-19,1449,1513,10:32,1443,09:00,1452,298400株,441百万円,+30,+2.11,1477.725円,1151回,744.09億円
4593,2019-12-20,1475,1480,09:07,1426,11:28,1445,154900株,224百万円,-7,-0.48,1447.89円,804回,740.85億円
4593,2019-12-23,1453,1463,09:10,1433,09:07,1438,115000株,166百万円,-7,-0.48,1442.761円,543回,737.27億円
4593,2019-12-24,1438,1471,14:46,1425,09:04,1462,170700株,247百万円,+24,+1.67,1449.128円,487回,749.57億円
4593,2019-12-25,1451,1518,14:32,1449,09:09,1515,428900株,644百万円,+53,+3.63,1502.134円,1709回,776.74億円
4593,2019-12-26,1483,1503,09:01,1452,13:58,1459,472700株,696百万円,-56,-3.70,1473.382円,2095回,748.03億円
4593,2019-12-27,1461,1518,09:43,1456,09:00,1496,226000株,338百万円,+37,+2.54,1497.112円,1181回,767.00億円
4593,2019-12-30,1498,1517,12:45,1480,09:40,1493,135800株,204百万円,-3,-0.20,1499.929円,545回,765.46億円
4593,2020-01-06,1458,1504,09:52,1450,09:03,1476,155400株,230百万円,-17,-1.14,1479.759円,776回,756.75億円
4593,2020-01-07,1500,1530,09:03,1498,10:50,1515,159800株,242百万円,+39,+2.64,1512.546円,735回,776.74億円
4593,2020-01-08,1520,1548,09:10,1490,09:21,1535,384800株,587百万円,+20,+1.32,1525.564円,1579回,787.00億円
4593,2020-01-09,1550,1617,14:53,1545,09:20,1611,395200株,626百万円,+76,+4.95,1582.918円,1686回,825.96億円
4593,2020-01-10,1675,1716,14:59,1672,09:10,1715,506700株,859百万円,+104,+6.46,1695.48円,1909回,879.28億円
4593,2020-01-14,1800,1815,09:09,1701,10:06,1709,472000株,824百万円,-6,-0.35,1745.011円,1821回,876.21億円
4593,2020-01-15,1729,1768,14:51,1718,09:00,1767,204100株,356百万円,+58,+3.39,1746.289円,882回,905.94億円
4593,2020-01-16,1800,1847,09:04,1759,13:39,1786,431500株,775百万円,+19,+1.08,1795.5円,1338回,915.69億円
4593,2020-01-17,1777,1782,09:01,1715,14:06,1730,293800株,510百万円,-56,-3.14,1737.395円,1231回,886.97億円
4593,2020-01-20,1708,1782,14:52,1680,09:03,1773,278600株,485百万円,+43,+2.49,1741.765円,1226回,909.02億円
4593,2020-01-21,1752,1798,09:21,1739,09:00,1791,334600株,595百万円,+18,+1.02,1779.357円,1393回,918.25億円
4593,2020-01-22,1778,1813,12:33,1767,09:00,1800,338200株,609百万円,+9,+0.50,1800.082円,1267回,922.86億円
4593,2020-01-23,1808,1835,09:34,1800,09:02,1823,314600株,572百万円,+23,+1.28,1819.645円,1152回,934.66億円
4593,2020-01-24,1815,1823,09:00,1795,09:59,1812,165400株,300百万円,-11,-0.60,1813.654円,837回,929.02億円
4593,2020-01-27,1772,2031,14:58,1753,09:00,2018,1012700株,1940百万円,+206,+11.37,1916.083円,3329回,1034.63億円
4593,2020-01-28,1987,1990,09:00,1851,09:34,1947,558800株,1074百万円,-71,-3.52,1922.243円,2480回,998.23億円
4593,2020-01-29,1920,1939,09:02,1866,14:29,1885,412400株,782百万円,-62,-3.18,1895.307円,1611回,966億円
4593,2020-01-30,1876,1882,09:08,1770,11:01,1820,533000株,970百万円,-65,-3.45,1819.557円,1986回,933億円
4593,2020-01-31,1843,1876,09:02,1813,13:01,1818,261400株,478百万円,-2,-0.11,1830.031円,1174回,932億円
4593,2020-02-03,1775,1906,14:34,1760,09:03,1883,300900株,559百万円,+65,+3.58,1857.381円,1276回,965億円
4593,2020-02-04,1869,1945,11:09,1865,09:02,1908,197200株,377百万円,+25,+1.33,1913.366円,890回,978億円
4593,2020-02-05,1938,1960,09:08,1920,09:37,1955,171000株,333百万円,+47,+2.46,1946.44円,645回,1002億円
4593,2020-02-06,1958,1960,09:00,1902,12:40,1941,211200株,407百万円,-14,-0.72,1925.611円,901回,995億円
4593,2020-02-07,1945,1945,09:00,1894,12:53,1906,118000株,226百万円,-35,-1.80,1911.148円,491回,977億円
4593,2020-02-10,1906,1934,10:16,1895,09:12,1921,109500株,210百万円,+15,+0.79,1916.506円,546回,985億円
4593,2020-02-12,1920,1947,10:46,1903,09:20,1932,143500株,277百万円,+11,+0.57,1927.997円,612回,991億円
4593,2020-02-13,1913,1959,13:10,1890,09:07,1940,162100株,313百万円,+8,+0.41,1929.559円,628回,995億円
4593,2020-02-14,1957,1960,14:59,1902,09:10,1957,201400株,391百万円,+17,+0.88,1940.982円,837回,1003億円
4593,2020-02-17,1944,1946,11:27,1898,13:38,1911,178600株,343百万円,-46,-2.35,1917.936円,891回,980億円
4593,2020-02-17,1901,1901,09:00,1809,13:42,1820,270600株,495百万円,-91,-4.76,1829.51円,1440回,933億円
4593,2020-02-18,1801,1888,09:49,1801,09:00,1849,213000株,396百万円,+29,+1.59,1861.173円,1131回,948億円
4593,2020-02-20,1860,1904,09:42,1832,14:38,1840,143500株,267百万円,-9,-0.49,1862.565円,751回,944億円
4593,2020-02-21,1841,1878,12:33,1836,10:01,1861,116400株,217百万円,+21,+1.14,1859.991円,543回,954億円
4593,2020-02-25,1754,1825,09:12,1740,09:06,1791,110900株,199百万円,-70,-3.76,1793.726円,438回,918億円
4593,2020-02-26,1769,1828,09:21,1751,11:03,1785,204800株,365百万円,-6,-0.34,1781.54円,1150回,915億円
4593,2020-02-27,1753,1774,09:18,1700,14:50,1710,213100株,369百万円,-75,-4.20,1729.576円,1065回,877億円
4593,2020-02-28,1618,1747,10:02,1618,09:06,1669,310400株,522百万円,-41,-2.40,1682.897円,1360回,856億円
4593,2020-03-02,1645,1804,14:56,1645,09:00,1789,253600株,449百万円,+120,+7.19,1771.545円,1428回,917億円
4593,2020-03-03,1824,1826,09:01,1703,13:34,1724,218500株,380百万円,-65,-3.63,1741.284円,1093回,884億円
4593,2020-03-04,1688,1691,09:10,1648,09:26,1685,209700株,350百万円,-39,-2.26,1669.528円,1173回,864億円
4593,2020-03-05,1701,1712,09:00,1631,13:41,1643,217200株,359百万円,-42,-2.49,1652.612円,1164回,842億円
4593,2020-03-06,1643,1659,14:01,1621,09:14,1648,147400株,242百万円,+5,+0.30,1644.691円,942回,845億円
4593,2020-03-06,1601,1606,09:03,1502,14:26,1521,306300株,469百万円,-127,-7.71,1532.181円,1447回,780億円
4593,2020-03-10,1431,1513,14:20,1355,09:10,1505,298800株,436百万円,-16,-1.05,1458.803円,1296回,772億円
4593,2020-03-11,1470,1549,09:14,1470,09:00,1502,123300株,186百万円,-3,-0.20,1508.348円,661回,770億円
4593,2020-03-12,1454,1496,09:03,1378,12:38,1414,165500株,235百万円,-88,-5.86,1419.5円,761回,725億円
4593,2020-03-13,1307,1385,14:19,1264,10:20,1341,227700株,300百万円,-73,-5.16,1317.505円,1257回,688億円
