4875,2019-08-30,925,948,09:25,914,09:00,934,69700株,65百万円,+22,+2.41,931.877円,189回
4875,2019-09-02,935,944,09:16,926,09:07,944,61900株,58百万円,+10,+1.07,937.183円,215回
4875,2019-09-03,929,948,09:44,924,09:05,926,71600株,67百万円,-18,-1.91,934.823円,233回
4875,2019-09-03,921,945,14:25,899,09:25,926,127800株,118百万円,0,0,920.273円,522回
4875,2019-09-05,926,940,13:42,920,09:00,932,114400株,107百万円,+6,+0.65,931.744円,382回
4875,2019-09-05,933,949,09:05,930,10:53,940,75100株,71百万円,+8,+0.86,941.453円,282回
4875,2019-09-07,931,940,09:53,923,09:07,938,69400株,65百万円,-2,-0.21,932.496円,211回
4875,2019-09-10,934,947,09:03,927,13:44,933,52700株,49百万円,-5,-0.53,938.761円,286回
4875,2019-09-11,944,965,10:14,944,09:00,959,116500株,111百万円,+26,+2.79,956.802円,447回
4875,2019-09-12,970,975,09:01,937,10:29,950,126900株,121百万円,-9,-0.94,955.577円,419回
4875,2019-09-13,939,956,09:05,933,11:08,939,63600株,60百万円,-11,-1.16,941.863円,237回
4875,2019-09-17,924,944,09:15,919,14:28,926,89200株,83百万円,-13,-1.38,926.063円,439回
4875,2019-09-17,922,923,09:07,878,13:08,900,231900株,208百万円,-26,-2.81,895.264円,681回,389.48億円
4875,2019-09-19,874,884,09:03,850,14:31,861,276200株,238百万円,-39,-4.33,862.362円,745回,372.61億円
4875,2019-09-20,831,849,10:11,831,09:03,840,152500株,128百万円,-21,-2.44,837.339円,601回,363.52億円
4875,2019-09-24,835,850,09:52,835,09:00,843,82900株,70百万円,+3,+0.36,843.891円,275回,365.88億円
4875,2019-09-25,839,840,09:00,821,12:57,821,163600株,136百万円,-22,-2.61,828.634円,375回,356.33億円
4875,2019-09-26,825,848,14:58,825,09:00,848,88000株,73百万円,+27,+3.29,833.871円,293回,368.05億円
4875,2019-09-27,849,849,09:00,829,10:55,845,53900株,45百万円,-3,-0.35,838.453円,231回,366.74億円
4875,2019-09-30,836,881,14:49,826,11:20,880,100600株,85百万円,+35,+4.14,849.396円,322回,381.93億円
4875,2019-10-01,880,880,09:00,843,13:35,850,116600株,100百万円,-30,-3.41,853.561円,490回,368.91億円
4875,2019-10-02,835,838,09:00,811,14:35,820,173500株,143百万円,-30,-3.53,823.894円,507回,355.89億円
4875,2019-10-03,810,814,09:02,788,10:17,791,205500株,164百万円,-29,-3.54,796.796円,519回,343.31億円
4875,2019-10-04,801,805,09:03,785,11:23,796,129800株,103百万円,+5,+0.63,791.176円,350回,345.48億円
4875,2019-10-07,798,798,09:00,781,09:04,789,64200株,51百万円,-7,-0.88,789.008円,270回,342.44億円
4875,2019-10-08,788,808,13:00,779,09:07,796,167500株,132百万円,+7,+0.89,790.248円,463回,345.48億円
4875,2019-10-09,788,793,09:57,783,11:24,783,84900株,67百万円,-13,-1.63,787.385円,296回,339.83億円
4875,2019-10-10,785,793,09:07,773,14:17,780,103000株,80百万円,-3,-0.38,779.616円,398回,338.53億円
4875,2019-10-11,775,780,09:00,732,13:48,747,203600株,154百万円,-33,-4.23,755.282円,630回,324.21億円
4875,2019-10-15,755,780,09:20,747,14:20,762,188400株,144百万円,+15,+2.01,764.352円,570回,330.72億円
4875,2019-10-16,770,770,09:00,746,14:18,752,146000株,110百万円,-10,-1.31,755.849円,453回,326.38億円
4875,2019-10-17,737,752,14:44,698,10:27,734,485800株,348百万円,-18,-2.39,717.195円,1280回,318.57億円
4875,2019-10-18,760,789,13:44,755,09:04,783,343500株,267百万円,+49,+6.68,778.497円,885回,339.83億円
4875,2019-10-21,881,888,09:19,850,09:48,873,739500株,647百万円,+90,+11.49,874.296円,1920回,379.29億円
4875,2019-10-23,876,885,09:13,870,09:28,873,231400株,203百万円,0,0,878.405円,778回,379.29億円
4875,2019-10-24,890,978,13:57,873,09:03,953,604800株,563百万円,+80,+9.16,931.095円,2004回,414.05億円
4875,2019-10-25,941,945,10:01,913,11:14,931,217500株,202百万円,-22,-2.31,927.803円,749回,404.49億円
4875,2019-10-28,828,875,09:43,781,14:44,795,719000株,591百万円,-136,-14.61,822.29円,2318回,345.40億円
4875,2019-10-29,795,825,09:03,795,09:00,818,359000株,292百万円,+23,+2.89,814.42円,1205回,355.40億円
4875,2019-10-30,813,830,14:58,799,10:35,830,223600株,181百万円,+12,+1.47,810.05円,921回,360.61億円
4875,2019-10-31,848,877,14:26,830,09:10,868,186800株,159百万円,+38,+4.58,852.347円,728回,377.12億円
4875,2019-11-01,880,907,09:05,868,10:22,893,198700株,177百万円,+25,+2.88,889.155円,888回,387.98億円
