4952,2019-08-30,840,848,10:22,837,10:52,839,1400株,1百万円,-2,-0.24,841.643円,11回
4952,2019-09-02,844,844,11:01,839,12:33,843,1000株,1百万円,+4,+0.48,840.6円,5回
4952,2019-09-03,843,845,09:59,839,12:46,843,1000株,1百万円,0,0,842.4円,10回
4952,2019-09-03,843,843,09:00,835,14:50,835,700株,1百万円,-8,-0.95,837.714円,6回
4952,2019-09-05,842,843,12:55,842,10:58,843,1000株,1百万円,+8,+0.96,842.9円,2回
4952,2019-09-05,841,843,13:58,841,12:30,843,500株,－百万円,0,0,841.8円,5回
4952,2019-09-07,843,844,09:24,839,09:41,842,1300株,1百万円,-1,-0.12,842.154円,10回
4952,2019-09-10,840,841,12:30,839,10:03,840,700株,1百万円,-2,-0.24,840.286円,5回
4952,2019-09-11,838,842,13:24,835,09:00,840,2800株,2百万円,0,0,839.607円,23回
4952,2019-09-12,837,840,09:26,835,14:54,835,1700株,1百万円,-5,-0.60,837円,12回
4952,2019-09-13,835,839,14:11,835,09:00,838,1000株,1百万円,+3,+0.36,836円,8回
4952,2019-09-17,838,839,14:55,836,11:29,837,1300株,1百万円,-1,-0.12,837.154円,12回
4952,2019-09-17,837,837,09:14,835,14:50,836,600株,1百万円,-1,-0.12,836.167円,6回,65.47億円
4952,2019-09-19,836,842,09:21,836,09:00,836,3200株,3百万円,0,0,837.625円,24回,65.47億円
4952,2019-09-20,840,847,13:41,836,09:06,840,2000株,2百万円,+4,+0.48,841.1円,13回,65.78億円
4952,2019-09-24,840,856,09:10,840,09:00,846,3600株,3百万円,+6,+0.71,847.917円,30回,66.25億円
4952,2019-09-25,842,850,09:33,842,09:00,849,3300株,3百万円,+3,+0.35,844.939円,22回,66.48億円
4952,2019-09-26,849,857,10:11,846,09:15,850,3900株,3百万円,+1,+0.12,849.59円,20回,66.56億円
4952,2019-09-27,849,849,09:00,845,11:02,845,800株,1百万円,-5,-0.59,847.125円,5回,66.17億円
4952,2019-09-30,845,849,09:38,845,09:00,845,1000株,1百万円,0,0,847.4円,9回,66.17億円
4952,2019-10-01,852,855,09:44,838,14:39,843,3300株,3百万円,-2,-0.24,845.667円,19回,66.01億円
4952,2019-10-02,838,838,09:00,835,14:22,836,1000株,1百万円,-7,-0.83,836.6円,9回,65.47億円
4952,2019-10-03,836,837,10:34,831,14:48,831,1800株,2百万円,-5,-0.60,835.444円,6回,65.07億円
4952,2019-10-04,831,834,13:40,830,12:40,834,500株,－百万円,+3,+0.36,831.6円,4回,65.31億円
4952,2019-10-07,825,834,09:37,825,09:00,829,1700株,1百万円,-5,-0.60,828.706円,10回,64.92億円
4952,2019-10-08,834,834,09:00,833,12:44,834,300株,－百万円,+5,+0.60,833.667円,3回,65.31億円
4952,2019-10-09,835,847,14:48,835,09:01,846,2000株,2百万円,+12,+1.44,839.3円,18回,66.25億円
4952,2019-10-10,841,842,11:29,841,09:00,842,500株,－百万円,-4,-0.47,841.8円,5回,65.94億円
4952,2019-10-11,847,847,10:10,846,11:14,846,200株,－百万円,+4,+0.48,846.5円,2回,66.25億円
4952,2019-10-15,851,855,09:25,846,12:44,846,1100株,1百万円,0,0,852.454円,8回,66.25億円
4952,2019-10-16,844,848,10:16,842,13:12,844,1500株,1百万円,-2,-0.24,844.333円,10回,66.09億円
4952,2019-10-17,846,851,10:00,841,14:25,846,3400株,3百万円,+2,+0.24,846.971円,23回,66.25億円
4952,2019-10-18,843,846,10:17,840,14:01,840,1700株,1百万円,-6,-0.71,843.294円,10回,65.78億円
4952,2019-10-21,840,846,11:25,840,09:56,845,1000株,1百万円,+5,+0.60,845.2円,6回,66.17億円
4952,2019-10-23,843,853,11:28,843,09:00,846,3500株,3百万円,+1,+0.12,847.343円,21回,66.25億円
4952,2019-10-24,846,896,14:36,844,10:12,877,10000株,9百万円,+31,+3.66,864.23円,61回,68.68億円
4952,2019-10-25,877,877,09:00,848,09:00,859,2900株,2百万円,-18,-2.05,860.241円,24回,67.27億円
4952,2019-10-28,867,867,09:00,860,14:49,860,3600株,3百万円,+1,+0.12,865.639円,10回,67.35億円
4952,2019-10-29,870,870,09:00,859,12:55,861,4100株,4百万円,+1,+0.12,861.439円,32回,67.42億円
4952,2019-10-30,860,861,09:37,852,09:00,858,1500株,1百万円,-3,-0.35,858.267円,15回,67.19億円
4952,2019-10-31,870,875,11:26,859,15:00,859,5200株,5百万円,+1,+0.12,865.962円,25回,67.27億円
4952,2019-11-01,850,851,13:13,841,09:17,849,5300株,4百万円,-10,-1.16,848.34円,29回,66.48億円
4952,2019-11-05,849,854,10:01,845,14:04,845,1900株,2百万円,-4,-0.47,849.263円,18回,66.17億円
4952,2019-11-07,852,853,10:06,848,11:04,850,1200株,1百万円,-4,-0.47,850円,9回,66.56億円
4952,2019-11-08,851,852,09:33,846,14:07,846,900株,1百万円,-4,-0.47,849.667円,9回,66.25億円
4952,2019-11-11,846,859,12:42,846,09:21,850,2700株,2百万円,+4,+0.47,851.222円,20回,66.56億円
4952,2019-11-12,853,859,13:38,839,10:06,852,3200株,3百万円,+2,+0.24,847.125円,19回,66.72億円
4952,2019-11-13,849,859,10:09,845,10:43,855,1400株,1百万円,+3,+0.35,850.143円,10回,66.95億円
4952,2019-11-14,852,852,09:04,843,15:00,843,500株,－百万円,-12,-1.40,848.2円,5回,66.01億円
4952,2019-11-15,843,857,10:15,843,09:00,846,1700株,1百万円,+3,+0.36,848.823円,17回,66.25億円
4952,2019-11-18,849,853,13:09,846,09:34,851,4000株,3百万円,+5,+0.59,848.9円,28回,66.64億円
4952,2019-11-19,858,890,11:02,853,09:26,853,10900株,9百万円,+2,+0.24,865.78円,70回,66.80億円
4952,2019-11-20,855,861,12:30,852,14:51,852,4000株,3百万円,-1,-0.12,854.925円,37回,66.72億円
4952,2019-11-21,851,865,14:37,840,10:34,863,10700株,9百万円,+11,+1.29,851.112円,69回,67.58億円
4952,2019-11-22,864,877,09:56,863,09:52,865,4000株,3百万円,+2,+0.23,867.6円,34回,67.74億円
4952,2019-11-25,870,887,09:00,870,09:00,875,3000株,3百万円,+10,+1.16,877.2円,17回,68.52億円
4952,2019-11-26,876,884,09:11,875,12:39,881,2500株,2百万円,+6,+0.69,877.84円,19回,68.99億円
4952,2019-11-27,880,880,09:00,870,12:32,876,3300株,3百万円,-5,-0.57,876.03円,16回,68.60億円
4952,2019-11-28,872,876,12:49,872,09:28,876,200株,－百万円,0,0,874円,2回,68.60億円
4952,2019-11-29,871,875,14:07,871,12:30,875,400株,－百万円,-1,-0.11,873.25円,3回,68.52億円
4952,2019-12-02,876,883,09:15,872,15:00,872,6200株,5百万円,-3,-0.34,877.565円,29回,68.29億円
4952,2019-12-03,870,874,10:29,868,14:53,868,4500株,4百万円,-4,-0.46,871.267円,37回,67.97億円
4952,2019-12-05,868,872,09:58,868,09:05,868,2400株,2百万円,0,0,869.833円,22回,67.97億円
4952,2019-12-06,868,876,12:43,868,10:33,868,2000株,2百万円,0,0,869.8円,17回,67.97億円
4952,2019-12-09,880,880,09:00,865,10:48,869,2000株,2百万円,+1,+0.12,870.9円,10回,68.05億円
4952,2019-12-10,874,875,13:05,874,11:22,874,400株,－百万円,+5,+0.58,874.25円,4回,68.44億円
4952,2019-12-13,874,885,12:58,871,12:59,876,3900株,3百万円,+3,+0.34,878.59円,32回,68.60億円
4952,2019-12-16,865,877,12:51,865,09:00,874,2500株,2百万円,-2,-0.23,871.52円,15回,68.44億円
4952,2019-12-17,872,875,12:30,872,10:58,875,700株,1百万円,+1,+0.11,874.571円,3回,68.52億円
4952,2019-12-18,872,875,12:30,869,14:45,870,2800株,2百万円,-5,-0.57,871.714円,20回,68.13億円
4952,2019-12-19,878,878,09:00,872,10:40,875,1800株,2百万円,+5,+0.57,875.222円,13回,68.52億円
4952,2019-12-20,875,876,11:11,874,14:54,875,2100株,2百万円,0,0,875円,10回,68.52億円
4952,2019-12-23,875,880,13:38,875,09:00,877,3700株,3百万円,+2,+0.23,877.216円,20回,68.68億円
4952,2019-12-24,892,892,09:11,881,12:38,881,2200株,2百万円,+4,+0.46,888.5円,10回,68.99億円
4952,2019-12-25,887,890,10:00,880,10:33,880,2300株,2百万円,-1,-0.11,885.913円,11回,68.91億円
4952,2019-12-26,890,892,14:37,881,10:30,891,4200株,4百万円,+11,+1.25,888.024円,25回,69.77億円
4952,2019-12-27,891,907,10:41,891,09:00,905,8100株,7百万円,+14,+1.57,897.025円,41回,70.87億円
4952,2019-12-30,910,913,10:05,903,15:00,903,4600株,4百万円,-2,-0.22,909.391円,27回,70.71億円
4952,2020-01-06,908,919,12:31,903,09:06,909,9600株,9百万円,+6,+0.66,910.708円,53回,71.18億円
4952,2020-01-07,916,917,10:21,908,15:00,908,4600株,4百万円,-1,-0.11,911.957円,31回,71.10億円
4952,2020-01-08,909,909,09:00,889,15:00,889,3600株,3百万円,-19,-2.09,903円,20回,69.62億円
4952,2020-01-09,896,910,09:25,896,09:00,909,1300株,1百万円,+20,+2.25,908.231円,8回,71.18億円
4952,2020-01-10,909,914,09:16,900,12:30,900,2100株,2百万円,-9,-0.99,908.286円,11回,70.48億円
4952,2020-01-14,916,916,09:03,904,10:50,915,5400株,5百万円,+15,+1.67,913.463円,17回,71.65億円
4952,2020-01-15,915,915,09:00,909,12:59,913,2800株,3百万円,-2,-0.22,914.214円,7回,71.50億円
4952,2020-01-16,906,913,14:35,906,11:20,913,500株,－百万円,0,0,910円,5回,71.50億円
4952,2020-01-17,911,911,09:06,900,12:32,910,1700株,2百万円,-3,-0.33,906.588円,13回,71.26億円
4952,2020-01-20,905,939,13:29,905,09:00,930,17900株,17百万円,+20,+2.20,928.978円,38回,72.83億円
4952,2020-01-21,920,1008,14:51,920,09:00,994,34200株,33百万円,+64,+6.88,960.181円,109回,77.84億円
4952,2020-01-22,1013,1031,10:17,1000,13:11,1001,26900株,27百万円,+7,+0.70,1009.431円,109回,78.39億円
4952,2020-01-23,1001,1004,12:30,986,15:00,986,5400株,5百万円,-15,-1.50,994.556円,25回,77.21億円
4952,2020-01-24,986,986,09:00,953,10:10,963,3800株,4百万円,-23,-2.33,965.553円,33回,75.41億円
4952,2020-01-27,964,987,12:52,962,09:18,981,8600株,8百万円,+18,+1.87,971.5円,42回,76.82億円
4952,2020-01-28,981,991,14:48,966,09:57,985,8700株,9百万円,+4,+0.41,978.965円,37回,77.13億円
4952,2020-01-29,998,1019,09:56,998,09:00,1004,9600株,10百万円,+19,+1.93,1007.25円,57回,78.6億円
