4974,2019-08-30,2254,2358,14:40,2246,09:00,2351,1020600株,2362百万円,+121,+5.43,2313.847円,2805回
4974,2019-09-02,2330,2338,13:27,2306,09:42,2313,405800株,942百万円,-38,-1.62,2321.705円,1515回
4974,2019-09-03,2324,2354,13:10,2320,09:00,2349,382200株,896百万円,+36,+1.56,2343.773円,1309回
4974,2019-09-03,2322,2342,10:58,2316,09:00,2325,309200株,721百万円,-24,-1.02,2330.296円,1123回
4974,2019-09-05,2333,2368,10:36,2322,09:18,2362,514400株,1210百万円,+37,+1.59,2353.091円,1736回
4974,2019-09-05,2370,2381,09:00,2333,12:32,2339,342400株,804百万円,-23,-0.97,2348.553円,1163回
4974,2019-09-07,2321,2328,09:12,2302,14:56,2308,306200株,708百万円,-31,-1.33,2311.882円,1013回
4974,2019-09-10,2281,2281,09:00,2208,11:05,2234,714900株,1596百万円,-74,-3.21,2232.817円,2168回
4974,2019-09-11,2261,2311,12:35,2243,09:05,2288,384400株,878百万円,+54,+2.42,2285.089円,1260回
4974,2019-09-12,2306,2335,09:24,2294,14:59,2294,380200株,879百万円,+6,+0.26,2312.87円,1258回
4974,2019-09-13,2295,2297,09:02,2260,10:30,2272,375600株,855百万円,-22,-0.96,2277.306円,1202回
4974,2019-09-17,2270,2322,10:46,2250,09:02,2313,313700株,723百万円,+41,+1.80,2303.444円,1135回
4974,2019-09-17,2320,2336,09:00,2289,12:47,2330,312700株,724百万円,+17,+0.73,2314.573円,1246回,2805.68億円
4974,2019-09-19,2345,2409,09:22,2345,09:00,2359,484600株,1149百万円,+29,+1.24,2371.748円,1450回,2840.60億円
4974,2019-09-20,2391,2414,09:28,2367,09:04,2376,538000株,1286百万円,+17,+0.72,2389.483円,1663回,2861.07億円
4974,2019-09-24,2388,2425,10:10,2387,09:00,2396,485500株,1168百万円,+20,+0.84,2405.876円,1803回,2885.16億円
4974,2019-09-25,2400,2431,09:06,2361,11:24,2368,429500株,1025百万円,-28,-1.17,2385.823円,1657回,2851.44億円
4974,2019-09-26,2385,2395,09:36,2347,14:54,2356,360100株,853百万円,-12,-0.51,2369.099円,1325回,2836.99億円
4974,2019-09-27,2390,2391,09:00,2332,13:44,2358,338800株,798百万円,+2,+0.08,2355.973円,1227回,2839.40億円
4974,2019-09-30,2170,2242,09:21,2170,09:09,2201,1338600株,2946百万円,-157,-6.66,2200.963円,3884回,2650.35億円
4974,2019-10-01,2201,2215,09:00,2167,10:20,2186,666400株,1455百万円,-15,-0.68,2183.957円,2072回,2632.29億円
4974,2019-10-02,2158,2196,12:48,2146,09:00,2172,374600株,815百万円,-14,-0.64,2176.74円,1265回,2615.43億円
4974,2019-10-03,2137,2143,09:02,2109,13:08,2133,428900株,912百万円,-39,-1.80,2126.306円,1396回,2568.46億円
4974,2019-10-04,2150,2186,13:51,2140,09:01,2168,490800株,1064百万円,+35,+1.64,2167.867円,1609回,2610.61億円
4974,2019-10-07,2228,2245,09:15,2198,10:15,2230,805600株,1788百万円,+62,+2.86,2218.941円,2424回,2685.27億円
4974,2019-10-08,2217,2237,09:02,2193,10:35,2233,501000株,1111百万円,+3,+0.13,2218.125円,1615回,2688.88億円
4974,2019-10-09,2218,2231,09:03,2186,10:56,2190,374700株,824百万円,-43,-1.93,2199.326円,1189回,2637.10億円
4974,2019-10-10,2175,2187,09:01,2137,09:40,2153,324100株,699百万円,-37,-1.69,2156.814円,1227回,2592.55億円
4974,2019-10-11,2155,2170,09:01,2147,14:56,2147,233900株,504百万円,-6,-0.28,2155.103円,805回,2585.32億円
4974,2019-10-15,2170,2191,09:01,2157,14:34,2158,372900株,809百万円,+11,+0.51,2169.515円,1267回,2598.57億円
4974,2019-10-16,2192,2218,09:16,2167,14:30,2170,343800株,753百万円,+12,+0.56,2189.886円,1116回,2613.02億円
4974,2019-10-17,2168,2184,09:07,2165,12:32,2166,219000株,476百万円,-4,-0.18,2172.12円,778回,2608.20億円
4974,2019-10-18,2166,2191,09:21,2152,12:48,2160,239900株,520百万円,-6,-0.28,2169.066円,897回,2600.98億円
4974,2019-10-21,2160,2185,10:47,2151,09:00,2170,190200株,413百万円,+10,+0.46,2171.703円,638回,2613.02億円
4974,2019-10-23,2184,2202,10:43,2160,09:19,2199,323900株,709百万円,+29,+1.34,2189.429円,1094回,2647.94億円
