4987,2019-08-30,458,462,14:58,458,09:47,462,1800株,1百万円,+4,+0.87,460.278円,8回
4987,2019-09-02,465,476,13:40,463,09:16,473,9900株,5百万円,+11,+2.38,470.465円,34回
4987,2019-09-03,475,475,09:00,467,11:10,468,6500株,3百万円,-5,-1.06,472.154円,15回
4987,2019-09-03,468,468,09:00,468,09:00,468,400株,－百万円,0,0,468円,4回
4987,2019-09-05,471,474,10:32,468,10:31,468,5000株,2百万円,0,0,471.48円,17回
4987,2019-09-05,468,472,10:26,468,09:20,469,900株,－百万円,+1,+0.21,469.778円,5回
4987,2019-09-07,470,470,09:00,470,09:00,470,200株,－百万円,+1,+0.21,470円,1回
4987,2019-09-10,474,475,15:00,471,13:49,475,2200株,1百万円,+5,+1.06,473.136円,12回
4987,2019-09-11,472,475,09:06,472,09:00,475,3900株,2百万円,0,0,474.513円,17回
4987,2019-09-12,477,477,09:00,474,09:30,477,9000株,4百万円,+2,+0.42,475.422円,41回
4987,2019-09-13,475,479,09:15,475,09:00,478,45900株,22百万円,+1,+0.21,477.344円,83回
4987,2019-09-17,480,481,09:07,475,15:00,475,21300株,10百万円,-3,-0.63,479.343円,28回
4987,2019-09-17,475,475,09:00,473,09:21,473,2200株,1百万円,-2,-0.42,473.773円,8回,126.23億円
4987,2019-09-19,472,476,14:58,470,09:56,475,13200株,6百万円,+2,+0.42,474.424円,53回,126.77億円
4987,2019-09-20,474,477,10:35,473,09:38,474,7400株,4百万円,-1,-0.21,475.432円,40回,126.50億円
4987,2019-09-24,475,477,12:39,474,09:03,476,5900株,3百万円,+2,+0.42,475.407円,34回,127.03億円
4987,2019-09-25,478,478,09:00,474,09:58,474,6900株,3百万円,-2,-0.42,477.101円,20回,126.50億円
4987,2019-09-26,477,479,12:34,474,12:34,474,7700株,4百万円,0,0,476.091円,26回,126.50億円
4987,2019-09-27,474,475,09:02,470,09:47,473,2100株,1百万円,-1,-0.21,472.667円,11回,126.23億円
4987,2019-09-30,474,475,12:30,470,14:40,474,5700株,3百万円,+1,+0.21,472.246円,15回,126.50億円
4987,2019-10-01,474,475,13:21,470,12:30,471,8400株,4百万円,-3,-0.63,472.059円,32回,125.70億円
4987,2019-10-02,474,475,10:02,470,14:31,471,3800株,2百万円,0,0,471.684円,23回,125.70億円
4987,2019-10-03,470,473,09:05,470,09:00,471,3000株,1百万円,0,0,471.233円,30回,125.70億円
4987,2019-10-04,474,474,09:00,470,09:33,470,11300株,5百万円,-1,-0.21,470.876円,55回,125.43億円
4987,2019-10-07,473,473,09:00,461,10:27,470,11600株,5百万円,0,0,465.233円,30回,125.43億円
4987,2019-10-08,473,474,12:30,473,10:15,474,1900株,1百万円,+4,+0.85,473.579円,14回,126.50億円
4987,2019-10-09,474,478,13:47,471,13:37,475,14200株,7百万円,+1,+0.21,475.127円,61回,126.77億円
4987,2019-10-10,474,475,09:00,470,10:57,475,17700株,8百万円,0,0,474.034円,45回,126.77億円
4987,2019-10-11,491,534,12:55,477,09:12,488,261100株,130百万円,+13,+2.74,496.047円,917回,130.24億円
4987,2019-10-15,498,505,09:04,493,14:30,499,47000株,23百万円,+11,+2.25,499.055円,138回,133.17億円
4987,2019-10-16,503,504,14:01,494,10:30,503,16600株,8百万円,+4,+0.80,500.711円,82回,134.24億円
4987,2019-10-17,500,500,09:00,496,09:38,500,2300株,1百万円,-3,-0.60,498.956円,12回,133.44億円
4987,2019-10-18,499,502,12:30,498,09:34,501,9000株,5百万円,+1,+0.20,500.622円,53回,133.71億円
4987,2019-10-21,500,505,12:31,500,09:00,504,11500株,6百万円,+3,+0.60,503.026円,53回,134.51億円
4987,2019-10-23,506,513,09:31,504,10:47,506,10400株,5百万円,+2,+0.40,507.721円,59回,135.04億円
4987,2019-10-24,506,513,14:22,503,09:50,505,13800株,7百万円,-1,-0.20,507.13円,67回,134.77億円
4987,2019-10-25,513,513,09:00,504,09:35,507,12800株,7百万円,+2,+0.40,510.039円,56回,135.31億円
4987,2019-10-28,517,518,09:03,510,09:09,512,8300株,4百万円,+5,+0.99,514.121円,54回,136.64億円
4987,2019-10-29,512,517,09:06,508,11:23,511,7500株,4百万円,-1,-0.20,511.387円,42回,136.38億円
4987,2019-10-30,512,519,10:35,507,09:25,515,10300株,5百万円,+4,+0.78,515.116円,64回,137.44億円
4987,2019-10-31,487,503,10:00,485,09:06,501,55100株,27百万円,-14,-2.72,496.181円,128回,133.71億円
4987,2019-11-01,495,502,09:45,495,09:00,501,6300株,3百万円,0,0,499.127円,33回,133.71億円
4987,2019-11-05,501,503,10:05,494,12:49,496,12300株,6百万円,-5,-1.00,498.992円,53回,132.37億円
4987,2019-11-07,497,502,11:07,497,09:00,500,8900株,4百万円,0,0,498.236円,24回,133.44億円
4987,2019-11-08,504,505,13:21,500,14:58,502,5000株,3百万円,+2,+0.40,503.6円,18回,133.97億円
4987,2019-11-11,504,508,14:35,504,09:00,505,20600株,10百万円,+3,+0.60,505.126円,25回,134.77億円
4987,2019-11-12,502,502,09:00,499,10:20,500,7000株,4百万円,-5,-0.99,500.857円,18回,133.44億円
4987,2019-11-13,501,504,09:56,498,09:30,501,6500株,3百万円,+1,+0.20,500.569円,17回,133.71億円
4987,2019-11-14,508,511,09:10,503,13:36,508,9000株,5百万円,+7,+1.40,507.133円,37回,135.57億円
4987,2019-11-15,506,506,09:00,501,14:46,502,10500株,5百万円,-6,-1.18,505.143円,10回,133.97億円
4987,2019-11-18,500,502,12:43,499,14:37,499,6400株,3百万円,-3,-0.60,500.469円,32回,133.17億円
4987,2019-11-19,500,503,11:12,498,09:24,499,3100株,2百万円,0,0,499.613円,12回,133.17億円
4987,2019-11-20,500,502,14:59,498,12:36,500,6700株,3百万円,+1,+0.20,499.552円,28回,133.44億円
4987,2019-11-21,500,502,12:30,500,09:00,501,2400株,1百万円,+1,+0.20,501.083円,11回,133.71億円
4987,2019-11-22,501,503,13:10,500,10:04,503,4600株,2百万円,+2,+0.40,500.935円,16回,134.24億円
4987,2019-11-25,507,507,09:00,503,12:46,505,3900株,2百万円,+2,+0.40,505.744円,11回,134.77億円
4987,2019-11-26,507,507,09:00,499,15:00,499,3700株,2百万円,-6,-1.19,502.757円,18回,133.17億円
4987,2019-11-27,500,501,13:09,499,15:00,499,4800株,2百万円,0,0,499.958円,13回,133.17億円
4987,2019-11-28,500,502,14:02,499,13:39,500,1600株,1百万円,+1,+0.20,500.187円,10回,133.44億円
4987,2019-11-29,500,505,12:30,499,09:25,505,6500株,3百万円,+5,+1.00,502.339円,20回,134.77億円
4987,2019-12-02,507,507,09:00,501,13:05,501,5100株,3百万円,-4,-0.79,503.941円,19回,133.71億円
4987,2019-12-03,501,502,09:08,500,09:17,500,9700株,5百万円,-1,-0.20,500.577円,23回,133.44億円
4987,2019-12-05,501,503,09:50,497,10:58,500,25600株,13百万円,0,0,500.613円,51回,133.44億円
4987,2019-12-06,504,504,09:00,500,10:37,502,12800株,6百万円,+2,+0.40,503.617円,13回,133.97億円
4987,2019-12-09,503,504,10:13,502,13:09,502,4300株,2百万円,0,0,502.767円,18回,133.97億円
4987,2019-12-10,502,506,14:28,500,10:24,505,9300株,5百万円,+3,+0.60,503.936円,22回,134.77億円
4987,2019-12-13,508,513,14:50,505,09:41,509,33800株,17百万円,+6,+1.19,509.192円,96回,135.84億円
