5727,2019-09-06,814,818,09:03,800,14:31,801,538800株,435百万円,+4,+0.50,808.007円,873回
5727,2019-09-07,800,813,09:57,797,09:00,806,343000株,276百万円,+5,+0.62,806.116円,652回
5727,2019-09-10,811,822,09:52,809,09:01,818,327700株,268百万円,+12,+1.49,817.194円,634回
5727,2019-09-11,829,840,09:38,824,11:22,835,592400株,493百万円,+17,+2.08,831.993円,833回
5727,2019-09-12,850,857,09:05,836,15:00,836,607000株,513百万円,+1,+0.12,844.893円,972回
5727,2019-09-13,846,850,09:40,832,12:40,844,598300株,504百万円,+8,+0.96,841.813円,963回
5727,2019-09-17,840,866,09:33,837,09:00,846,548100株,467百万円,+2,+0.24,852.52円,887回
5727,2019-09-17,845,845,09:00,817,12:48,824,474500株,392百万円,-22,-2.60,826.813円,995回,587.27億円
5727,2019-09-19,829,840,09:28,820,09:00,826,381600株,317百万円,+2,+0.24,831.326円,750回,588.70億円
5727,2019-09-20,827,834,14:55,821,09:02,832,316200株,262百万円,+6,+0.73,829.25円,524回,592.97億円
5727,2019-09-24,825,856,10:11,825,09:00,847,406400株,345百万円,+15,+1.80,847.978円,675回,603.66億円
5727,2019-09-25,849,849,09:00,839,11:25,842,236500株,200百万円,-5,-0.59,844.213円,512回,600.10億円
5727,2019-09-26,855,867,09:19,850,15:00,850,414800株,356百万円,+8,+0.95,858.239円,770回,605.80億円
5727,2019-09-27,850,850,09:00,821,12:31,827,358000株,297百万円,-23,-2.71,829.439円,670回,589.41億円
5727,2019-09-30,820,839,09:28,819,09:00,826,268800株,223百万円,-1,-0.12,827.885円,522回,588.70億円
5727,2019-10-01,832,843,10:36,831,09:00,833,303400株,254百万円,+7,+0.85,836.593円,582回,593.69億円
5727,2019-10-02,821,837,12:32,815,09:00,837,204000株,170百万円,+4,+0.48,830.927円,420回,596.54億円
5727,2019-10-03,816,816,09:03,802,13:36,805,297200株,240百万円,-32,-3.82,808.309円,566回,573.73億円
5727,2019-10-04,805,811,14:42,793,11:06,806,250400株,201百万円,+1,+0.12,803.057円,553回,574.44億円
5727,2019-10-07,806,809,09:00,799,09:58,806,175000株,141百万円,0,0,804.106円,389回,574.44億円
5727,2019-10-08,811,825,09:18,811,09:00,820,213900株,175百万円,+14,+1.74,820.087円,444回,584.42億円
5727,2019-10-09,809,826,14:51,805,09:00,824,183900株,151百万円,+4,+0.49,818.912円,558回,587.27億円
5727,2019-10-10,816,825,14:26,808,09:36,821,205100株,168百万円,-3,-0.36,818.575円,378回,585.13億円
5727,2019-10-11,827,842,14:58,824,09:02,841,295400株,247百万円,+20,+2.44,836.284円,576回,599.39億円
5727,2019-10-15,850,877,09:25,850,09:00,857,599800株,518百万円,+16,+1.90,864.196円,960回,610.79億円
5727,2019-10-16,877,892,09:17,853,14:36,856,696700株,608百万円,-1,-0.12,873.038円,1351回,610.08億円
5727,2019-10-17,857,865,09:18,846,09:38,857,334100株,286百万円,+1,+0.12,855.112円,662回,610.79億円
5727,2019-10-18,861,898,10:02,860,09:00,883,905000株,801百万円,+26,+3.03,884.692円,1474回,629.32億円
5727,2019-10-21,878,889,10:10,878,09:00,878,256100株,226百万円,-5,-0.57,882.173円,528回,625.76億円
5727,2019-10-23,881,906,14:58,880,09:20,906,515700株,462百万円,+28,+3.19,896.134円,1008回,645.71億円
5727,2019-10-24,907,910,09:00,877,09:22,883,618900株,548百万円,-23,-2.54,886.112円,1075回,629.32億円
5727,2019-10-25,878,898,15:00,872,09:11,898,452800株,401百万円,+15,+1.70,885.123円,746回,640.01億円
5727,2019-10-28,904,906,12:43,892,09:04,903,311200株,281百万円,+5,+0.56,902.056円,591回,643.58億円
5727,2019-10-29,908,922,09:59,901,09:00,915,475600株,434百万円,+12,+1.33,913.042円,695回,652.13億円
5727,2019-10-30,918,918,09:00,895,09:27,903,383000株,345百万円,-12,-1.31,900.834円,693回,643.58億円
5727,2019-10-31,902,912,09:16,892,11:25,900,420100株,378百万円,-3,-0.33,900.939円,967回,641.44億円
5727,2019-11-01,870,898,12:31,866,09:03,888,518000株,459百万円,-12,-1.33,885.764円,1188回,632.89億円
5727,2019-11-05,910,935,09:22,903,11:17,908,602500株,551百万円,+20,+2.25,915.323円,1044回,647.14億円
5727,2019-11-07,919,929,10:06,911,09:18,927,329800株,305百万円,+7,+0.76,923.882円,539回,660.68億円
5727,2019-11-08,941,961,09:28,936,09:14,944,732900株,694百万円,+17,+1.83,946.715円,956回,672.80億円
5727,2019-11-11,949,951,09:03,922,13:27,925,388800株,363百万円,-19,-2.01,932.533円,686回,659.26億円
5727,2019-11-12,922,933,14:59,916,10:35,932,235800株,218百万円,+7,+0.76,924.915円,505回,664.24億円
5727,2019-11-13,930,930,09:00,907,12:52,908,255400株,233百万円,-24,-2.58,912.451円,460回,647.14億円
5727,2019-11-14,914,916,09:08,890,14:00,892,257400株,232百万円,-16,-1.76,900.631円,521回,635.74億円
5727,2019-11-15,905,999,14:48,905,09:00,997,1917800株,1873百万円,+105,+11.77,976.401円,3397回,710.57億円
5727,2019-11-18,1000,1009,09:00,981,09:17,983,637700株,632百万円,-14,-1.40,991.557円,1434回,700.59億円
5727,2019-11-19,968,981,09:05,950,14:35,953,448700株,430百万円,-30,-3.05,958.102円,853回,679.21億円
5727,2019-11-20,951,960,09:00,928,13:28,929,338600株,318百万円,-24,-2.52,939.235円,757回,662.11億円
5727,2019-11-21,920,921,09:10,893,10:48,907,670300株,607百万円,-22,-2.37,905.498円,1254回,646.43億円
5727,2019-11-22,929,964,09:11,928,09:03,942,658400株,625百万円,+35,+3.86,948.948円,1126回,671.37億円
5727,2019-11-25,957,980,13:12,956,09:33,967,361300株,350百万円,+25,+2.65,967.621円,640回,689.19億円
5727,2019-11-26,971,976,09:40,956,12:35,962,373300株,361百万円,-5,-0.52,965.715円,733回,685.63億円
5727,2019-11-27,961,968,13:55,956,12:30,968,285400株,275百万円,+6,+0.62,962.408円,519回,689.90億円
5727,2019-11-28,970,972,09:02,953,09:33,968,239800株,231百万円,0,0,963.241円,490回,689.90億円
5727,2019-11-29,970,970,09:00,961,09:03,965,167200株,161百万円,-3,-0.31,965.372円,299回,687.76億円
5727,2019-12-02,960,970,14:59,958,10:40,970,252800株,244百万円,+5,+0.52,963.884円,425回,691.33億円
5727,2019-12-03,956,969,12:42,947,09:10,968,236000株,227百万円,-2,-0.21,960.098円,505回,689.90億円
5727,2019-12-05,961,982,09:08,961,09:00,980,307300株,300百万円,+23,+2.40,976.14円,566回,698.45億円
5727,2019-12-06,981,989,09:35,977,11:18,983,255300株,251百万円,+3,+0.31,982.637円,519回,700.59億円
5727,2019-12-09,998,1006,09:00,985,14:30,989,283900株,282百万円,+6,+0.61,992.378円,527回,704.87億円
5727,2019-12-10,984,989,09:18,978,09:33,983,133700株,132百万円,-6,-0.61,983.809円,290回,700.59億円
5727,2019-12-13,1022,1029,09:01,1006,14:09,1008,435900株,444百万円,+6,+0.60,1018.252円,773回,718.41億円
