5922,2019-08-30,7500,7780,13:25,7230,09:26,7740,24700株,187百万円,+390,+5.31,7574.656円,200回
5922,2019-09-02,7920,8420,14:59,7820,09:14,8370,42100株,343百万円,+630,+8.14,8148.741円,301回
5922,2019-09-03,8680,9290,09:10,8430,14:21,8530,72000株,632百万円,+160,+1.91,8775.111円,539回
5922,2019-09-03,8450,8520,09:02,8040,12:39,8080,45000株,370百万円,-450,-5.28,8226.6円,362回
5922,2019-09-05,8230,8490,12:33,7780,14:59,7790,45000株,367百万円,-290,-3.59,8145.089円,335回
5922,2019-09-05,7860,8010,09:16,7340,13:12,7490,39500株,303百万円,-300,-3.85,7669.519円,329回
5922,2019-09-07,7450,7920,10:20,7390,09:01,7670,20700株,159百万円,+180,+2.40,7670.241円,166回
5922,2019-09-10,7670,8170,14:59,7580,09:35,8160,27100株,213百万円,+490,+6.39,7859.262円,218回
5922,2019-09-11,8220,8220,09:00,7800,13:47,8140,29600株,238百万円,-20,-0.25,8026.588円,229回
5922,2019-09-12,8070,8370,12:35,8000,09:12,8290,20900株,172百万円,+150,+1.84,8207.321円,154回
5922,2019-09-13,8290,8360,09:02,7960,10:09,8060,22900株,186百万円,-230,-2.77,8122.882円,192回
5922,2019-09-17,8100,8900,09:39,8100,09:00,8790,56100株,481百万円,+730,+9.06,8567.718円,423回
5922,2019-09-17,8840,9170,14:19,8540,09:14,8980,44000株,391百万円,+190,+2.16,8879.159円,331回,107.76億円
5922,2019-09-19,8980,9170,09:41,8770,13:17,8980,32400株,291百万円,0,0,8980.988円,247回,107.76億円
5922,2019-09-20,8930,9440,09:14,8810,09:05,8930,42700株,388百万円,-50,-0.56,9076.815円,326回,107.16億円
5922,2019-09-24,8480,8720,09:32,8330,14:59,8330,33100株,282百万円,-600,-6.72,8517.885円,243回,99.96億円
5922,2019-09-25,8250,8470,12:46,8140,14:59,8170,21100株,175百万円,-160,-1.92,8316.303円,163回,98.04億円
5922,2019-09-26,8250,8380,09:02,8030,11:23,8160,17400株,142百万円,-10,-0.12,8171.092円,128回,97.92億円
5922,2019-09-27,8270,8700,14:58,8180,09:01,8660,20300株,171百万円,+500,+6.13,8441.675円,168回,103.92億円
5922,2019-09-30,8800,8800,09:00,8510,09:59,8570,15500株,134百万円,-90,-1.04,8627.097円,127回,102.84億円
5922,2019-10-01,8680,8690,09:01,8520,12:50,8540,10400株,89百万円,-30,-0.35,8590.962円,78回,102.48億円
5922,2019-10-02,8540,8670,10:16,8500,09:02,8580,6300株,54百万円,+40,+0.47,8578.571円,54回,102.96億円
5922,2019-10-03,8450,8470,13:18,8270,09:00,8420,8000株,67百万円,-160,-1.86,8398.25円,57回,101.04億円
5922,2019-10-04,8420,8660,14:01,8280,09:28,8580,10400株,88百万円,+160,+1.90,8451.923円,89回,102.96億円
5922,2019-10-07,8580,8620,09:15,8390,10:15,8510,6900株,59百万円,-70,-0.82,8508.841円,61回,102.12億円
5922,2019-10-08,8470,8580,09:10,8470,09:00,8550,6400株,55百万円,+40,+0.47,8522.969円,52回,102.60億円
5922,2019-10-09,8550,9140,14:46,8490,09:02,9030,34300株,305百万円,+480,+5.61,8886.326円,256回,108.36億円
5922,2019-10-10,9080,9130,09:00,8790,14:59,8790,23900株,214百万円,-240,-2.66,8935.607円,182回,105.48億円
5922,2019-10-11,9000,9000,09:03,8460,13:10,8790,16600株,145百万円,0,0,8705円,131回,105.48億円
5922,2019-10-15,8840,8850,09:24,8110,13:58,8250,38300株,322百万円,-540,-6.14,8419.922円,242回,99.00億円
5922,2019-10-16,8190,8410,09:36,8160,13:33,8250,12300株,102百万円,0,0,8252.195円,94回,99.00億円
5922,2019-10-17,8250,8360,12:40,8170,09:25,8250,6200株,51百万円,0,0,8241.29円,54回,99.00億円
5922,2019-10-18,8180,8230,09:41,7820,13:21,7870,15300株,123百万円,-380,-4.61,8032.811円,121回,94.44億円
5922,2019-10-21,7870,8150,10:06,7360,09:00,8100,13000株,102百万円,+230,+2.92,7811円,99回,97.20億円
5922,2019-10-23,8070,8220,12:30,7880,09:42,8130,6800株,55百万円,+30,+0.37,8077.941円,59回,97.56億円
5922,2019-10-24,8280,8280,09:00,8000,14:47,8050,3700株,30百万円,-80,-0.98,8127.027円,33回,96.60億円
5922,2019-10-25,8050,8050,09:00,7750,14:04,7830,8100株,64百万円,-220,-2.73,7910.247円,69回,93.96億円
5922,2019-10-28,7830,7910,12:54,7710,15:00,7710,6400株,50百万円,-120,-1.53,7786.094円,51回,92.52億円
5922,2019-10-29,7690,7730,09:04,7140,14:30,7250,34600株,255百万円,-460,-5.97,7380.173円,257回,87.00億円
5922,2019-10-30,7530,7590,09:17,7280,09:42,7550,15200株,114百万円,+300,+4.14,7469.803円,129回,90.60億円
