5941,2019-08-30,1000,1022,11:13,1000,09:32,1009,900株,1百万円,+14,+1.41,1007.222円,6回
5941,2019-09-02,1017,1017,10:04,1017,10:04,1017,200株,－百万円,+8,+0.79,1017円,2回
5941,2019-09-03,1025,1029,11:06,1024,15:00,1024,1200株,1百万円,+7,+0.69,1028.25円,5回
5941,2019-09-03,1021,1021,09:00,1021,09:00,1021,100株,－百万円,-3,-0.29,1021円,1回
5941,2019-09-05,1039,1039,09:00,1025,15:00,1025,400株,－百万円,+4,+0.39,1035.5円,2回
5941,2019-09-05,1025,1026,15:00,1025,09:00,1026,200株,－百万円,+1,+0.10,1025.5円,2回
5941,2019-09-07,1009,1014,15:00,1009,09:00,1014,500株,1百万円,-12,-1.17,1010円,2回
5941,2019-09-10,1010,1021,12:30,1010,09:00,1021,500株,1百万円,+7,+0.69,1018.6円,5回
5941,2019-09-11,1025,1040,11:11,1019,13:06,1029,1600株,2百万円,+8,+0.78,1029.625円,14回
5941,2019-09-12,1030,1038,13:27,1030,09:28,1030,1000株,1百万円,+1,+0.10,1031.5円,8回
5941,2019-09-13,1021,1040,14:51,1021,09:00,1039,1900株,2百万円,+9,+0.87,1030円,13回
5941,2019-09-17,1035,1035,09:00,1030,09:09,1035,4000株,4百万円,-4,-0.38,1034.85円,6回
5941,2019-09-17,1035,1040,09:19,1035,09:00,1040,200株,－百万円,+5,+0.48,1037.5円,2回,65.58億円
5941,2019-09-19,1022,1030,10:48,1022,09:00,1030,600株,1百万円,-10,-0.96,1028.667円,3回,64.95億円
5941,2019-09-20,1012,1020,10:23,1010,15:00,1010,3400株,3百万円,-20,-1.94,1012.177円,9回,63.69億円
5941,2019-09-24,1030,1035,12:30,1030,09:16,1030,500株,1百万円,+20,+1.98,1033円,4回,64.95億円
5941,2019-09-25,1030,1030,09:00,1013,12:47,1014,1000株,1百万円,-16,-1.55,1026.6円,4回,63.94億円
5941,2019-09-26,1025,1025,10:21,1020,14:32,1020,200株,－百万円,+6,+0.59,1022.5円,2回,64.32億円
5941,2019-09-27,1025,1025,09:00,1020,11:03,1020,300株,－百万円,0,0,1023円,3回,64.32億円
5941,2019-09-30,1020,1020,09:30,1020,09:30,1020,100株,－百万円,0,0,1020円,1回,64.32億円
5941,2019-10-01,1020,1021,11:06,1020,09:09,1021,400株,－百万円,+1,+0.10,1020.75円,3回,64.38億円
5941,2019-10-02,1010,1016,12:59,1010,09:00,1016,800株,1百万円,-5,-0.49,1012円,3回,64.07億円
5941,2019-10-03,1016,1016,09:00,1016,09:00,1016,400株,－百万円,0,0,1016円,2回,64.07億円
5941,2019-10-04,1015,1020,13:03,1015,09:00,1015,800株,1百万円,-1,-0.10,1018.75円,5回,64.01億円
