6062,2019-09-13,1899,1942,12:30,1886,09:01,1898,233700株,446百万円,+39,+2.10,1906.399円,1001回
6062,2019-09-17,1886,1924,09:11,1858,11:07,1887,270800株,513百万円,-11,-0.58,1892.831円,1132回
6062,2019-09-17,1887,1927,09:53,1865,13:44,1889,143500株,272百万円,+2,+0.11,1893.413円,644回,265.52億円
6062,2019-09-19,1902,2000,13:59,1902,09:00,1990,275300株,542百万円,+101,+5.35,1967.013円,1196回,279.71億円
6062,2019-09-20,1991,2057,12:45,1966,09:17,2035,318700株,645百万円,+45,+2.26,2025.323円,1343回,286.04億円
6062,2019-09-24,2072,2198,12:31,2071,09:00,2198,356900株,768百万円,+163,+8.01,2152.801円,1370回,308.95億円
6062,2019-09-25,2175,2198,09:03,2123,12:43,2142,182900株,394百万円,-56,-2.55,2151.979円,865回,301.08億円
6062,2019-09-26,2146,2192,09:39,2100,14:32,2112,184700株,395百万円,-30,-1.40,2139.446円,728回,296.86億円
6062,2019-09-27,2089,2173,14:55,2078,09:00,2171,123800株,265百万円,+59,+2.79,2139.666円,590回,305.16億円
6062,2019-09-30,2157,2193,09:07,2125,12:30,2151,120200株,259百万円,-20,-0.92,2150.831円,562回,302.34億円
6062,2019-10-01,2172,2197,12:36,2142,09:21,2189,99700株,217百万円,+38,+1.77,2177.591円,464回,307.69億円
6062,2019-10-02,2151,2297,13:12,2151,09:00,2257,208500株,469百万円,+68,+3.11,2247.231円,965回,317.24億円
6062,2019-10-03,2240,2325,14:58,2201,09:00,2320,155800株,356百万円,+63,+2.79,2282.856円,660回,326.10億円
