6072,2019-12-17,218,220,09:27,214,09:26,219,118100株,26百万円,+3,+1.39,217.895円,158回,50.56億円
6072,2019-12-18,222,222,09:00,214,09:51,214,175800株,38百万円,-5,-2.28,217.475円,152回,49.41億円
6072,2019-12-18,222,222,09:00,214,09:51,214,175800株,38百万円,-5,-2.28,217.475円,152回,49.41億円
6072,2019-12-19,214,215,09:07,210,11:30,211,81300株,17百万円,-3,-1.40,211.945円,106回,48.71億円
6072,2019-12-19,214,215,09:07,210,11:30,211,81300株,17百万円,-3,-1.40,211.945円,106回,48.71億円
6072,2019-12-20,212,214,09:04,209,12:50,211,119300株,25百万円,0,0,212.054円,100回,48.71億円
6072,2019-12-20,212,214,09:04,209,12:50,211,119300株,25百万円,0,0,212.054円,100回,48.71億円
6072,2019-12-23,212,214,09:00,210,10:52,213,59200株,13百万円,+2,+0.95,212.165円,109回,49.18億円
6072,2019-12-23,212,214,09:00,210,10:52,213,59200株,13百万円,+2,+0.95,212.165円,109回,49.18億円
6072,2019-12-24,213,214,09:11,211,09:28,212,61400株,13百万円,-1,-0.47,212.285円,65回,48.94億円
6072,2019-12-24,213,214,09:11,211,09:28,212,61400株,13百万円,-1,-0.47,212.285円,65回,48.94億円
6072,2019-12-25,213,215,11:07,212,09:13,214,147300株,31百万円,+2,+0.94,213.762円,135回,49.41億円
6072,2019-12-25,213,215,11:07,212,09:13,214,147300株,31百万円,+2,+0.94,213.762円,135回,49.41億円
6072,2019-12-26,213,215,09:34,212,10:31,215,94600株,20百万円,+1,+0.47,213.677円,149回,49.64億円
6072,2019-12-26,213,215,09:34,212,10:31,215,94600株,20百万円,+1,+0.47,213.677円,149回,49.64億円
6072,2019-12-27,215,219,12:50,214,09:14,217,81100株,18百万円,+2,+0.93,217.191円,101回,50.10億円
6072,2019-12-27,215,219,12:50,214,09:14,217,81100株,18百万円,+2,+0.93,217.191円,101回,50.10億円
6072,2019-12-30,219,227,12:47,217,09:08,225,237800株,53百万円,+8,+3.69,223.354円,269回,51.95億円
6072,2019-12-30,219,227,12:47,217,09:08,225,237800株,53百万円,+8,+3.69,223.354円,269回,51.95億円
6072,2020-01-06,220,222,10:36,213,09:10,216,283500株,62百万円,-9,-4.00,217.251円,330回,49.87億円
6072,2020-01-06,220,222,10:36,213,09:10,216,283500株,62百万円,-9,-4.00,217.251円,330回,49.87億円
6072,2020-01-07,217,223,13:40,216,09:00,223,76900株,17百万円,+7,+3.24,219.966円,107回,51.48億円
6072,2020-01-07,217,223,13:40,216,09:00,223,76900株,17百万円,+7,+3.24,219.966円,107回,51.48億円
6072,2020-01-08,222,229,09:19,217,09:36,221,316100株,70百万円,-2,-0.90,222.056円,332回,51.02億円
6072,2020-01-08,222,229,09:19,217,09:36,221,316100株,70百万円,-2,-0.90,222.056円,332回,51.02億円
6072,2020-01-09,229,246,10:51,224,09:01,241,1021800株,242百万円,+20,+9.05,237.15円,1017回,55.64億円
6072,2020-01-09,229,246,10:51,224,09:01,241,1021800株,242百万円,+20,+9.05,237.15円,1017回,55.64億円
6072,2020-01-10,255,263,09:08,242,11:08,245,1961500株,494百万円,+4,+1.66,251.725円,1864回,56.56億円
6072,2020-01-10,255,263,09:08,242,11:08,245,1961500株,494百万円,+4,+1.66,251.725円,1864回,56.56億円
6072,2020-01-14,252,254,11:12,243,09:48,250,433800株,108百万円,+5,+2.04,249.089円,421回,57.72億円
6072,2020-01-14,252,254,11:12,243,09:48,250,433800株,108百万円,+5,+2.04,249.089円,421回,57.72億円
6072,2020-01-15,247,247,09:00,240,09:08,243,239200株,58百万円,-7,-2.80,243.422円,265回,56.10億円
6072,2020-01-15,247,247,09:00,240,09:08,243,239200株,58百万円,-7,-2.80,243.422円,265回,56.10億円
6072,2020-01-16,242,263,14:54,242,09:00,263,539600株,138百万円,+20,+8.23,256.081円,573回,60.72億円
6072,2020-01-16,242,263,14:54,242,09:00,263,539600株,138百万円,+20,+8.23,256.081円,573回,60.72億円
6072,2020-01-17,261,263,09:00,250,10:21,253,387700株,99百万円,-10,-3.80,254.954円,437回,58.41億円
6072,2020-01-17,261,263,09:00,250,10:21,253,387700株,99百万円,-10,-3.80,254.954円,437回,58.41億円
6072,2020-01-20,253,258,10:53,250,09:01,255,158700株,40百万円,+2,+0.79,254.853円,192回,58.87億円
6072,2020-01-20,253,258,10:53,250,09:01,255,158700株,40百万円,+2,+0.79,254.853円,192回,58.87億円
6072,2020-01-21,254,256,14:58,250,10:13,256,127000株,32百万円,+1,+0.39,252.734円,154回,59.10億円
6072,2020-01-21,254,256,14:58,250,10:13,256,127000株,32百万円,+1,+0.39,252.734円,154回,59.10億円
6072,2020-01-22,253,269,14:37,253,09:00,266,442300株,116百万円,+10,+3.91,262.646円,436回,61.41億円
6072,2020-01-22,253,269,14:37,253,09:00,266,442300株,116百万円,+10,+3.91,262.646円,436回,61.41億円
6072,2020-01-23,265,289,12:44,264,09:02,280,1070300株,298百万円,+14,+5.26,278.324円,1172回,64.64億円
6072,2020-01-23,265,289,12:44,264,09:02,280,1070300株,298百万円,+14,+5.26,278.324円,1172回,64.64億円
6072,2020-01-24,276,276,09:00,262,10:04,271,557100株,150百万円,-9,-3.21,268.885円,637回,62.57億円
6072,2020-01-24,276,276,09:00,262,10:04,271,557100株,150百万円,-9,-3.21,268.885円,637回,62.57億円
6072,2020-01-27,266,274,12:47,252,09:01,272,296000株,78百万円,+1,+0.37,264.913円,334回,62.80億円
6072,2020-01-27,266,274,12:47,252,09:01,272,296000株,78百万円,+1,+0.37,264.913円,334回,62.80億円
