6164,2019-08-30,1299,1322,09:37,1299,09:00,1318,3700株,5百万円,+29,+2.25,1312.027円,23回
6164,2019-09-02,1307,1320,15:00,1307,09:00,1320,1400株,2百万円,+2,+0.15,1312.857円,10回
6164,2019-09-03,1319,1331,15:00,1319,10:10,1331,1300株,2百万円,+11,+0.83,1324.923円,11回
6164,2019-09-03,1339,1340,09:03,1311,12:33,1312,1800株,2百万円,-19,-1.43,1326.278円,15回
6164,2019-09-05,1322,1340,12:42,1315,10:11,1340,3200株,4百万円,+28,+2.13,1335.719円,17回
6164,2019-09-05,1342,1342,09:00,1325,09:36,1334,2100株,3百万円,-6,-0.45,1335.952円,12回
6164,2019-09-07,1330,1343,14:02,1329,10:20,1334,7700株,10百万円,0,0,1332.701円,19回
6164,2019-09-10,1333,1336,09:20,1332,09:55,1333,11100株,15百万円,-1,-0.07,1333.171円,19回
6164,2019-09-11,1347,1358,14:59,1341,13:04,1350,5000株,7百万円,+17,+1.28,1347.06円,36回
6164,2019-09-12,1369,1370,09:14,1355,09:29,1360,3500株,5百万円,+10,+0.74,1364.571円,27回
6164,2019-09-13,1378,1378,09:00,1368,10:54,1370,1200株,2百万円,+10,+0.74,1371.333円,11回
6164,2019-09-17,1370,1385,13:58,1367,09:15,1381,2200株,3百万円,+11,+0.80,1373.955円,16回
6164,2019-09-17,1386,1386,09:00,1372,09:46,1378,2200株,3百万円,-3,-0.22,1379.409円,15回,82.08億円
6164,2019-09-19,1386,1386,10:15,1373,13:42,1373,2500株,3百万円,-5,-0.36,1375.52円,18回,81.78億円
6164,2019-09-20,1376,1388,12:30,1371,12:46,1371,6100株,8百万円,-2,-0.15,1377.508円,39回,81.66億円
6164,2019-09-24,1376,1376,09:00,1366,10:56,1370,2900株,4百万円,-1,-0.07,1370.448円,14回,81.60億円
6164,2019-09-25,1388,1428,12:39,1376,09:01,1409,18400株,26百万円,+39,+2.85,1400.929円,82回,83.93億円
6164,2019-09-26,1401,1429,11:20,1397,09:10,1398,6800株,10百万円,-11,-0.78,1412.412円,41回,83.27億円
6164,2019-09-27,1419,1420,10:32,1402,10:16,1420,4100株,6百万円,+22,+1.57,1418.268円,23回,84.58億円
6164,2019-09-30,1422,1440,13:14,1416,15:00,1416,4800株,7百万円,-4,-0.28,1430.5円,28回,84.34億円
6164,2019-10-01,1401,1429,14:13,1396,09:23,1412,5300株,7百万円,-4,-0.28,1414.151円,30回,84.10億円
6164,2019-10-02,1412,1425,10:29,1412,09:00,1424,4900株,7百万円,+12,+0.85,1414.102円,8回,84.82億円
6164,2019-10-03,1427,1427,09:00,1395,10:10,1408,5100株,7百万円,-16,-1.12,1410.314円,27回,83.87億円
6164,2019-10-04,1405,1408,09:04,1390,10:50,1398,2300株,3百万円,-10,-0.71,1397.478円,10回,83.27億円
6164,2019-10-07,1398,1398,09:28,1381,11:07,1390,5300株,7百万円,-8,-0.57,1383.377円,12回,82.79億円
6164,2019-10-08,1382,1391,09:32,1377,13:22,1378,3400株,5百万円,-12,-0.86,1380.677円,19回,82.08億円
6164,2019-10-09,1375,1388,13:04,1372,10:23,1380,3300株,5百万円,+2,+0.15,1375.879円,20回,82.20億円
6164,2019-10-10,1379,1409,12:30,1361,14:55,1361,5200株,7百万円,-19,-1.38,1386.019円,36回,81.07億円
6164,2019-10-11,1364,1384,13:24,1363,09:02,1380,4000株,6百万円,+19,+1.40,1376.125円,33回,82.20億円
6164,2019-10-15,1410,1410,09:02,1392,09:21,1409,2700株,4百万円,+29,+2.10,1407.074円,11回,83.93億円
6164,2019-10-16,1411,1417,09:31,1399,14:48,1399,4700株,7百万円,-10,-0.71,1406.745円,24回,83.33億円
6164,2019-10-17,1414,1420,14:29,1412,09:54,1416,3500株,5百万円,+17,+1.22,1416.457円,18回,84.34億円
6164,2019-10-18,1422,1425,09:05,1416,10:58,1422,1000株,1百万円,+6,+0.42,1420.3円,8回,84.70億円
6164,2019-10-21,1435,1520,10:15,1435,09:00,1468,16800株,25百万円,+46,+3.23,1465.28円,84回,87.44億円
6164,2019-10-23,1499,1499,09:03,1474,09:54,1482,6700株,10百万円,+14,+0.95,1486.657円,25回,88.27億円
6164,2019-10-24,1483,1498,15:00,1465,10:03,1498,8500株,13百万円,+16,+1.08,1486.941円,39回,89.23億円
6164,2019-10-25,1496,1496,09:00,1472,13:20,1481,7900株,12百万円,-17,-1.13,1481.228円,39回,88.21億円
6164,2019-10-28,1490,1500,11:22,1487,13:24,1490,8200株,12百万円,+9,+0.61,1495.195円,30回,88.75億円
6164,2019-10-29,1510,1538,10:10,1500,09:06,1522,21500株,33百万円,+32,+2.15,1517.67円,56回,90.66億円
6164,2019-10-30,1549,1549,09:00,1490,09:59,1491,11600株,18百万円,-31,-2.04,1520.983円,47回,88.81億円
6164,2019-10-31,1498,1518,09:36,1498,09:00,1506,2200株,3百万円,+15,+1.01,1503.545円,13回,89.70億円
6164,2019-11-01,1505,1528,14:56,1485,09:33,1528,3300株,5百万円,+22,+1.46,1506.818円,19回,91.01億円
6164,2019-11-05,1510,1549,09:36,1510,09:00,1534,5700株,9百万円,+6,+0.39,1528.175円,32回,91.37億円
6164,2019-11-07,1527,1533,13:51,1473,12:34,1510,22900株,34百万円,-17,-1.11,1505.939円,98回,89.94億円
6164,2019-11-08,1512,1529,09:47,1491,14:45,1491,7800株,12百万円,-19,-1.26,1507.269円,41回,88.81億円
6164,2019-11-11,1499,1505,09:04,1490,11:15,1491,3100株,5百万円,0,0,1494.484円,14回,88.81億円
6164,2019-11-12,1489,1504,09:13,1488,15:00,1488,4900株,7百万円,-3,-0.20,1491.061円,14回,88.63億円
6164,2019-11-13,1507,1508,09:05,1481,15:00,1481,5200株,8百万円,-7,-0.47,1492.058円,30回,88.21億円
6164,2019-11-14,1480,1480,09:00,1466,15:00,1466,4100株,6百万円,-15,-1.01,1472.317円,28回,87.32億円
6164,2019-11-15,1466,1467,09:05,1426,09:57,1462,5400株,8百万円,-4,-0.27,1447.648円,36回,87.08億円
6164,2019-11-18,1464,1470,12:38,1452,09:24,1457,12100株,18百万円,-5,-0.34,1462.24円,20回,86.78億円
6164,2019-11-19,1457,1467,12:30,1456,09:18,1463,2600株,4百万円,+6,+0.41,1459円,10回,87.14億円
6164,2019-11-20,1465,1494,15:00,1465,09:00,1494,2600株,4百万円,+31,+2.12,1474.385円,16回,88.99億円
6164,2019-11-21,1494,1494,09:00,1466,12:41,1489,5900株,9百万円,-5,-0.33,1478.051円,23回,88.69億円
6164,2019-11-22,1489,1499,12:30,1473,09:22,1480,8900株,13百万円,-9,-0.60,1488.393円,40回,88.15億円
6164,2019-11-25,1481,1497,12:52,1481,09:00,1496,4400株,7百万円,+16,+1.08,1485.75円,16回,89.11億円
6164,2019-11-26,1498,1502,15:00,1490,12:37,1502,5200株,8百万円,+6,+0.40,1497.038円,23回,89.47億円
6164,2019-11-27,1503,1503,09:00,1498,09:08,1500,3700株,6百万円,-2,-0.13,1501.081円,17回,89.35億円
6164,2019-11-28,1507,1507,09:00,1483,10:23,1492,9600株,14百万円,-8,-0.53,1493.844円,38回,88.87億円
6164,2019-11-29,1502,1508,09:01,1490,12:45,1490,5800株,9百万円,-2,-0.13,1496.362円,28回,88.75億円
6164,2019-12-02,1490,1499,14:37,1485,09:09,1496,4500株,7百万円,+6,+0.40,1492.289円,22回,89.11億円
6164,2019-12-03,1495,1500,13:35,1487,10:14,1489,2600株,4百万円,-7,-0.47,1492.308円,15回,88.69億円
6164,2019-12-05,1500,1561,13:31,1500,09:00,1544,20400株,31百万円,+44,+2.93,1538.828円,87回,91.97億円
6164,2019-12-06,1537,1537,09:00,1526,10:14,1531,3700株,6百万円,-13,-0.84,1534.595円,20回,91.19億円
6164,2019-12-09,1534,1570,14:44,1503,10:11,1568,18900株,29百万円,+37,+2.42,1535.185円,72回,93.40億円
6164,2019-12-10,1551,1565,13:31,1546,11:00,1560,6000株,9百万円,-8,-0.51,1557.717円,35回,92.92億円
6164,2019-12-13,1508,1525,12:32,1457,14:37,1469,46100株,69百万円,-62,-4.05,1493.382円,157回,87.50億円
6164,2019-12-16,1461,1478,13:12,1451,10:28,1459,36100株,53百万円,-10,-0.68,1462.881円,86回,86.90億円
6164,2019-12-17,1470,1488,09:40,1463,09:17,1470,7300株,11百万円,+11,+0.75,1475.123円,42回,87.56億円
6164,2019-12-18,1464,1478,09:22,1461,15:00,1461,9400株,14百万円,-9,-0.61,1467.149円,36回,87.02億円
6164,2019-12-19,1461,1490,13:23,1455,09:02,1472,50400株,74百万円,+11,+0.75,1464.52円,43回,87.68億円
6164,2019-12-20,1472,1486,14:36,1466,11:14,1475,4600株,7百万円,+3,+0.20,1476.739円,25回,87.86億円
6164,2019-12-23,1470,1489,12:58,1463,09:06,1489,12100株,18百万円,+14,+0.95,1475.273円,46回,88.69億円
6164,2019-12-24,1489,1495,14:56,1480,10:04,1487,9300株,14百万円,-2,-0.13,1488.193円,28回,88.57億円
6164,2019-12-25,1493,1497,11:27,1483,15:00,1483,5500株,8百万円,-4,-0.27,1492.727円,21回,88.33億円
6164,2019-12-26,1485,1491,11:13,1471,13:51,1480,12100株,18百万円,-3,-0.20,1479.231円,38回,88.15億円
6164,2019-12-27,1451,1460,10:15,1443,09:01,1455,14400株,21百万円,-25,-1.69,1449.833円,67回,86.67億円
6164,2019-12-30,1461,1461,09:00,1442,14:20,1443,9000株,13百万円,-12,-0.82,1450.844円,38回,85.95億円
6164,2020-01-06,1441,1441,09:00,1412,15:00,1412,10000株,14百万円,-31,-2.15,1425.51円,47回,84.10億円
6164,2020-01-07,1415,1453,13:02,1415,09:00,1433,10800株,16百万円,+21,+1.49,1441.491円,59回,85.36億円
6164,2020-01-08,1427,1446,09:00,1402,11:03,1409,11100株,16百万円,-24,-1.67,1418.73円,45回,83.93億円
6164,2020-01-09,1420,1442,10:27,1404,11:22,1432,12500株,18百万円,+23,+1.63,1420.736円,65回,85.30億円
6164,2020-01-10,1432,1432,09:00,1407,15:00,1407,3800株,5百万円,-25,-1.75,1412.395円,22回,83.81億円
6164,2020-01-14,1410,1425,14:22,1405,09:02,1425,5000株,7百万円,+18,+1.28,1413.28円,29回,84.88億円
6164,2020-01-15,1428,1431,12:57,1420,14:54,1420,4200株,6百万円,-5,-0.35,1426.643円,15回,84.58億円
6164,2020-01-16,1419,1420,09:10,1352,10:43,1388,17500株,24百万円,-32,-2.25,1382.48円,88回,82.67億円
6164,2020-01-17,1385,1397,14:41,1377,09:00,1390,5900株,8百万円,+2,+0.14,1387.068円,28回,82.79億円
6164,2020-01-20,1381,1399,14:16,1381,09:00,1396,3600株,5百万円,+6,+0.43,1389.75円,23回,83.15億円
