6306,2019-08-30,3300,3315,13:20,3280,09:00,3315,18700株,62百万円,+20,+0.61,3301.444円,75回
6306,2019-09-02,3305,3350,14:14,3300,09:00,3350,21700株,72百万円,+35,+1.06,3327.327円,87回
6306,2019-09-03,3325,3340,09:02,3240,14:47,3250,49300株,162百万円,-100,-2.99,3278.124円,168回
6306,2019-09-03,3245,3265,09:59,3220,09:14,3240,42100株,137百万円,-10,-0.31,3245.261円,90回
6306,2019-09-05,3245,3270,14:28,3245,09:00,3260,30200株,98百万円,+20,+0.62,3256.424円,98回
6306,2019-09-05,3260,3275,09:10,3145,11:18,3170,63800株,204百万円,-90,-2.76,3192.296円,236回
6306,2019-09-07,3150,3155,09:23,3120,09:53,3140,45300株,142百万円,-30,-0.95,3138.929円,142回
6306,2019-09-10,3160,3190,10:20,3150,09:02,3175,33800株,107百万円,+35,+1.11,3173.254円,159回
6306,2019-09-11,3200,3255,09:54,3185,10:43,3210,58100株,187百万円,+35,+1.10,3219.225円,265回
6306,2019-09-12,3220,3255,11:14,3220,09:00,3245,25800株,84百万円,+35,+1.09,3240.872円,123回
6306,2019-09-13,3255,3325,14:59,3255,09:00,3320,51500株,169百万円,+75,+2.31,3287.107円,201回
6306,2019-09-17,3320,3415,14:41,3285,09:09,3395,57000株,191百万円,+75,+2.26,3349.772円,249回
6306,2019-09-17,3435,3500,09:02,3400,14:38,3405,54400株,187百万円,+10,+0.29,3431.572円,220回,272.40億円
6306,2019-09-19,3400,3435,09:05,3365,09:41,3430,53200株,181百万円,+25,+0.73,3405.122円,183回,274.40億円
6306,2019-09-20,3460,3540,12:46,3450,09:16,3515,67100株,235百万円,+85,+2.48,3498.622円,238回,281.20億円
6306,2019-09-24,3550,3650,09:55,3535,09:01,3615,77800株,281百万円,+100,+2.84,3610.932円,276回,289.20億円
6306,2019-09-25,3655,3660,09:00,3575,09:53,3585,60200株,217百万円,-30,-0.83,3610.041円,218回,286.80億円
6306,2019-09-26,3600,3610,09:02,3530,14:55,3550,74500株,266百万円,-35,-0.98,3567.134円,269回,284.00億円
6306,2019-09-27,660,694,10:30,659,09:07,677,231800株,157百万円,-33,-4.65,676.986円,499回,270.80億円
6306,2019-09-30,677,682,09:03,661,10:20,666,163100株,109百万円,-11,-1.62,668.469円,353回,266.40億円
6306,2019-10-01,666,666,09:00,641,10:04,653,264700株,172百万円,-13,-1.95,651.505円,474回,261.20億円
6306,2019-10-02,648,653,09:04,640,10:44,649,223700株,145百万円,-4,-0.61,647.012円,503回,259.60億円
6306,2019-10-03,639,639,09:00,620,13:44,622,157600株,99百万円,-27,-4.16,626.887円,403回,248.80億円
6306,2019-10-04,622,622,09:00,610,09:15,618,155300株,96百万円,-4,-0.64,616.878円,322回,247.20億円
6306,2019-10-07,617,618,09:00,595,10:27,601,238900株,144百万円,-17,-2.75,601.68円,519回,240.40億円
6306,2019-10-08,603,624,11:06,602,09:03,620,170500株,105百万円,+19,+3.16,616.701円,511回,248.00億円
6306,2019-10-09,617,626,13:27,608,09:02,626,88100株,55百万円,+6,+0.97,622.428円,182回,250.40億円
6306,2019-10-10,626,629,09:00,616,09:35,622,90100株,56百万円,-4,-0.64,621.322円,312回,248.80億円
6306,2019-10-11,624,626,09:00,620,09:09,625,67000株,42百万円,+3,+0.48,622.921円,130回,250.00億円
6306,2019-10-15,633,640,09:05,630,09:16,631,106000株,67百万円,+6,+0.96,633.509円,362回,252.40億円
6306,2019-10-16,634,664,11:00,634,09:00,650,256900株,167百万円,+19,+3.01,649.629円,411回,260.00億円
6306,2019-10-17,658,662,13:44,652,09:05,662,136100株,90百万円,+12,+1.85,657.65円,284回,264.80億円
6306,2019-10-18,669,687,09:03,669,09:00,675,183000株,123百万円,+13,+1.96,674.092円,347回,270.00億円
6306,2019-10-21,677,685,10:52,675,09:11,682,101700株,69百万円,+7,+1.04,681.492円,193回,272.80億円
6306,2019-10-23,683,684,09:00,670,09:23,683,132800株,90百万円,+1,+0.15,678.321円,223回,273.20億円
6306,2019-10-24,687,692,13:46,682,09:19,688,108700株,75百万円,+5,+0.73,687.398円,178回,275.20億円
6306,2019-10-25,692,692,09:00,679,14:24,680,105900株,72百万円,-8,-1.16,682.61円,263回,272.00億円
6306,2019-10-28,679,679,09:00,657,14:07,660,258900株,172百万円,-20,-2.94,663.909円,522回,264.00億円
6306,2019-10-29,660,667,09:10,656,13:42,658,175200株,116百万円,-2,-0.30,660.82円,385回,263.20億円
6306,2019-10-30,658,663,10:27,658,09:00,659,171800株,113百万円,+1,+0.15,660.013円,351回,263.60億円
6306,2019-10-31,664,669,09:43,661,09:13,664,142600株,95百万円,+5,+0.76,664.684円,260回,265.60億円
6306,2019-11-01,661,664,09:09,655,13:07,656,90100株,59百万円,-8,-1.20,658.842円,254回,262.40億円
6306,2019-11-05,678,687,13:51,670,09:07,682,242400株,165百万円,+26,+3.96,680.264円,392回,272.80億円
6306,2019-11-07,683,690,10:22,662,14:41,682,368100株,250百万円,+2,+0.29,679.95円,620回,272.80億円
6306,2019-11-08,690,705,09:09,680,14:45,680,387700株,268百万円,-2,-0.29,691.48円,604回,272.00億円
6306,2019-11-11,689,689,09:00,674,10:13,682,175000株,119百万円,+2,+0.29,680.595円,363回,272.80億円
6306,2019-11-12,684,687,13:59,680,09:25,684,108000株,74百万円,+2,+0.29,683.431円,229回,273.60億円
6306,2019-11-13,688,688,09:00,678,11:12,679,90700株,62百万円,-5,-0.73,680.831円,208回,271.60億円
6306,2019-11-14,679,694,09:27,677,09:02,683,150800株,103百万円,+4,+0.59,684.803円,346回,273.20億円
6306,2019-11-15,687,712,14:57,685,09:03,710,300800株,210百万円,+27,+3.95,699.084円,418回,284.00億円
6306,2019-11-18,707,716,14:05,702,09:49,712,233300株,166百万円,+2,+0.28,710.319円,314回,284.80億円
6306,2019-11-19,717,717,09:00,704,09:43,709,157900株,112百万円,-3,-0.42,710.146円,255回,283.60億円
6306,2019-11-20,711,713,09:31,705,09:10,709,136400株,97百万円,0,0,709.743円,207回,283.60億円
6306,2019-11-21,710,715,09:11,701,10:50,712,128900株,91百万円,+3,+0.42,708.425円,226回,284.80億円
6306,2019-11-22,712,736,12:46,712,09:00,732,292700株,213百万円,+20,+2.81,728.026円,407回,292.80億円
6306,2019-11-25,735,750,13:21,735,09:00,747,224800株,167百万円,+15,+2.05,743.381円,374回,298.80億円
6306,2019-11-26,755,764,09:25,750,12:54,752,285000株,215百万円,+5,+0.67,755.36円,469回,300.80億円
6306,2019-11-27,755,765,09:16,752,11:10,757,185100株,141百万円,+5,+0.66,759.155円,331回,302.80億円
6306,2019-11-28,760,764,09:00,746,13:14,749,174600株,131百万円,-8,-1.06,752.785円,274回,299.60億円
6306,2019-11-29,749,749,09:00,741,09:04,742,102300株,76百万円,-7,-0.93,743.699円,221回,296.80億円
6306,2019-12-02,745,755,09:09,745,09:00,751,134900株,101百万円,+9,+1.21,749.908円,204回,300.40億円
6306,2019-12-03,746,748,10:07,741,14:08,742,115300株,86百万円,-9,-1.20,743.855円,233回,296.80億円
6306,2019-12-05,741,768,14:25,740,09:03,764,261400株,198百万円,+27,+3.66,756.342円,367回,305.60億円
6306,2019-12-06,768,815,13:33,767,09:00,809,332000株,264百万円,+45,+5.89,794.711円,614回,323.60億円
6306,2019-12-09,842,842,09:06,813,09:32,819,269700株,223百万円,+10,+1.24,826.301円,538回,327.60億円
6306,2019-12-10,830,848,10:34,827,09:00,840,258800株,217百万円,+21,+2.56,839.85円,514回,336.00億円
6306,2019-12-13,893,893,09:00,857,09:11,878,267600株,234百万円,-3,-0.34,872.696円,627回,351.20億円
6306,2019-12-16,868,909,10:15,865,09:00,893,329800株,294百万円,+15,+1.71,892.729円,603回,357.20億円
6306,2019-12-17,905,908,09:01,888,09:35,898,163500株,147百万円,+5,+0.56,896.28円,338回,359.20億円
6306,2019-12-18,890,892,09:01,871,12:43,885,168900株,149百万円,-13,-1.45,880.763円,382回,354.00億円
6306,2019-12-19,872,897,10:16,872,09:00,895,210900株,188百万円,+10,+1.13,890.586円,286回,358.00億円
6306,2019-12-20,889,893,12:40,880,09:45,886,123100株,109百万円,-9,-1.01,887.165円,282回,354.40億円
6306,2019-12-23,885,885,09:00,864,11:22,872,151300株,132百万円,-14,-1.58,873.186円,318回,348.80億円
6306,2019-12-24,858,859,09:00,834,14:59,834,348000株,293百万円,-38,-4.36,841.104円,572回,333.60億円
6306,2019-12-25,834,835,09:00,806,10:15,815,448800株,368百万円,-19,-2.28,820.657円,565回,326.00億円
6306,2019-12-26,818,833,09:07,813,09:48,826,228200株,188百万円,+11,+1.35,822.423円,410回,330.40億円
6306,2019-12-27,826,837,10:08,826,09:00,833,131500株,109百万円,+7,+0.85,832.415円,246回,333.20億円
6306,2019-12-30,833,835,09:14,824,09:02,830,107400株,89百万円,-3,-0.36,831.433円,229回,332.00億円
6306,2020-01-06,815,822,09:04,811,09:00,815,114200株,93百万円,-15,-1.81,816.729円,248回,326.00億円
6306,2020-01-07,817,829,14:23,817,09:00,823,94100株,78百万円,+8,+0.98,823.648円,220回,329.20億円
6306,2020-01-08,817,818,09:00,795,09:46,808,202100株,163百万円,-15,-1.82,807.464円,374回,323.20億円
6306,2020-01-09,820,828,12:44,813,09:13,823,61500株,51百万円,+15,+1.86,822.893円,179回,329.20億円
6306,2020-01-10,826,827,09:04,818,13:08,819,68300株,56百万円,-4,-0.49,821.633円,183回,327.60億円
6306,2020-01-14,820,820,09:00,803,13:36,807,100200株,81百万円,-12,-1.47,809.319円,279回,322.80億円
6306,2020-01-15,803,809,09:11,795,13:30,797,154600株,124百万円,-10,-1.24,799.582円,347回,318.80億円
6306,2020-01-16,797,799,09:03,788,10:04,792,87900株,70百万円,-5,-0.63,792.499円,236回,316.80億円
6306,2020-01-17,792,809,12:59,791,09:00,802,99500株,80百万円,+10,+1.26,801.645円,222回,320.80億円
6306,2020-01-20,810,823,14:06,810,09:00,818,117100株,96百万円,+16,+2.00,816.811円,310回,327.20億円
6306,2020-01-21,822,830,10:06,820,09:06,826,81200株,67百万円,+8,+0.98,825.842円,262回,330.40億円
6306,2020-01-22,830,842,10:09,828,09:02,836,134000株,112百万円,+10,+1.21,836.884円,310回,334.40億円
6306,2020-01-23,836,836,09:00,826,09:23,828,135300株,112百万円,-8,-0.96,830.478円,282回,331.20億円
6306,2020-01-24,830,830,09:00,820,14:40,820,90000株,74百万円,-8,-0.97,823.288円,190回,328.00億円
6306,2020-01-27,800,826,12:43,799,09:03,816,137300株,112百万円,-4,-0.49,813.461円,345回,326.40億円
6306,2020-01-28,810,816,13:59,801,09:18,813,135500株,110百万円,-3,-0.37,808.691円,295回,325.20億円
6306,2020-01-29,814,819,09:01,812,09:38,812,62900株,51百万円,-1,-0.12,814.019円,188回,325億円
6306,2020-01-30,814,818,09:02,792,13:01,797,163500株,131百万円,-15,-1.85,800.365円,333回,319億円
6306,2020-01-31,805,817,11:24,804,09:00,808,112500株,91百万円,+11,+1.38,808.808円,227回,323億円
6306,2020-02-03,791,804,12:34,786,09:03,800,108100株,86百万円,-8,-0.99,796.507円,232回,320億円
6306,2020-02-04,801,810,11:04,799,09:07,807,63700株,51百万円,+7,+0.88,804.854円,193回,323億円
6306,2020-02-05,812,818,09:00,804,10:02,804,59900株,48百万円,-3,-0.37,808.765円,183回,322億円
6306,2020-02-06,816,817,13:46,810,09:30,812,101300株,82百万円,+8,+1.00,813.592円,215回,325億円
6306,2020-02-07,815,815,09:00,805,09:40,810,56800株,46百万円,-2,-0.25,809.062円,145回,324億円
6306,2020-02-10,813,819,12:31,804,09:03,816,64800株,53百万円,+6,+0.74,814.86円,200回,326億円
6306,2020-02-12,820,829,09:44,818,09:00,823,81800株,67百万円,+7,+0.86,823.735円,259回,329億円
6306,2020-02-13,838,862,09:03,830,09:01,833,212300株,178百万円,+10,+1.22,840.727円,502回,333億円
6306,2020-02-14,830,833,09:04,822,09:00,828,118700株,98百万円,-5,-0.60,828.201円,331回,331億円
