6331,2019-08-30,1652,1732,14:11,1651,09:09,1730,37200株,64百万円,+66,+3.97,1707.339円,216回
6331,2019-09-02,1725,1725,09:00,1682,15:00,1682,12500株,21百万円,-48,-2.77,1702.312円,69回
6331,2019-09-03,1684,1696,12:38,1668,09:03,1687,7500株,13百万円,+5,+0.30,1685.28円,52回
6331,2019-09-03,1714,1714,09:00,1678,09:40,1688,8500株,14百万円,+1,+0.06,1694.388円,59回
6331,2019-09-05,1698,1750,11:05,1698,09:00,1744,14200株,25百万円,+56,+3.32,1735.549円,76回
6331,2019-09-05,1742,1760,09:03,1724,14:58,1731,12700株,22百万円,-13,-0.75,1742.898円,85回
6331,2019-09-07,1731,1741,10:17,1706,14:54,1718,15400株,27百万円,-13,-0.75,1722.533円,115回
6331,2019-09-10,1723,1779,12:48,1723,09:00,1773,21200株,37百万円,+55,+3.20,1760.632円,142回
6331,2019-09-11,1780,1809,09:10,1778,09:02,1799,26900株,48百万円,+26,+1.47,1799.071円,156回
6331,2019-09-12,1781,1809,14:40,1780,09:30,1800,28100株,50百万円,+1,+0.06,1795.395円,130回
6331,2019-09-13,1806,1810,09:00,1776,14:41,1786,21100株,38百万円,-14,-0.78,1797.294円,68回
6331,2019-09-17,1778,1824,11:06,1778,09:00,1808,15200株,27百万円,+22,+1.23,1807.684円,71回
6331,2019-09-17,1805,1805,09:00,1752,14:40,1765,17000株,30百万円,-43,-2.38,1773.959円,100回,139.68億円
6331,2019-09-19,1765,1794,14:53,1761,09:08,1787,10600株,19百万円,+22,+1.25,1781.906円,64回,141.42億円
6331,2019-09-20,1784,1798,14:52,1778,09:03,1788,10700株,19百万円,+1,+0.06,1790.439円,57回,141.50億円
6331,2019-09-24,1799,1828,09:39,1798,09:14,1820,13800株,25百万円,+32,+1.79,1814.558円,70回,144.03億円
6331,2019-09-25,1826,1837,14:00,1796,09:56,1831,11900株,22百万円,+11,+0.60,1819.723円,68回,144.90億円
6331,2019-09-26,1850,1853,09:11,1828,10:02,1847,21000株,39百万円,+16,+0.87,1844.062円,111回,146.17億円
6331,2019-09-27,1849,1861,09:29,1815,11:07,1843,35900株,66百万円,-4,-0.22,1841.111円,262回,145.85億円
6331,2019-09-30,1830,1896,10:38,1810,09:01,1858,30800株,58百万円,+15,+0.81,1872.153円,183回,147.04億円
6331,2019-10-01,1860,1895,12:30,1860,09:00,1885,15700株,30百万円,+27,+1.45,1881.388円,97回,149.18億円
6331,2019-10-02,1867,1900,13:12,1850,09:03,1893,14800株,28百万円,+8,+0.42,1883.926円,96回,149.81億円
6331,2019-10-03,1850,1850,09:03,1807,13:39,1825,21800株,40百万円,-68,-3.59,1826.573円,131回,144.43億円
6331,2019-10-04,1843,1843,09:00,1799,12:40,1808,11400株,21百万円,-17,-0.93,1810.482円,71回,143.08億円
6331,2019-10-07,1813,1814,09:07,1778,10:05,1812,10300株,19百万円,+4,+0.22,1797.311円,60回,143.40億円
6331,2019-10-08,1825,1825,09:00,1785,09:05,1810,11100株,20百万円,-2,-0.11,1810.82円,72回,143.24億円
6331,2019-10-09,1808,1821,14:49,1780,10:38,1818,8700株,16百万円,+8,+0.44,1803.908円,48回,143.88億円
6331,2019-10-10,1804,1807,12:33,1782,09:01,1791,9500株,17百万円,-27,-1.49,1793円,62回,141.74億円
