6335,2019-08-30,354,366,12:35,352,09:09,364,26700株,10百万円,+12,+3.41,359.434円,59回
6335,2019-09-02,362,363,13:23,358,14:54,360,13000株,5百万円,-4,-1.10,360.3円,39回
6335,2019-09-03,359,367,11:02,359,09:00,365,9900株,4百万円,+5,+1.39,365円,39回
6335,2019-09-03,361,362,09:00,359,10:47,360,14900株,5百万円,-5,-1.37,360.02円,25回
6335,2019-09-05,362,373,15:00,359,09:38,373,35400株,13百万円,+13,+3.61,366.644円,77回
6335,2019-09-05,369,369,09:00,364,12:35,364,17100株,6百万円,-9,-2.41,365.772円,37回
6335,2019-09-07,365,370,14:35,365,09:00,368,13000株,5百万円,+4,+1.10,366.492円,37回
6335,2019-09-10,370,375,13:00,365,14:24,367,20900株,8百万円,-1,-0.27,369.909円,58回
6335,2019-09-11,370,378,10:09,370,09:00,378,32000株,12百万円,+11,+3.00,374.962円,62回
6335,2019-09-12,380,385,12:30,375,09:30,385,28500株,11百万円,+7,+1.85,381.561円,62回
6335,2019-09-13,383,384,09:50,378,14:34,381,31800株,12百万円,-4,-1.04,381.918円,54回
6335,2019-09-17,378,381,09:24,375,14:39,377,21800株,8百万円,-4,-1.05,378.083円,45回
6335,2019-09-17,377,380,09:00,369,15:00,369,12900株,5百万円,-8,-2.12,371.93円,46回,32.21億円
6335,2019-09-19,369,372,09:12,368,14:47,370,24300株,9百万円,+1,+0.27,369.444円,28回,32.30億円
6335,2019-09-20,373,375,15:00,369,11:09,375,25100株,9百万円,+5,+1.35,372.761円,37回,32.73億円
6335,2019-09-24,372,381,11:30,372,09:00,375,21800株,8百万円,0,0,376.06円,51回,32.73億円
6335,2019-09-25,375,375,09:00,368,09:00,374,28900株,11百万円,-1,-0.27,371.1円,46回,32.65億円
6335,2019-09-26,378,380,14:50,373,12:30,380,40500株,15百万円,+6,+1.60,378.064円,57回,33.17億円
6335,2019-09-27,370,386,09:33,367,14:32,372,85500株,32百万円,-8,-2.11,375.423円,128回,32.47億円
6335,2019-09-30,373,381,12:30,373,09:00,375,24500株,9百万円,+3,+0.81,377.159円,52回,32.73億円
6335,2019-10-01,370,378,13:16,370,09:00,376,25000株,9百万円,+1,+0.27,374.236円,47回,32.82億円
6335,2019-10-02,371,377,09:07,368,14:04,373,31400株,12百万円,-3,-0.80,371.35円,56回,32.56億円
6335,2019-10-03,368,372,11:29,368,09:00,371,15600株,6百万円,-2,-0.54,369.622円,31回,32.38億円
6335,2019-10-04,371,372,09:13,370,09:39,372,14000株,5百万円,+1,+0.27,371.214円,35回,32.47億円
6335,2019-10-07,373,373,09:00,369,09:39,371,17700株,7百万円,-1,-0.27,370.983円,43回,32.38億円
6335,2019-10-08,370,374,11:29,370,09:00,373,22900株,9百万円,+2,+0.54,372.402円,65回,32.56億円
6335,2019-10-09,372,374,14:00,359,14:42,367,81100株,30百万円,-6,-1.61,366.568円,103回,32.04億円
6335,2019-10-10,363,375,12:30,363,09:00,370,16700株,6百万円,+3,+0.82,370.012円,38回,32.30億円
6335,2019-10-11,370,373,12:30,368,14:37,368,10400株,4百万円,-2,-0.54,370.24円,45回,32.12億円
6335,2019-10-15,372,375,09:28,370,11:24,373,22000株,8百万円,+5,+1.36,372.2円,51回,32.56億円
6335,2019-10-16,373,378,12:46,370,13:59,373,23800株,9百万円,0,0,373.836円,57回,32.56億円
6335,2019-10-17,373,375,12:30,371,10:20,374,10300株,4百万円,+1,+0.27,373.379円,29回,32.65億円
6335,2019-10-18,373,375,09:05,370,14:10,371,15200株,6百万円,-3,-0.80,372.559円,35回,32.38億円
6335,2019-10-21,372,373,09:56,371,09:00,372,6300株,2百万円,+1,+0.27,372.222円,20回,32.47億円
6335,2019-10-23,371,375,10:07,371,09:00,371,11000株,4百万円,-1,-0.27,372.336円,28回,32.38億円
6335,2019-10-24,373,375,09:00,372,10:09,375,17100株,6百万円,+4,+1.08,373.819円,33回,32.73億円
6335,2019-10-25,373,375,14:33,370,10:48,375,22900株,9百万円,0,0,372.939円,38回,32.73億円
6335,2019-10-28,376,380,15:00,374,09:20,380,20700株,8百万円,+5,+1.33,376.527円,37回,33.17億円
6335,2019-10-29,380,383,09:33,380,09:00,382,22900株,9百万円,+2,+0.53,381.402円,44回,33.34億円
6335,2019-10-30,385,387,15:00,382,09:16,387,52600株,20百万円,+5,+1.31,385.278円,68回,33.78億円
6335,2019-10-31,383,389,09:40,383,09:00,387,31500株,12百万円,0,0,386.809円,66回,33.78億円
6335,2019-11-01,382,386,14:18,380,09:14,386,13100株,5百万円,-1,-0.26,382.931円,32回,33.69億円
6335,2019-11-05,387,390,10:42,380,14:12,385,33400株,13百万円,-1,-0.26,386.593円,65回,33.61億円
6335,2019-11-07,386,388,12:30,384,14:36,384,13300株,5百万円,-4,-1.03,386.165円,40回,33.52億円
