6570,2019-08-30,611,622,14:23,611,09:03,620,5100株,3百万円,-10,-1.59,613.392円,19回
6570,2019-09-02,622,630,14:27,622,09:00,630,500株,－百万円,+10,+1.61,626.4円,5回
6570,2019-09-03,630,630,09:40,627,14:55,629,500株,－百万円,-1,-0.16,628.4円,4回
6570,2019-09-03,622,628,14:17,622,09:00,628,700株,－百万円,-1,-0.16,624.143円,5回
6570,2019-09-05,618,628,14:24,618,09:02,625,4800株,3百万円,-3,-0.48,621.125円,23回
6570,2019-09-05,611,623,09:59,611,09:03,614,4600株,3百万円,-11,-1.76,614円,22回
6570,2019-09-07,615,624,12:34,615,09:00,622,1100株,1百万円,+8,+1.30,618.727円,9回
6570,2019-09-10,610,614,12:30,608,09:29,611,8100株,5百万円,-11,-1.77,610.642円,21回
6570,2019-09-11,618,625,13:33,618,09:44,624,800株,－百万円,+13,+2.13,621.375円,7回
6570,2019-09-12,624,629,13:15,624,09:00,627,1400株,1百万円,+3,+0.48,626.643円,12回
6570,2019-09-13,630,630,09:40,629,11:11,629,400株,－百万円,+2,+0.32,629.25円,4回
6570,2019-09-17,637,637,09:00,626,11:17,627,1600株,1百万円,-2,-0.32,631.312円,10回
6570,2019-09-17,632,632,09:00,627,12:47,627,1100株,1百万円,0,0,627.546円,8回,38.12億円
6570,2019-09-19,627,630,09:04,624,14:40,629,10700株,7百万円,+2,+0.32,628.206円,35回,38.24億円
6570,2019-09-20,629,634,11:26,627,11:24,634,4500株,3百万円,+5,+0.79,630.778円,15回,38.55億円
6570,2019-09-24,630,638,10:25,630,09:00,633,5700株,4百万円,-1,-0.16,633.14円,24回,38.49億円
6570,2019-09-25,633,636,09:00,633,09:00,633,4200株,3百万円,0,0,634.167円,16回,38.49億円
6570,2019-09-26,633,638,10:21,631,14:29,632,3500株,2百万円,-1,-0.16,633.286円,13回,38.43億円
6570,2019-09-27,632,632,09:00,627,14:17,627,2900株,2百万円,-5,-0.79,631.172円,14回,38.12億円
6570,2019-09-30,625,629,12:30,620,09:06,628,1200株,1百万円,+1,+0.16,625.667円,8回,38.18億円
6570,2019-10-01,626,630,15:00,626,12:43,630,400株,－百万円,+2,+0.32,628.5円,4回,38.30億円
6570,2019-10-02,630,634,12:30,630,09:00,632,1300株,1百万円,+2,+0.32,630.846円,5回,38.43億円
6570,2019-10-03,632,636,09:00,628,12:37,632,4500株,3百万円,0,0,631.933円,18回,38.43億円
6570,2019-10-04,629,634,14:21,629,09:16,634,500株,－百万円,+2,+0.32,631.4円,5回,38.55億円
6570,2019-10-07,629,631,12:43,627,14:10,630,2400株,2百万円,-4,-0.63,629.125円,16回,38.30億円
6570,2019-10-08,633,633,09:50,625,10:12,628,1000株,1百万円,-2,-0.32,629円,7回,38.18億円
6570,2019-10-09,628,628,09:00,625,09:05,628,900株,1百万円,0,0,626.444円,6回,38.18億円
6570,2019-10-10,625,628,10:24,622,14:04,622,1500株,1百万円,-6,-0.96,624.333円,10回,37.82億円
6570,2019-10-11,621,624,12:59,620,09:30,624,1000株,1百万円,+2,+0.32,621.7円,10回,37.94億円
6570,2019-10-15,636,636,09:03,630,11:03,631,2800株,2百万円,+7,+1.12,633.107円,17回,38.37億円
