6867,2019-08-30,770,797,15:00,757,09:27,797,19000株,15百万円,+44,+5.84,771.358円,78回
6867,2019-09-02,818,848,13:21,801,09:25,837,23600株,19百万円,+40,+5.02,824.047円,102回
6867,2019-09-03,824,897,13:54,824,09:00,895,30600株,27百万円,+58,+6.93,870.971円,114回
6867,2019-09-03,880,890,09:02,869,09:55,875,18500株,16百万円,-20,-2.23,876.551円,70回
6867,2019-09-05,887,897,09:39,865,14:05,866,15100株,13百万円,-9,-1.03,883.007円,66回
6867,2019-09-05,866,870,09:01,841,12:54,843,10900株,9百万円,-23,-2.66,851.45円,71回
6867,2019-09-07,866,866,09:03,845,10:20,858,7400株,6百万円,+15,+1.78,856.108円,29回
6867,2019-09-10,858,858,09:00,845,09:24,853,3100株,3百万円,-5,-0.58,852.097円,15回
6867,2019-09-11,847,847,09:00,823,12:46,839,8700株,7百万円,-14,-1.64,834.241円,60回
6867,2019-09-12,840,843,10:17,824,14:05,826,6100株,5百万円,-13,-1.55,831.639円,49回
6867,2019-09-13,818,826,09:04,744,12:59,798,34600株,27百万円,-28,-3.39,784.038円,146回
6867,2019-09-17,813,813,09:00,765,09:19,788,18400株,14百万円,-10,-1.25,784.408円,85回
6867,2019-09-17,781,804,14:09,781,09:00,802,11300株,9百万円,+14,+1.78,790.124円,56回,33.68億円
6867,2019-09-19,898,949,11:04,843,09:37,900,134700株,121百万円,+98,+12.22,901.388円,704回,37.79億円
6867,2019-09-20,912,912,09:00,881,09:00,907,42400株,38百万円,+7,+0.78,896.887円,179回,38.08億円
6867,2019-09-24,911,918,10:19,881,09:41,904,28900株,26百万円,-3,-0.33,897.786円,152回,37.96億円
6867,2019-09-25,895,922,13:03,882,09:03,900,23100株,21百万円,-4,-0.44,899.29円,120回,37.79億円
6867,2019-09-26,901,928,09:12,901,09:00,914,15700株,14百万円,+14,+1.56,915.58円,82回,38.38億円
6867,2019-09-27,922,944,09:16,916,13:11,919,17900株,17百万円,+5,+0.55,927.603円,104回,38.59億円
6867,2019-09-30,934,940,09:05,857,14:54,872,27400株,25百万円,-47,-5.11,902.135円,149回,36.62億円
6867,2019-10-01,887,898,14:27,853,09:42,895,20900株,18百万円,+23,+2.64,879.364円,129回,37.58億円
6867,2019-10-02,877,881,09:12,861,12:40,870,18400株,16百万円,-25,-2.79,871.234円,99回,36.53億円
