7059,2019-08-30,2195,2210,09:00,2131,10:14,2200,20400株,44百万円,+20,+0.92,2181.073円,104回
7059,2019-09-02,2207,2260,12:34,2191,14:54,2225,22900株,51百万円,+25,+1.14,2232.638円,137回
7059,2019-09-03,2195,2209,09:57,2115,12:47,2162,13500株,29百万円,-63,-2.83,2159.733円,76回
7059,2019-09-03,2132,2146,10:43,2093,13:36,2120,12200株,26百万円,-42,-1.94,2107.992円,38回
7059,2019-09-05,2143,2143,09:00,2095,13:16,2100,6400株,13百万円,-20,-0.94,2106.719円,41回
7059,2019-09-05,2146,2148,09:17,2060,14:12,2072,9500株,20百万円,-28,-1.33,2097.105円,61回
7059,2019-09-07,2075,2075,09:00,2045,10:40,2057,7000株,14百万円,-15,-0.72,2056.629円,29回
7059,2019-09-10,2058,2084,10:07,2049,09:07,2059,8100株,17百万円,+2,+0.10,2059.556円,51回
7059,2019-09-11,2046,2046,09:00,2020,11:26,2040,6800株,14百万円,-19,-0.92,2034.515円,41回
7059,2019-09-12,2078,2079,09:00,2034,13:35,2052,6300株,13百万円,+12,+0.59,2050.016円,30回
7059,2019-09-13,2060,2060,09:00,2037,11:06,2055,5400株,11百万円,+3,+0.15,2052.833円,21回
7059,2019-09-17,2055,2057,12:55,2006,11:04,2015,18000株,37百万円,-40,-1.95,2028.011円,92回
7059,2019-09-17,2011,2057,13:23,2005,09:27,2037,10700株,22百万円,+22,+1.09,2025.944円,59回,101.85億円
7059,2019-09-19,2049,2094,10:25,2042,09:16,2077,121800株,250百万円,+40,+1.96,2051.652円,94回,103.85億円
7059,2019-09-20,2069,2094,09:05,2050,10:52,2067,10800株,22百万円,-10,-0.48,2070.435円,55回,103.35億円
7059,2019-09-24,2089,2210,14:54,2085,09:02,2207,27300株,59百万円,+140,+6.77,2162.839円,130回,110.35億円
7059,2019-09-25,2166,2228,14:56,2157,10:50,2211,13200株,29百万円,+4,+0.18,2182.811円,75回,110.55億円
7059,2019-09-26,2211,2238,14:59,2182,12:52,2231,17400株,39百万円,+20,+0.90,2213.408円,97回,111.55億円
7059,2019-09-27,2249,2250,14:53,2175,09:47,2250,25200株,56百万円,+19,+0.85,2231.659円,123回,112.50億円
7059,2019-09-30,2222,2250,09:11,2176,14:05,2229,15200株,34百万円,-21,-0.93,2216.217円,98回,111.45億円
7059,2019-10-01,2247,2270,12:58,2200,09:41,2269,17700株,40百万円,+40,+1.79,2244.26円,72回,113.45億円
7059,2019-10-02,2250,2361,11:02,2240,09:43,2295,39000株,90百万円,+26,+1.15,2304.772円,144回,114.75億円
7059,2019-10-03,2256,2300,14:13,2235,10:38,2297,10000株,23百万円,+2,+0.09,2275.47円,59回,114.85億円
7059,2019-10-04,2310,2310,09:00,2276,11:29,2300,18200株,42百万円,+3,+0.13,2303.143円,57回,115.00億円
7059,2019-10-07,2295,2323,09:10,2273,14:29,2295,21400株,49百万円,-5,-0.22,2294.626円,137回,114.75億円
7059,2019-10-08,2290,2323,12:52,2278,12:55,2303,41700株,96百万円,+8,+0.35,2298.002円,144回,115.15億円
7059,2019-10-09,2300,2337,14:09,2291,11:08,2319,17300株,40百万円,+16,+0.69,2306.925円,97回,115.95億円
7059,2019-10-10,2328,2328,09:00,2282,12:47,2299,13300株,31百万円,-20,-0.86,2298.835円,70回,114.95億円
7059,2019-10-11,2299,2300,09:27,2229,10:39,2293,33600株,76百万円,-6,-0.26,2272.235円,153回,114.65億円
7059,2019-10-15,2299,2363,14:59,2299,09:00,2351,24800株,58百万円,+58,+2.53,2338.855円,102回,117.55億円
7059,2019-10-16,2350,2419,12:30,2300,14:48,2322,63500株,151百万円,-29,-1.23,2378.611円,248回,116.10億円
7059,2019-10-17,2316,2360,14:44,2234,09:18,2347,18400株,42百万円,+25,+1.08,2297.826円,100回,117.35億円
7059,2019-10-18,2333,2401,09:58,2333,09:00,2351,22400株,53百万円,+4,+0.17,2379.991円,73回,117.55億円
7059,2019-10-21,2380,2600,12:37,2358,09:05,2559,95700株,239百万円,+208,+8.85,2502.291円,514回,127.95億円
7059,2019-10-23,2659,2674,09:09,2511,10:24,2562,69400株,180百万円,+3,+0.12,2599.127円,325回,128.10億円
7059,2019-10-24,2572,2599,09:02,2512,09:24,2559,33100株,84百万円,-3,-0.12,2547.296円,221回,127.95億円
7059,2019-10-25,2559,2579,12:36,2501,14:59,2514,25400株,65百万円,-45,-1.76,2543.831円,145回,125.70億円
7059,2019-10-28,2489,2525,14:36,2445,09:55,2500,29000株,72百万円,-14,-0.56,2480.676円,131回,125.00億円
7059,2019-10-29,2510,2510,09:00,2452,11:24,2495,29300株,73百万円,-5,-0.20,2493.055円,147回,124.75億円
7059,2019-10-30,2500,2510,12:45,2465,10:21,2485,11100株,28百万円,-10,-0.40,2494.477円,58回,124.25億円
7059,2019-10-31,2501,2618,09:26,2501,09:00,2594,39300株,101百万円,+109,+4.39,2564.168円,225回,129.70億円
7059,2019-11-01,2582,2582,09:00,2516,10:52,2538,17700株,45百万円,-56,-2.16,2546.593円,108回,126.90億円
7059,2019-11-05,2600,2600,09:03,2552,09:20,2600,24400株,63百万円,+62,+2.44,2578.463円,79回,130.00億円
7059,2019-11-07,2637,2637,09:00,2580,10:57,2598,15300株,40百万円,-26,-0.99,2603.464円,81回,129.90億円
7059,2019-11-08,2590,2644,12:38,2539,14:44,2571,18200株,47百万円,-27,-1.04,2596.654円,112回,128.55億円
7059,2019-11-11,2557,2557,09:00,2466,10:01,2530,29600株,74百万円,-41,-1.59,2507.057円,162回,126.50億円
7059,2019-11-12,2530,2670,13:22,2517,09:23,2658,24400株,64百万円,+128,+5.06,2627.828円,131回,132.90億円
7059,2019-11-13,2648,2720,09:13,2548,14:59,2549,39800株,104百万円,-109,-4.10,2619.191円,233回,127.45億円
7059,2019-11-14,2561,2561,09:00,2361,14:50,2365,97200株,237百万円,-184,-7.22,2433.959円,515回,118.25億円
7059,2019-11-15,2394,2526,14:45,2366,09:04,2520,39800株,98百万円,+155,+6.55,2454.686円,236回,126.00億円
7059,2019-11-18,2534,2535,13:10,2458,10:32,2494,35200株,88百万円,-26,-1.03,2492.881円,234回,124.70億円
7059,2019-11-19,2496,2608,14:40,2471,10:19,2582,15800株,40百万円,+88,+3.53,2540.228円,113回,129.10億円
7059,2019-11-20,2560,2606,09:32,2521,14:58,2535,14600株,37百万円,-47,-1.82,2563.11円,112回,126.75億円
7059,2019-11-21,2520,2523,09:05,2435,12:32,2455,31100株,77百万円,-80,-3.16,2461.051円,158回,122.75億円
7059,2019-11-22,2434,2513,14:59,2377,09:04,2505,25700株,62百万円,+50,+2.04,2428.097円,148回,125.25億円
7059,2019-11-25,2512,2584,14:52,2500,09:44,2580,14700株,37百万円,+75,+2.99,2543.531円,76回,129.00億円
7059,2019-11-26,2576,2579,11:17,2530,09:23,2551,6300株,16百万円,-29,-1.12,2554円,41回,127.55億円
7059,2019-11-27,2597,2715,12:53,2588,09:08,2700,40600株,108百万円,+149,+5.84,2667.278円,221回,135.00億円
7059,2019-11-28,2740,2890,10:40,2740,09:00,2838,72300株,204百万円,+138,+5.11,2827.234円,389回,141.90億円
7059,2019-11-29,2860,2962,09:11,2758,13:12,2771,46800株,134百万円,-67,-2.36,2859.438円,288回,138.55億円
