7173,2019-08-30,1269,1286,13:37,1250,09:25,1286,81300株,104百万円,+57,+4.64,1274.034円,258回
7173,2019-09-02,1274,1298,13:39,1266,09:00,1290,60000株,77百万円,+4,+0.31,1290.237円,276回
7173,2019-09-03,1284,1293,09:01,1267,10:32,1271,41100株,53百万円,-19,-1.47,1278.078円,190回
7173,2019-09-03,1263,1263,09:00,1243,12:34,1251,26900株,34百万円,-20,-1.57,1251.137円,123回
7173,2019-09-05,1262,1311,11:12,1262,09:00,1295,76400株,99百万円,+44,+3.52,1295.445円,318回
7173,2019-09-05,1292,1297,09:00,1277,12:35,1283,45500株,58百万円,-12,-0.93,1284.732円,213回
7173,2019-09-07,1285,1314,13:45,1283,09:00,1313,58300株,76百万円,+30,+2.34,1305.849円,267回
7173,2019-09-10,1326,1375,10:55,1326,09:00,1370,107700株,146百万円,+57,+4.34,1360.25円,444回
7173,2019-09-11,1389,1418,14:59,1380,09:07,1417,123300株,173百万円,+47,+3.43,1402.196円,553回
7173,2019-09-12,1430,1448,14:40,1411,11:26,1436,83200株,119百万円,+19,+1.34,1432.795円,312回
7173,2019-09-13,1444,1453,14:10,1423,09:19,1451,101400株,146百万円,+15,+1.04,1444.273円,264回
7173,2019-09-17,1391,1416,09:25,1383,09:03,1390,125200株,175百万円,-61,-4.20,1395.422円,584回
7173,2019-09-17,1398,1424,09:13,1377,13:07,1401,109600株,153百万円,+11,+0.79,1399.777円,503回,429.41億円
7173,2019-09-19,1408,1455,11:09,1408,09:00,1431,84200株,121百万円,+30,+2.14,1433.886円,380回,438.60億円
7173,2019-09-20,1452,1455,14:59,1431,12:39,1452,53100株,77百万円,+21,+1.47,1443.864円,237回,445.04億円
7173,2019-09-24,1455,1462,09:01,1436,11:19,1445,52800株,76百万円,-7,-0.48,1444.239円,270回,442.89億円
7173,2019-09-25,1435,1438,09:14,1415,10:14,1429,39200株,56百万円,-16,-1.11,1428.477円,184回,437.99億円
7173,2019-09-26,1457,1472,14:03,1438,14:59,1450,96800株,141百万円,+21,+1.47,1455.058円,430回,444.43億円
7173,2019-09-27,1416,1417,09:00,1362,14:22,1382,84800株,117百万円,-68,-4.69,1380.488円,391回,423.58億円
7173,2019-09-30,1380,1407,09:34,1367,09:03,1400,71700株,100百万円,+18,+1.30,1393.185円,361回,429.10億円
7173,2019-10-01,1384,1418,15:00,1384,09:00,1418,47500株,67百万円,+18,+1.29,1407.124円,236回,434.62億円
7173,2019-10-02,1405,1446,10:53,1405,09:00,1426,59800株,86百万円,+8,+0.56,1430.268円,311回,437.07億円
7173,2019-10-03,1397,1397,09:00,1346,11:04,1369,71300株,97百万円,-57,-4.00,1363.111円,356回,419.60億円
7173,2019-10-04,1357,1357,09:00,1319,10:49,1343,89800株,120百万円,-26,-1.90,1336.597円,430回,411.63億円
