7781,2019-08-30,1211,1231,09:06,1130,10:23,1184,36100株,42百万円,-96,-7.50,1173.485円,203回
7781,2019-09-02,1163,1195,09:54,1150,09:22,1194,8000株,9百万円,+10,+0.84,1167.875円,44回
7781,2019-09-03,1174,1203,14:56,1163,12:50,1195,7400株,9百万円,+1,+0.08,1185.459円,53回
7781,2019-09-03,1185,1278,10:25,1170,14:42,1178,13000株,16百万円,-17,-1.42,1234.646円,73回
7781,2019-09-05,1158,1175,14:01,1158,09:00,1165,4000株,5百万円,-13,-1.10,1167.15円,25回
7781,2019-09-05,1174,1270,12:41,1161,11:05,1238,11100株,14百万円,+73,+6.27,1231.595円,59回
7781,2019-09-07,1238,1289,13:53,1220,12:30,1260,7800株,10百万円,+22,+1.78,1247.705円,34回
7781,2019-09-10,1170,1171,09:06,1101,09:29,1134,35300株,40百万円,-126,-10.00,1140.81円,172回
7781,2019-09-11,1160,1166,09:00,1137,12:49,1145,3800株,4百万円,+11,+0.97,1144.605円,21回
7781,2019-09-12,1157,1157,09:00,1125,09:27,1128,5500株,6百万円,-17,-1.48,1137.327円,25回
7781,2019-09-13,1130,1130,10:17,1128,13:58,1128,900株,1百万円,0,0,1129円,5回
7781,2019-09-17,1127,1137,11:05,1100,09:00,1123,1000株,1百万円,-5,-0.44,1120.8円,7回
7781,2019-09-17,1123,1153,09:45,1114,14:55,1114,6300株,7百万円,-9,-0.80,1137.254円,20回,39.97億円
7781,2019-09-19,1112,1125,09:03,1104,13:13,1117,2000株,2百万円,+3,+0.27,1112.4円,7回,40.07億円
7781,2019-09-20,1131,1131,10:09,1104,14:41,1119,2500株,3百万円,+2,+0.18,1116.08円,13回,40.15億円
7781,2019-09-24,1119,1119,09:00,1108,10:37,1111,2100株,2百万円,-8,-0.71,1112.952円,13回,39.86億円
7781,2019-09-25,1132,1132,09:00,1105,10:50,1120,2900株,3百万円,+9,+0.81,1112.448円,18回,40.18億円
7781,2019-09-26,1129,1143,09:59,1123,13:29,1138,1700株,2百万円,+18,+1.61,1132.118円,11回,40.83億円
7781,2019-09-27,1156,1156,09:00,1128,09:38,1131,2300株,3百万円,-7,-0.62,1133.609円,13回,40.58億円
7781,2019-09-30,1140,1140,09:00,1122,09:00,1134,1300株,1百万円,+3,+0.27,1137.308円,4回,40.68億円
7781,2019-10-01,1149,1179,14:58,1139,12:36,1179,3300株,4百万円,+45,+3.97,1152.636円,23回,42.30億円
7781,2019-10-02,1239,1279,15:00,1221,09:51,1279,23100株,29百万円,+100,+8.48,1245.771円,128回,45.89億円
7781,2019-10-03,1295,1325,11:03,1240,09:37,1276,19000株,25百万円,-3,-0.23,1290.163円,73回,45.78億円
7781,2019-10-04,1303,1303,09:16,1261,14:11,1263,2200株,3百万円,-13,-1.02,1277.091円,15回,45.31億円
7781,2019-10-07,1271,1271,09:00,1250,11:15,1253,3000株,4百万円,-10,-0.79,1257.6円,12回,44.95億円
7781,2019-10-08,1290,1290,09:29,1200,13:20,1219,8100株,10百万円,-34,-2.71,1220.914円,44回,43.73億円
7781,2019-10-09,1203,1206,09:54,1160,10:24,1163,6300株,7百万円,-56,-4.59,1187.524円,29回,41.72億円
7781,2019-10-10,1163,1163,09:25,1110,10:05,1146,3200株,4百万円,-17,-1.46,1141.156円,22回,41.11億円
7781,2019-10-11,1146,1169,10:51,1132,10:19,1155,1600株,2百万円,+9,+0.79,1156.312円,15回,41.44億円
7781,2019-10-15,1134,1170,13:57,1134,09:00,1170,3000株,3百万円,+15,+1.30,1157.8円,22回,41.97億円
7781,2019-10-16,1170,1180,15:00,1170,09:00,1180,1300株,2百万円,+10,+0.85,1173.846円,7回,42.33億円
7781,2019-10-17,1180,1195,13:27,1161,09:29,1181,2400株,3百万円,+1,+0.08,1185.125円,18回,42.37億円
7781,2019-10-18,1182,1194,14:33,1182,09:00,1194,2100株,2百万円,+13,+1.10,1188.857円,10回,42.84億円
7781,2019-10-21,1196,1204,14:59,1160,09:57,1204,2900株,3百万円,+10,+0.84,1185.379円,23回,43.19億円
7781,2019-10-23,1204,1204,09:02,1196,09:06,1201,900株,1百万円,-3,-0.25,1201.111円,7回,43.09億円
7781,2019-10-24,1201,1210,14:49,1197,09:30,1210,2100株,3百万円,+9,+0.75,1201.667円,10回,43.41億円
7781,2019-10-25,1210,1238,14:59,1210,09:00,1238,2300株,3百万円,+28,+2.31,1225.478円,19回,44.41億円
7781,2019-10-28,1238,1249,09:17,1208,14:59,1208,2900株,4百万円,-30,-2.42,1230.828円,19回,43.34億円
7781,2019-10-29,1209,1225,13:25,1209,09:24,1216,3100株,4百万円,+8,+0.66,1220.29円,22回,43.63億円
7781,2019-10-30,1225,1227,10:28,1213,11:19,1219,2100株,3百万円,+3,+0.25,1221円,12回,43.73億円
7781,2019-10-31,1249,1249,09:00,1167,14:45,1167,4400株,5百万円,-52,-4.27,1231.818円,17回,41.87億円
7781,2019-11-01,1176,1195,14:44,1176,09:18,1195,700株,1百万円,+28,+2.40,1184.714円,5回,42.87億円
7781,2019-11-05,1230,1240,09:03,1209,10:07,1215,2900株,4百万円,+20,+1.67,1230.517円,14回,43.59億円
7781,2019-11-07,1269,1269,09:00,1203,09:20,1207,2500株,3百万円,-33,-2.66,1229.64円,18回,43.30億円
7781,2019-11-08,1208,1210,09:00,1180,11:25,1181,7000株,8百万円,-26,-2.15,1193.414円,35回,42.37億円
7781,2019-11-11,1181,1186,09:16,1151,13:10,1167,8800株,10百万円,-14,-1.19,1168.534円,39回,41.87億円
7781,2019-11-12,1167,1167,09:00,1150,14:59,1150,2900株,3百万円,-17,-1.46,1157.517円,18回,41.26億円
7781,2019-11-13,1150,1166,11:15,1150,09:00,1160,12400株,14百万円,+10,+0.87,1153.669円,15回,41.62億円
7781,2019-11-14,1164,1239,11:22,1164,09:00,1179,11500株,14百万円,+19,+1.64,1193.443円,53回,42.30億円
7781,2019-11-15,1269,1269,09:08,1196,09:34,1238,12300株,15百万円,+59,+5.00,1229.976円,53回,44.41億円
7781,2019-11-18,1226,1229,09:05,1201,13:54,1215,10900株,13百万円,-23,-1.86,1214.349円,47回,43.59億円
7781,2019-11-19,1215,1220,14:47,1213,09:14,1220,4300株,5百万円,+5,+0.41,1215.465円,24回,43.77億円
7781,2019-11-20,1220,1220,09:00,1205,12:56,1209,2500株,3百万円,-11,-0.90,1211.64円,14回,43.37億円
7781,2019-11-21,1201,1201,09:00,1194,13:28,1194,4000株,5百万円,-15,-1.24,1197.925円,20回,42.84億円
7781,2019-11-22,1175,1187,10:03,1168,09:00,1180,9000株,11百万円,-14,-1.17,1177.578円,38回,42.33億円
7781,2019-11-25,1171,1176,14:54,1169,10:54,1170,5400株,6百万円,-10,-0.85,1171.611円,25回,41.97億円
7781,2019-11-26,1170,1173,09:01,1168,11:15,1168,1000株,1百万円,-2,-0.17,1170.2円,7回,41.90億円
7781,2019-11-27,1165,1185,09:58,1165,09:00,1178,7200株,8百万円,+10,+0.86,1176.667円,40回,42.26億円
7781,2019-11-28,1178,1186,11:27,1174,09:45,1182,3600株,4百万円,+4,+0.34,1180.639円,24回,42.41億円
7781,2019-11-29,1198,1198,09:00,1185,09:19,1193,4100株,5百万円,+11,+0.93,1194.61円,22回,42.80億円
7781,2019-12-02,1200,1208,10:51,1194,14:09,1200,5600株,7百万円,+7,+0.59,1199.25円,23回,43.05億円
7781,2019-12-03,1215,1215,09:00,1193,15:00,1193,3200株,4百万円,-7,-0.58,1205.062円,18回,42.80億円
7781,2019-12-05,1225,1236,10:50,1180,09:18,1228,9500株,12百万円,+21,+1.74,1213.495円,37回,44.06億円
7781,2019-12-06,1228,1263,14:17,1218,09:27,1255,6700株,8百万円,+27,+2.20,1246.194円,31回,45.02億円
