7820,2019-08-30,2398,2436,14:59,2390,09:00,2436,49400株,119百万円,+41,+1.71,2415.063円,350回
7820,2019-09-02,2486,2509,09:08,2431,12:30,2454,23200株,57百万円,+18,+0.74,2461.853円,137回
7820,2019-09-03,2415,2455,09:42,2395,09:03,2420,29800株,72百万円,-34,-1.39,2426.282円,177回
7820,2019-09-03,2409,2421,09:04,2360,14:16,2364,32400株,77百万円,-56,-2.31,2383.062円,190回
7820,2019-09-05,2376,2480,12:31,2345,09:00,2451,56900株,138百万円,+87,+3.68,2424.733円,319回
7820,2019-09-05,2470,2475,09:00,2426,09:31,2443,37500株,92百万円,-8,-0.33,2448.867円,174回
7820,2019-09-07,2439,2546,14:47,2406,09:00,2522,77600株,193百万円,+79,+3.23,2491.781円,442回
7820,2019-09-10,2456,2456,09:03,2355,14:08,2365,216000株,520百万円,-157,-6.23,2407.698円,914回
7820,2019-09-11,2375,2411,14:59,2355,09:15,2408,65600株,156百万円,+43,+1.82,2384.878円,377回
7820,2019-09-12,2412,2438,12:58,2375,09:10,2421,60200株,146百万円,+13,+0.54,2418.028円,310回
7820,2019-09-13,2421,2422,09:03,2355,11:22,2371,63800株,152百万円,-50,-2.07,2385.291円,281回
7820,2019-09-17,2335,2403,12:50,2327,09:07,2391,48300株,115百万円,+20,+0.84,2381.337円,284回
7820,2019-09-17,2390,2397,09:07,2366,11:10,2386,26100株,62百万円,-5,-0.21,2377.05円,161回,298.97億円
7820,2019-09-19,2386,2465,14:53,2386,09:00,2465,109100株,267百万円,+79,+3.31,2446.284円,529回,308.86億円
7820,2019-09-20,2464,2486,10:25,2446,09:02,2452,51200株,126百万円,-13,-0.53,2465.674円,289回,307.24億円
7820,2019-09-24,2480,2655,10:02,2480,09:00,2532,104100株,267百万円,+80,+3.26,2564.392円,677回,317.26億円
7820,2019-09-25,2548,2614,13:32,2516,09:04,2592,90800株,234百万円,+60,+2.37,2580.496円,578回,324.78億円
7820,2019-09-26,2599,2622,09:00,2525,14:50,2534,59100株,152百万円,-58,-2.24,2564.064円,367回,317.51億円
7820,2019-09-27,2476,2587,14:53,2476,09:00,2574,78700株,201百万円,+40,+1.58,2556.944円,500回,322.52億円
7820,2019-09-30,2563,2644,09:16,2560,12:36,2574,62500株,162百万円,0,0,2591.022円,387回,322.52億円
7820,2019-10-01,2611,2651,09:08,2585,14:42,2585,54900株,143百万円,+11,+0.43,2611.027円,384回,323.90億円
7820,2019-10-02,2578,2622,14:28,2572,09:07,2604,71800株,187百万円,+19,+0.74,2603.68円,445回,326.28億円
7820,2019-10-03,2554,2570,11:11,2501,13:22,2512,60600株,153百万円,-92,-3.53,2531.645円,413回,314.75億円
7820,2019-10-04,2518,2522,13:02,2381,09:00,2489,77800株,193百万円,-23,-0.92,2483.089円,560回,311.87億円
7820,2019-10-07,2475,2475,09:00,2406,12:30,2451,47600株,116百万円,-38,-1.53,2443.7円,309回,307.11億円
7820,2019-10-08,2472,2520,09:24,2446,09:00,2496,78200株,194百万円,+45,+1.84,2486.077円,552回,312.75億円
7820,2019-10-09,2447,2536,13:03,2443,09:23,2516,41700株,104百万円,+20,+0.80,2483.916円,274回,315.25億円
7820,2019-10-10,2532,2532,09:00,2477,14:37,2485,24600株,61百万円,-31,-1.23,2498.146円,149回,311.37億円
7820,2019-10-11,2521,2572,13:21,2497,09:00,2554,31700株,81百万円,+69,+2.78,2546.656円,206回,320.02億円
7820,2019-10-15,2600,2708,14:32,2598,09:00,2686,65300株,174百万円,+132,+5.17,2669.778円,407回,336.56億円
7820,2019-10-16,2716,2790,09:18,2711,14:14,2724,54300株,149百万円,+38,+1.41,2743.179円,343回,341.32億円
7820,2019-10-17,2704,2782,13:24,2690,09:05,2764,42600株,117百万円,+40,+1.47,2757.479円,265回,346.33億円
7820,2019-10-18,2764,2790,12:30,2745,14:07,2777,33600株,93百万円,+13,+0.47,2768.321円,201回,347.96億円
7820,2019-10-21,2800,2809,09:47,2710,14:44,2717,25300株,70百万円,-60,-2.16,2750.632円,169回,340.44億円
7820,2019-10-23,2717,2740,10:17,2673,09:22,2700,40000株,108百万円,-17,-0.63,2705.598円,284回,338.31億円
7820,2019-10-24,2700,2708,09:00,2654,09:53,2678,30700株,82百万円,-22,-0.81,2675.857円,205回,335.55億円
7820,2019-10-25,2728,2728,09:00,2646,14:36,2653,57700株,154百万円,-25,-0.93,2662.827円,385回,332.42億円
7820,2019-10-28,2682,2690,09:00,2624,09:33,2638,25500株,67百万円,-15,-0.57,2643.243円,194回,330.54億円
7820,2019-10-29,2660,2681,09:31,2630,14:44,2642,47100株,125百万円,+4,+0.15,2645.087円,303回,331.04億円
