7915,2019-09-06,981,985,09:00,970,09:42,973,171400株,167百万円,-2,-0.21,975.858円,405回
7915,2019-09-07,973,985,15:00,969,09:07,985,217800株,213百万円,+12,+1.23,979.569円,735回
7915,2019-09-10,955,985,12:49,951,09:03,981,294800株,287百万円,-4,-0.41,974.483円,683回
7915,2019-09-11,993,1019,09:36,993,09:00,1013,389700株,394百万円,+32,+3.26,1011.331円,1009回
7915,2019-09-12,1034,1043,09:00,1018,09:37,1033,263200株,271百万円,+20,+1.97,1030.223円,645回
7915,2019-09-13,1049,1049,09:00,1018,10:02,1033,290500株,300百万円,0,0,1032.555円,734回
7915,2019-09-17,1030,1057,13:23,1015,09:01,1048,301700株,316百万円,+15,+1.45,1046.482円,874回
7915,2019-09-17,1051,1062,09:00,1034,12:44,1038,137500株,143百万円,-10,-0.95,1042.78円,409回,527.88億円
7915,2019-09-19,1033,1061,09:28,1033,09:00,1040,209500株,219百万円,+2,+0.19,1047.002円,555回,528.90億円
7915,2019-09-20,1053,1061,14:59,1040,09:08,1056,258900株,273百万円,+16,+1.54,1053.436円,534回,537.04億円
7915,2019-09-24,1068,1119,11:06,1062,09:03,1101,664800株,732百万円,+45,+4.26,1101.27円,1779回,559.92億円
7915,2019-09-25,1089,1100,09:30,1068,11:00,1083,242400株,263百万円,-18,-1.63,1084.373円,728回,550.77億円
7915,2019-09-26,1112,1137,12:30,1106,09:00,1118,504200株,566百万円,+35,+3.23,1121.741円,1367回,568.57億円
7915,2019-09-27,1115,1117,09:03,1082,14:00,1091,241900株,264百万円,-27,-2.42,1093.145円,729回,554.84億円
7915,2019-09-30,1081,1088,09:20,1064,13:38,1071,188800株,203百万円,-20,-1.83,1072.785円,525回,544.66億円
7915,2019-10-01,1085,1147,14:58,1078,09:00,1145,493700株,557百万円,+74,+6.91,1129.124円,1165回,582.30億円
7915,2019-10-02,1120,1200,14:37,1117,09:02,1192,517700株,605百万円,+47,+4.10,1169.359円,1295回,606.20億円
7915,2019-10-03,1164,1177,09:03,1148,11:00,1158,279700株,324百万円,-34,-2.85,1157.874円,995回,588.91億円
7915,2019-10-04,1149,1157,09:08,1133,10:46,1143,200200株,229百万円,-15,-1.30,1144円,539回,581.28億円
7915,2019-10-07,1144,1148,09:02,1118,14:41,1125,155100株,175百万円,-18,-1.57,1128.379円,431回,572.13億円
7915,2019-10-08,1135,1168,14:54,1135,09:00,1167,260100株,301百万円,+42,+3.73,1157.573円,671回,593.49億円
7915,2019-10-09,1160,1174,09:44,1148,09:13,1164,173300株,202百万円,-3,-0.26,1163.246円,546回,591.96億円
7915,2019-10-10,1178,1179,09:00,1133,09:42,1144,190900株,219百万円,-20,-1.72,1145.278円,630回,581.79億円
7915,2019-10-11,1134,1152,09:17,1131,09:00,1136,260800株,297百万円,-8,-0.70,1137.723円,845回,577.72億円
7915,2019-10-15,1150,1184,10:14,1150,09:00,1155,210500株,245百万円,+19,+1.67,1163.267円,675回,587.38億円
7915,2019-10-16,1173,1189,09:17,1146,14:52,1148,235700株,274百万円,-7,-0.61,1162.761円,642回,583.82億円
