8144,2019-08-30,1186,1189,15:00,1186,09:01,1189,700株,1百万円,-27,-2.22,1186.429円,3回
8144,2019-09-02,1189,1189,09:00,1189,09:00,1189,100株,－百万円,0,0,1189円,1回
8144,2019-09-03,1194,1194,09:01,1194,09:01,1194,300株,－百万円,+5,+0.42,1194円,3回
8144,2019-09-03,1194,1201,14:29,1191,15:00,1191,700株,1百万円,-3,-0.25,1195.429円,5回
8144,2019-09-05,1200,1201,12:32,1200,09:47,1201,600株,1百万円,+10,+0.84,1200.667円,6回
8144,2019-09-05,1187,1200,13:43,1186,10:23,1200,300株,－百万円,-1,-0.08,1191円,3回
8144,2019-09-07,1191,1202,14:25,1191,13:33,1202,500株,1百万円,+2,+0.17,1195円,3回
8144,2019-09-10,1210,1229,09:10,1208,09:11,1219,1600株,2百万円,+17,+1.41,1212.687円,10回
8144,2019-09-11,1232,1240,09:29,1232,09:00,1237,2900株,4百万円,+18,+1.48,1232.586円,11回
8144,2019-09-12,1240,1240,09:00,1240,09:00,1240,600株,1百万円,+3,+0.24,1240円,2回
8144,2019-09-13,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回
8144,2019-09-17,1217,1217,14:43,1217,14:43,1217,100株,－百万円,0,0,1217円,1回
8144,2019-09-17,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,81.11億円
8144,2019-09-19,1203,1238,14:56,1203,09:17,1226,1400株,2百万円,0,0,1226.214円,8回,81.71億円
8144,2019-09-20,1226,1240,10:36,1205,10:50,1239,900株,1百万円,+13,+1.06,1224.222円,8回,82.58億円
8144,2019-09-24,1239,1239,15:00,1239,15:00,1239,100株,－百万円,0,0,1239円,1回,82.58億円
8144,2019-09-25,1239,1240,09:00,1239,09:00,1239,2600株,3百万円,0,0,1239.192円,9回,82.58億円
8144,2019-09-26,1252,1252,09:00,1213,14:53,1233,2600株,3百万円,-6,-0.48,1241.192円,6回,82.18億円
8144,2019-09-27,1231,1231,09:48,1213,09:48,1213,200株,－百万円,-20,-1.62,1222円,2回,80.85億円
8144,2019-09-30,1213,1213,09:00,1210,09:54,1210,700株,1百万円,-3,-0.25,1211.143円,6回,80.65億円
8144,2019-10-01,1210,1210,09:00,1200,12:30,1200,700株,1百万円,-10,-0.83,1204.429円,6回,79.98億円
8144,2019-10-02,1200,1210,12:56,1200,09:00,1210,700株,1百万円,+10,+0.83,1206円,6回,80.65億円
8144,2019-10-03,1200,1200,09:00,1200,09:00,1200,300株,－百万円,-10,-0.83,1200円,3回,79.98億円
8144,2019-10-04,1200,1212,09:49,1200,09:00,1201,400株,－百万円,+1,+0.08,1203.5円,4回,80.05億円
8144,2019-10-07,1201,1201,09:00,1201,09:00,1201,300株,－百万円,0,0,1201円,3回,80.05億円
8144,2019-10-08,1202,1205,14:31,1202,12:30,1205,300株,－百万円,+4,+0.33,1204円,3回,80.31億円
8144,2019-10-09,1205,1210,14:13,1205,09:00,1210,600株,1百万円,+5,+0.41,1207.667円,4回,80.65億円
8144,2019-10-10,1211,1225,14:36,1211,09:00,1225,2500株,3百万円,+15,+1.24,1220.16円,17回,81.65億円
8144,2019-10-11,1238,1238,09:00,1205,15:00,1205,3700株,5百万円,-20,-1.63,1234.649円,7回,80.31億円
8144,2019-10-15,1208,1229,14:54,1205,15:00,1205,800株,1百万円,0,0,1210.875円,6回,80.31億円
8144,2019-10-16,1208,1233,14:37,1208,09:00,1209,600株,1百万円,+4,+0.33,1212.833円,5回,80.58億円
8144,2019-10-17,1209,1220,12:30,1209,09:00,1214,700株,1百万円,+5,+0.41,1215.857円,6回,80.91億円
8144,2019-10-18,1210,1225,13:59,1210,09:00,1210,600株,1百万円,-4,-0.33,1215.167円,6回,80.65億円
8144,2019-10-21,1214,1224,09:06,1210,10:01,1211,1000株,1百万円,+1,+0.08,1215.3円,7回,80.71億円
8144,2019-10-23,1210,1216,14:49,1210,09:00,1214,600株,1百万円,+3,+0.25,1213.833円,4回,80.91億円
8144,2019-10-24,1211,1212,15:00,1211,09:00,1212,300株,－百万円,-2,-0.16,1211.333円,3回,80.78億円
8144,2019-10-25,1215,1219,09:05,1215,09:00,1219,600株,1百万円,+7,+0.58,1217.667円,6回,81.25億円
8144,2019-10-28,1225,1225,09:00,1220,12:30,1222,4500株,6百万円,+3,+0.25,1224.511円,9回,81.45億円
8144,2019-10-29,1222,1224,13:02,1222,09:47,1222,600株,1百万円,0,0,1222.667円,5回,81.45億円
