8732,2019-08-30,259,265,14:03,259,09:00,263,59000株,15百万円,+6,+2.33,261.942円,114回
8732,2019-09-02,262,266,10:43,262,09:00,263,52900株,14百万円,0,0,263.274円,81回
8732,2019-09-03,262,265,09:09,262,09:00,263,43800株,12百万円,0,0,264.164円,75回
8732,2019-09-03,263,264,11:05,261,09:35,261,46000株,12百万円,-2,-0.76,262.689円,56回
8732,2019-09-05,263,269,11:19,263,09:00,267,87400株,23百万円,+6,+2.30,266.387円,118回
8732,2019-09-05,268,269,09:01,262,12:30,263,110800株,29百万円,-4,-1.50,265.598円,137回
8732,2019-09-07,264,267,09:19,262,10:48,264,132500株,35百万円,+1,+0.38,263.515円,169回
8732,2019-09-10,265,273,13:06,264,09:12,273,185300株,50百万円,+9,+3.41,270.342円,247回
8732,2019-09-11,272,281,09:44,271,09:02,280,237500株,66百万円,+7,+2.56,276.834円,344回
8732,2019-09-12,280,283,09:02,274,14:16,275,121700株,34百万円,-5,-1.79,277.992円,153回
8732,2019-09-13,275,275,09:00,269,14:07,273,123400株,34百万円,-2,-0.73,272.801円,116回
8732,2019-09-17,272,273,09:02,269,09:22,272,105100株,29百万円,-1,-0.37,271.415円,174回
8732,2019-09-17,272,272,09:00,266,12:55,267,71900株,19百万円,-5,-1.84,268.185円,112回,90.25億円
8732,2019-09-19,266,272,14:58,266,09:00,271,109900株,30百万円,+4,+1.50,269.301円,139回,91.60億円
8732,2019-09-20,271,272,13:27,269,10:09,272,67900株,18百万円,+1,+0.37,270.649円,90回,91.94億円
8732,2019-09-24,272,273,09:47,268,10:12,270,84400株,23百万円,-2,-0.74,270.281円,92回,91.27億円
8732,2019-09-25,270,271,09:00,267,09:47,268,55900株,15百万円,-2,-0.74,268.168円,66回,90.59億円
8732,2019-09-26,263,269,09:37,263,09:00,265,154000株,41百万円,-3,-1.12,264.923円,146回,89.58億円
8732,2019-09-27,265,265,09:00,259,09:43,260,92500株,24百万円,-5,-1.89,260.626円,139回,87.88億円
8732,2019-09-30,260,261,09:00,257,13:36,259,85000株,22百万円,-1,-0.38,258.782円,129回,87.55億円
8732,2019-10-01,257,264,11:15,257,09:00,263,68900株,18百万円,+4,+1.54,260.673円,100回,88.90億円
8732,2019-10-02,256,262,14:46,256,09:00,260,71800株,19百万円,-3,-1.14,258.254円,94回,87.88億円
8732,2019-10-03,255,257,09:03,255,09:00,256,73300株,19百万円,-4,-1.54,255.597円,110回,86.53億円
8732,2019-10-04,256,257,13:46,254,10:27,257,54800株,14百万円,+1,+0.39,255.766円,73回,86.87億円
8732,2019-10-07,254,257,09:30,254,09:00,257,68600株,18百万円,0,0,255.405円,73回,86.87億円
8732,2019-10-08,255,259,09:34,255,09:00,257,66900株,17百万円,0,0,256.987円,128回,86.87億円
8732,2019-10-09,254,256,12:32,253,10:01,255,52200株,13百万円,-2,-0.78,254.508円,88回,86.19億円
8732,2019-10-10,253,255,09:02,253,09:00,254,72900株,18百万円,-1,-0.39,253.706円,79回,85.86億円
8732,2019-10-11,253,254,09:00,250,15:00,250,156400株,39百万円,-4,-1.57,251.776円,128回,84.50億円
8732,2019-10-15,252,253,09:06,250,09:26,253,92800株,23百万円,+3,+1.20,251.272円,208回,85.52億円
8732,2019-10-16,253,256,09:14,252,12:37,253,104600株,27百万円,0,0,253.763円,216回,85.52億円
8732,2019-10-17,251,253,11:10,250,12:30,250,87400株,22百万円,-3,-1.19,250.897円,236回,84.50億円
8732,2019-10-18,250,253,09:03,250,09:00,251,75100株,19百万円,+1,+0.40,250.396円,223回,84.84億円
8732,2019-10-21,252,255,13:37,250,09:09,253,52600株,13百万円,+2,+0.80,252.262円,117回,85.52億円
8732,2019-10-23,253,255,14:58,251,09:19,254,58200株,15百万円,+1,+0.40,253.033円,163回,85.86億円
8732,2019-10-24,254,254,09:00,251,14:34,253,66200株,17百万円,-1,-0.39,252.813円,164回,85.52億円
8732,2019-10-25,252,255,14:57,250,10:26,253,131300株,33百万円,0,0,252.194円,198回,85.52億円
8732,2019-10-28,256,256,09:00,251,09:34,252,123200株,31百万円,-1,-0.40,253.731円,147回,85.18億円
8732,2019-10-29,254,255,09:36,253,09:00,253,101200株,26百万円,+1,+0.40,253.837円,159回,85.52億円
8732,2019-10-30,253,261,14:17,252,09:25,257,217500株,56百万円,+4,+1.58,256.575円,237回,86.87億円
8732,2019-10-31,260,260,09:00,254,10:55,259,115600株,30百万円,+2,+0.78,257.224円,190回,87.55億円
8732,2019-11-01,257,257,09:00,254,13:27,255,48000株,12百万円,-4,-1.54,255.685円,118回,86.19億円
8732,2019-11-05,260,260,09:00,253,10:34,258,105400株,27百万円,+3,+1.18,257.539円,165回,87.21億円
8732,2019-11-07,255,255,09:00,253,10:05,255,55600株,14百万円,-1,-0.39,254.157円,50回,86.19億円
8732,2019-11-08,257,257,09:00,253,10:44,254,57800株,15百万円,-1,-0.39,254.905円,89回,85.86億円
8732,2019-11-11,255,256,09:17,254,09:32,254,29800株,8百万円,0,0,254.557円,49回,85.86億円
8732,2019-11-12,254,255,09:56,253,09:20,255,39500株,10百万円,+1,+0.39,254.283円,44回,86.19億円
8732,2019-11-13,254,254,09:00,252,12:44,253,36900株,9百万円,-2,-0.78,253.295円,36回,85.52億円
8732,2019-11-14,252,253,09:01,250,13:02,250,123200株,31百万円,-3,-1.19,251.123円,96回,84.50億円
8732,2019-11-15,249,252,14:55,248,09:00,251,120300株,30百万円,+1,+0.40,249.945円,186回,84.84億円
8732,2019-11-18,251,251,09:00,249,09:13,250,87100株,22百万円,-1,-0.40,250.443円,113回,84.50億円
8732,2019-11-19,250,250,09:00,248,09:38,249,83700株,21百万円,-1,-0.40,249.278円,67回,84.17億円
8732,2019-11-20,248,249,09:25,247,09:06,249,100900株,25百万円,0,0,247.98円,95回,84.17億円
8732,2019-11-21,248,250,14:21,247,09:38,250,72500株,18百万円,+1,+0.40,248.37円,70回,84.50億円
8732,2019-11-22,249,250,09:12,249,09:00,249,30000株,7百万円,-1,-0.40,249.37円,44回,84.17億円
8732,2019-11-25,249,250,09:03,249,09:00,249,40100株,10百万円,0,0,249.534円,37回,84.17億円
8732,2019-11-26,250,250,09:00,248,09:06,249,67400株,17百万円,0,0,249.132円,80回,84.17億円
8732,2019-11-27,250,250,09:00,249,09:04,249,19000株,5百万円,0,0,249.174円,40回,84.17億円
8732,2019-11-28,249,249,09:00,247,09:45,247,66300株,16百万円,-2,-0.80,247.956円,67回,83.49億円
8732,2019-11-29,247,248,09:03,246,12:48,248,87700株,22百万円,+1,+0.40,247.104円,70回,83.83億円
8732,2019-12-02,249,250,09:08,248,10:32,250,61600株,15百万円,+2,+0.81,249.148円,77回,84.50億円
8732,2019-12-03,249,249,09:00,247,10:35,247,91300株,23百万円,-3,-1.20,248.031円,82回,83.49億円
8732,2019-12-05,247,248,14:59,246,09:07,247,70300株,17百万円,+1,+0.41,246.555円,105回,83.49億円
8732,2019-12-06,248,248,09:00,247,09:00,247,37500株,9百万円,0,0,247.357円,38回,83.49億円
8732,2019-12-09,249,250,09:06,248,10:07,249,121000株,30百万円,+2,+0.81,249.516円,107回,84.17億円
