8877,2019-08-30,1557,1587,14:59,1557,09:00,1586,12600株,20百万円,+25,+1.60,1574.54円,70回
8877,2019-09-02,1579,1579,09:00,1557,14:47,1559,7500株,12百万円,-27,-1.70,1568.413円,49回
8877,2019-09-03,1559,1588,14:29,1556,09:58,1587,6800株,11百万円,+28,+1.80,1574.044円,43回
8877,2019-09-03,1579,1587,09:00,1562,10:06,1570,9500株,15百万円,-17,-1.07,1572.789円,64回
8877,2019-09-05,1583,1600,11:19,1582,10:11,1590,11000株,17百万円,+20,+1.27,1589.646円,70回
8877,2019-09-05,1601,1606,10:07,1585,14:42,1586,7300株,12百万円,-4,-0.25,1591.671円,52回
8877,2019-09-07,1596,1610,13:32,1587,10:20,1609,8400株,13百万円,+23,+1.45,1600.488円,51回
8877,2019-09-10,1613,1613,09:00,1587,10:25,1603,9400株,15百万円,-6,-0.37,1601.979円,62回
8877,2019-09-11,1596,1603,09:21,1585,11:18,1600,23600株,38百万円,-3,-0.19,1594.504円,146回
8877,2019-09-12,1602,1620,09:54,1596,09:16,1604,15800株,25百万円,+4,+0.25,1608.753円,91回
8877,2019-09-13,1616,1641,14:53,1599,09:08,1639,33300株,54百万円,+35,+2.18,1622.577円,147回
8877,2019-09-17,1638,1658,10:37,1631,09:04,1649,13000株,21百万円,+10,+0.61,1646.669円,77回
8877,2019-09-17,1656,1656,09:00,1625,14:50,1626,12700株,21百万円,-23,-1.39,1634.472円,63回,251.47億円
8877,2019-09-19,1612,1663,14:54,1612,09:00,1663,15400株,25百万円,+37,+2.28,1648.623円,81回,257.19億円
8877,2019-09-20,1673,1700,11:10,1665,10:00,1668,15500株,26百万円,+5,+0.30,1678.729円,82回,257.97億円
8877,2019-09-24,1668,1689,10:33,1668,09:00,1688,12900株,22百万円,+20,+1.20,1682.302円,78回,261.06億円
8877,2019-09-25,1688,1690,14:14,1669,09:57,1679,12400株,21百万円,-9,-0.53,1681.685円,75回,259.67億円
8877,2019-09-26,1680,1696,09:16,1664,14:59,1670,17800株,30百万円,-9,-0.54,1674.416円,98回,258.28億円
8877,2019-09-27,1654,1661,09:21,1624,13:46,1640,15800株,26百万円,-30,-1.80,1643.468円,98回,253.64億円
8877,2019-09-30,1630,1644,09:02,1602,13:41,1610,17100株,28百万円,-30,-1.83,1617.415円,103回,249.00億円
8877,2019-10-01,1609,1647,10:48,1609,09:00,1645,10300株,17百万円,+35,+2.17,1638.796円,73回,254.41億円
8877,2019-10-02,1643,1647,10:32,1624,09:00,1630,15000株,25百万円,-15,-0.91,1637.26円,96回,252.09億円
8877,2019-10-03,1612,1620,15:00,1605,09:12,1620,9900株,16百万円,-10,-0.61,1611.748円,64回,250.54億円
8877,2019-10-04,1606,1637,14:29,1606,09:00,1625,9700株,16百万円,+5,+0.31,1623.32円,60回,251.32億円
8877,2019-10-07,1634,1672,15:00,1631,09:31,1672,18000株,30百万円,+47,+2.89,1653.611円,124回,258.58億円
8877,2019-10-08,1675,1683,11:06,1671,13:02,1674,17100株,29百万円,+2,+0.12,1675.532円,103回,258.89億円
8877,2019-10-09,1679,1686,15:00,1660,09:29,1686,12900株,22百万円,+12,+0.72,1678.558円,62回,260.75億円
8877,2019-10-10,1694,1695,11:16,1670,09:37,1679,10100株,17百万円,-7,-0.42,1685.119円,64回,259.67億円
8877,2019-10-11,1680,1680,09:00,1660,14:34,1667,9700株,16百万円,-12,-0.71,1668.66円,66回,257.81億円
8877,2019-10-15,1682,1697,10:35,1675,12:30,1693,13800株,23百万円,+26,+1.56,1691.022円,81回,261.83億円
8877,2019-10-16,1700,1709,09:09,1687,14:36,1700,10600株,18百万円,+7,+0.41,1698.576円,61回,262.92億円
8877,2019-10-17,1688,1704,14:52,1687,12:53,1700,16800株,29百万円,0,0,1696.637円,101回,262.92億円
8877,2019-10-18,1691,1720,15:00,1691,09:00,1720,17500株,30百万円,+20,+1.18,1709.697円,88回,266.01億円
8877,2019-10-21,1722,1756,14:49,1722,09:00,1754,28500株,50百万円,+34,+1.98,1741.912円,116回,271.27億円
8877,2019-10-23,1760,1768,13:47,1751,09:09,1766,27400株,48百万円,+12,+0.68,1762.131円,166回,273.12億円
8877,2019-10-24,1778,1823,09:29,1778,09:00,1818,37700株,68百万円,+52,+2.94,1806.942円,215回,281.16億円
8877,2019-10-25,1818,1847,13:14,1786,09:29,1812,67600株,123百万円,-6,-0.33,1817.007円,426回,280.24億円
8877,2019-10-28,1858,1966,09:18,1848,09:03,1960,136600株,264百万円,+148,+8.17,1932.943円,847回,303.13億円
8877,2019-10-29,1970,2035,15:00,1969,09:00,2035,94500株,189百万円,+75,+3.83,2004.233円,575回,314.72億円
8877,2019-10-30,2023,2051,15:00,2003,09:05,2051,58300株,119百万円,+16,+0.79,2036.924円,264回,317.20億円
8877,2019-10-31,2031,2040,09:40,1997,11:29,2034,36700株,74百万円,-17,-0.83,2021.962円,240回,314.57億円
8877,2019-11-01,2024,2045,15:00,2001,09:47,2045,30600株,62百万円,+11,+0.54,2027.83円,180回,316.27億円
8877,2019-11-05,2040,2069,13:47,2040,09:00,2068,38800株,80百万円,+23,+1.12,2058.232円,197回,319.83億円
8877,2019-11-07,2069,2098,15:00,2052,09:22,2098,27700株,58百万円,+33,+1.60,2084.199円,165回,324.47億円
8877,2019-11-08,2100,2118,13:49,2088,09:42,2102,33000株,70百万円,+4,+0.19,2106.17円,194回,325.09億円
8877,2019-11-11,2097,2101,09:13,2051,12:42,2065,31200株,65百万円,-37,-1.76,2073.404円,210回,319.36億円
8877,2019-11-12,2050,2065,14:17,2031,09:05,2048,26800株,55百万円,-17,-0.82,2048.429円,162回,316.74億円
8877,2019-11-13,2045,2048,09:00,2027,10:08,2047,14900株,30百万円,-1,-0.05,2040.08円,93回,316.58億円
8877,2019-11-14,2036,2048,14:07,2010,10:13,2033,31100株,63百万円,-14,-0.68,2034.379円,208回,314.42億円
8877,2019-11-15,2033,2097,13:29,2029,09:04,2090,29100株,60百万円,+57,+2.80,2075.567円,189回,323.23億円
8877,2019-11-18,2090,2119,13:57,2071,09:35,2105,40100株,84百万円,+15,+0.72,2102.636円,242回,325.55億円
8877,2019-11-19,2105,2108,09:02,2074,13:35,2076,17400株,36百万円,-29,-1.38,2085.787円,116回,321.07億円
8877,2019-11-20,2068,2147,14:15,2061,09:00,2140,44800株,95百万円,+64,+3.08,2122.824円,295回,330.96億円
8877,2019-11-21,2145,2150,09:09,2063,10:58,2116,31100株,66百万円,-24,-1.12,2106.502円,209回,327.25億円
8877,2019-11-22,2116,2168,13:39,2109,09:03,2168,30000株,65百万円,+52,+2.46,2155.25円,204回,335.29億円
