8897,2019-08-30,400,408,14:59,399,09:02,408,1067200株,431百万円,+11,+2.77,404.245円,779回
8897,2019-09-02,411,412,09:00,407,09:33,409,571100株,234百万円,+1,+0.25,410.391円,478回
8897,2019-09-03,408,415,11:09,404,13:43,405,616700株,252百万円,-4,-0.98,408.543円,584回
8897,2019-09-03,402,407,09:04,395,12:36,397,784200株,313百万円,-8,-1.98,398.875円,689回
8897,2019-09-05,400,409,10:26,400,09:00,403,563000株,228百万円,+6,+1.51,404.472円,695回
8897,2019-09-05,403,404,09:03,395,12:30,400,360000株,144百万円,-3,-0.74,399.013円,438回
8897,2019-09-07,399,405,14:48,397,09:03,405,325700株,131百万円,+5,+1.25,401.794円,285回
8897,2019-09-10,404,405,12:43,401,09:07,404,275100株,111百万円,-1,-0.25,403.098円,327回
8897,2019-09-11,402,409,13:08,401,09:00,409,384700株,156百万円,+5,+1.24,406.244円,412回
8897,2019-09-12,410,418,12:36,408,09:02,416,669700株,278百万円,+7,+1.71,414.504円,551回
8897,2019-09-13,418,419,09:27,413,09:13,419,804800株,336百万円,+3,+0.72,417.939円,658回
8897,2019-09-17,419,425,09:47,416,09:02,422,798500株,336百万円,+3,+0.72,421.196円,547回
8897,2019-09-17,422,425,09:40,417,14:05,417,572700株,241百万円,-5,-1.18,420.435円,524回,504.57億円
8897,2019-09-19,418,421,09:18,413,12:35,416,378600株,158百万円,-1,-0.24,416.659円,472回,503.36億円
8897,2019-09-20,423,428,09:12,422,09:00,424,868400株,369百万円,+8,+1.92,424.891円,598回,513.04億円
8897,2019-09-24,424,430,09:16,424,09:00,426,511100株,218百万円,+2,+0.47,427.385円,593回,515.46億円
8897,2019-09-25,425,429,09:12,424,09:00,427,361500株,154百万円,+1,+0.23,427.243円,438回,516.67億円
8897,2019-09-26,429,432,09:11,428,14:56,431,723700株,312百万円,+4,+0.94,430.648円,770回,521.51億円
8897,2019-09-27,430,430,09:00,419,13:42,424,536200株,227百万円,-7,-1.62,424.085円,591回,513.04億円
8897,2019-09-30,422,424,09:13,416,13:35,418,335700株,141百万円,-6,-1.42,419.57円,431回,505.78億円
8897,2019-10-01,416,421,09:09,416,09:00,418,271300株,113百万円,0,0,418.205円,320回,505.78億円
8897,2019-10-02,413,424,13:45,413,09:00,422,383700株,161百万円,+4,+0.96,419.645円,414回,510.62億円
8897,2019-10-03,418,421,09:26,413,12:51,415,256800株,107百万円,-7,-1.66,415.987円,366回,502.15億円
