8903,2019-08-30,466,471,12:30,465,10:04,471,5500株,3百万円,+5,+1.07,467.345円,11回
8903,2019-09-02,471,471,09:00,469,10:42,471,600株,－百万円,0,0,470.333円,6回
8903,2019-09-03,471,474,12:48,467,09:37,472,5700株,3百万円,+1,+0.21,471.316円,28回
8903,2019-09-03,472,473,10:55,469,09:09,473,900株,－百万円,+1,+0.21,470.889円,6回
8903,2019-09-05,473,475,12:54,470,12:30,472,3200株,2百万円,-1,-0.21,472.094円,20回
8903,2019-09-05,473,473,09:00,470,09:19,470,6700株,3百万円,-2,-0.42,472.448円,9回
8903,2019-09-07,471,471,09:20,470,10:35,471,2200株,1百万円,+1,+0.21,470.954円,12回
8903,2019-09-10,470,472,09:23,468,14:25,471,4200株,2百万円,0,0,469.786円,11回
8903,2019-09-11,471,474,11:01,467,10:38,472,5900株,3百万円,+1,+0.21,471.136円,19回
8903,2019-09-12,468,473,09:16,468,09:00,471,14500株,7百万円,-1,-0.21,469.2円,25回
8903,2019-09-13,471,471,09:00,467,09:43,471,20300株,10百万円,0,0,469.271円,25回
8903,2019-09-17,471,474,13:47,470,09:04,473,9000株,4百万円,+2,+0.42,471.3円,14回
8903,2019-09-17,471,474,10:38,471,09:00,472,9500株,4百万円,-1,-0.21,471.621円,16回,23.10億円
8903,2019-09-19,472,474,09:49,470,09:19,472,2900株,1百万円,0,0,471.828円,19回,23.10億円
8903,2019-09-20,471,473,09:11,471,09:00,473,37100株,18百万円,+1,+0.21,471.984円,18回,23.15億円
8903,2019-09-24,474,475,09:19,471,11:00,473,17300株,8百万円,0,0,473.786円,16回,23.15億円
8903,2019-09-25,473,474,15:00,471,11:03,474,3000株,1百万円,+1,+0.21,472.267円,20回,23.20億円
8903,2019-09-26,474,476,10:15,474,09:00,475,4700株,2百万円,+1,+0.21,474.894円,25回,23.25億円
8903,2019-09-27,474,474,09:00,470,12:40,474,8000株,4百万円,-1,-0.21,472.825円,22回,23.20億円
8903,2019-09-30,472,474,10:02,471,09:54,472,4000株,2百万円,-2,-0.42,472.5円,19回,23.10億円
8903,2019-10-01,473,476,09:33,471,09:32,472,11400株,5百万円,0,0,473.921円,33回,23.10億円
8903,2019-10-02,470,480,12:51,468,09:27,479,15500株,7百万円,+7,+1.48,475.471円,60回,23.44億円
8903,2019-10-03,474,478,12:37,474,09:00,476,2900株,1百万円,-3,-0.63,475.483円,11回,23.30億円
8903,2019-10-04,476,478,09:44,475,11:00,475,3100株,1百万円,-1,-0.21,477円,13回,23.25億円
8903,2019-10-07,477,479,10:35,475,09:41,477,2100株,1百万円,+2,+0.42,477.095円,10回,23.34億円
8903,2019-10-08,477,478,09:22,477,09:02,478,1900株,1百万円,+1,+0.21,477.316円,11回,23.39億円
8903,2019-10-09,477,477,09:00,474,10:04,477,2000株,1百万円,-1,-0.21,475.4円,10回,23.34億円
8903,2019-10-10,477,480,12:41,477,09:00,479,2600株,1百万円,+2,+0.42,478.846円,13回,23.44億円
8903,2019-10-11,480,480,09:00,478,09:58,480,3700株,2百万円,+1,+0.21,479.568円,19回,23.49億円
8903,2019-10-15,481,482,09:48,478,09:05,480,8000株,4百万円,0,0,480.85円,13回,23.49億円
8903,2019-10-16,477,481,09:10,477,09:00,478,3100株,1百万円,-2,-0.42,477.71円,7回,23.39億円
8903,2019-10-17,480,481,10:03,475,10:49,475,7300株,3百万円,-3,-0.63,477.521円,20回,23.25億円
8903,2019-10-18,478,481,09:04,477,11:05,479,2500株,1百万円,+4,+0.84,479.36円,16回,23.44億円
8903,2019-10-21,479,480,09:27,476,09:10,480,3500株,2百万円,+1,+0.21,478.943円,11回,23.49億円
8903,2019-10-23,477,482,10:10,477,09:00,480,7700株,4百万円,0,0,479.247円,21回,23.49億円
8903,2019-10-24,482,482,09:00,480,12:41,481,3300株,2百万円,+1,+0.21,481.606円,10回,23.54億円
8903,2019-10-25,480,482,14:30,479,13:05,481,3000株,1百万円,0,0,480.9円,14回,23.54億円
8903,2019-10-28,482,486,14:47,480,09:25,486,13300株,6百万円,+5,+1.04,483.669円,39回,23.78億円
8903,2019-10-29,482,486,09:20,481,09:48,484,16600株,8百万円,-2,-0.41,483.578円,46回,23.69億円
8903,2019-10-30,486,487,15:00,485,09:30,487,11700株,6百万円,+3,+0.62,485.385円,17回,23.83億円
8903,2019-10-31,487,488,10:06,487,09:00,488,3600株,2百万円,+1,+0.21,487.667円,18回,23.88億円
8903,2019-11-01,487,489,09:23,487,09:00,489,6000株,3百万円,+1,+0.20,487.733円,22回,23.93億円
