9263,2019-09-13,36,37,09:00,36,09:00,37,737800株,27百万円,0,0,36.631円,121回
9263,2019-09-17,37,37,09:00,36,09:00,37,501100株,18百万円,0,0,36.641円,94回
9263,2019-09-17,35,37,09:09,35,09:00,36,3173300株,113百万円,-1,-2.70,35.756円,480回,88.70億円
9263,2019-09-19,36,37,09:07,35,09:14,36,1734100株,62百万円,0,0,35.992円,343回,88.70億円
9263,2019-09-20,36,37,09:04,36,09:00,37,1212400株,44百万円,+1,+2.78,36.279円,327回,91.16億円
9263,2019-09-24,36,37,09:00,36,09:00,37,947000株,35百万円,0,0,36.613円,399回,91.16億円
9263,2019-09-25,37,37,09:00,36,09:02,36,605500株,22百万円,-1,-2.70,36.303円,260回,88.70億円
9263,2019-09-26,36,38,14:39,35,09:04,38,3292900株,120百万円,+2,+5.56,36.591円,262回,93.62億円
9263,2019-09-27,38,39,09:07,37,09:00,38,2030000株,77百万円,0,0,38.051円,267回,93.62億円
9263,2019-09-30,38,40,10:23,38,09:00,40,1287400株,50百万円,+2,+5.26,39.137円,189回,98.55億円
9263,2019-10-01,40,42,11:22,40,09:00,42,1955400株,80百万円,+2,+5.00,40.77円,291回,103.48億円
9263,2019-10-02,42,43,09:00,41,09:03,42,1388300株,58百万円,0,0,41.92円,196回,103.48億円
9263,2019-10-03,42,42,09:00,41,09:04,41,604400株,25百万円,-1,-2.38,41.439円,154回,101.02億円
9263,2019-10-04,42,42,09:00,41,09:01,42,976000株,41百万円,+1,+2.44,41.803円,200回,103.48億円
9263,2019-10-07,42,42,09:00,41,09:05,41,372800株,15百万円,-1,-2.38,41.559円,126回,101.02億円
9263,2019-10-08,43,43,09:00,41,10:38,43,2380200株,100百万円,+2,+4.88,42.219円,322回,105.94億円
9263,2019-10-09,43,43,09:00,42,09:00,43,628900株,27百万円,0,0,42.682円,125回,105.94億円
9263,2019-10-10,42,43,09:01,42,09:00,42,707400株,30百万円,-1,-2.33,42.34円,151回,103.48億円
