9270,2019-08-30,1651,1709,09:24,1651,09:00,1670,34300株,57百万円,+17,+1.03,1666.746円,264回
9270,2019-09-02,1671,1689,09:09,1643,14:44,1644,15900株,26百万円,-26,-1.56,1652.843円,72回
9270,2019-09-03,1625,1663,09:09,1620,09:38,1630,12100株,20百万円,-14,-0.85,1634.744円,66回
9270,2019-09-03,1625,1625,09:00,1580,11:23,1620,30900株,50百万円,-10,-0.61,1606.275円,165回
9270,2019-09-05,1619,1666,09:37,1601,09:19,1620,46600株,76百万円,0,0,1629.708円,255回
9270,2019-09-05,1614,1630,09:09,1610,09:27,1611,11500株,19百万円,-9,-0.56,1615.33円,69回
9270,2019-09-07,1620,1625,12:30,1583,13:31,1610,13200株,21百万円,-1,-0.06,1598.303円,101回
9270,2019-09-10,1610,1620,11:13,1592,14:10,1609,16200株,26百万円,-1,-0.06,1600.463円,55回
9270,2019-09-11,1600,1607,12:39,1582,10:25,1597,21700株,35百万円,-12,-0.75,1592.415円,115回
9270,2019-09-12,1581,1615,09:11,1575,09:24,1603,28600株,45百万円,+6,+0.38,1588.217円,123回
9270,2019-09-13,1605,1605,09:00,1530,14:05,1565,61700株,97百万円,-38,-2.37,1576.282円,279回
9270,2019-09-17,1532,1598,13:53,1530,09:02,1598,27900株,44百万円,+33,+2.11,1566.133円,143回
9270,2019-09-17,1598,1625,10:24,1582,09:15,1584,18300株,29百万円,-14,-0.88,1603.153円,96回,201.81億円
9270,2019-09-19,1607,1638,09:06,1600,13:11,1631,45600株,74百万円,+47,+2.97,1622.34円,239回,207.80億円
9270,2019-09-20,1627,1650,09:00,1624,13:02,1627,19100株,31百万円,-4,-0.25,1630.068円,79回,207.29億円
9270,2019-09-24,1650,1730,09:28,1650,09:00,1723,35600株,61百万円,+96,+5.90,1703.573円,168回,219.65億円
9270,2019-09-25,1744,1745,09:00,1695,13:13,1710,35100株,60百万円,-13,-0.75,1712.413円,179回,217.99億円
9270,2019-09-26,1711,1740,09:12,1697,15:00,1697,29300株,50百万円,-13,-0.76,1715.56円,133回,216.33億円
9270,2019-09-27,1697,1701,14:59,1660,09:30,1697,18000株,30百万円,0,0,1680.239円,101回,216.33億円
9270,2019-09-30,1730,1774,10:48,1707,09:04,1764,30200株,53百万円,+67,+3.95,1749.272円,159回,224.87億円
9270,2019-10-01,1800,1856,13:45,1785,09:05,1842,42700株,78百万円,+78,+4.42,1821.635円,221回,234.82億円
9270,2019-10-02,1805,1811,10:56,1780,09:26,1800,19800株,36百万円,-42,-2.28,1799.045円,119回,229.46億円
9270,2019-10-03,1787,1834,13:52,1774,09:00,1820,28300株,51百万円,+20,+1.11,1804.375円,157回,232.01億円
9270,2019-10-04,1820,1859,09:11,1812,10:38,1828,19200株,35百万円,+8,+0.44,1832.568円,99回,233.03億円
9270,2019-10-07,1813,1846,14:34,1767,09:10,1833,24500株,45百万円,+5,+0.27,1823.861円,98回,233.67億円
9270,2019-10-08,1851,1859,09:04,1831,12:30,1848,16400株,30百万円,+15,+0.82,1838.329円,78回,235.58億円
9270,2019-10-09,1850,1890,14:17,1850,09:00,1884,19700株,37百万円,+36,+1.95,1873.782円,113回,240.17億円
9270,2019-10-10,1890,1910,09:05,1881,13:45,1893,26300株,50百万円,+9,+0.48,1895.281円,150回,241.32億円
9270,2019-10-11,1891,1891,09:00,1784,11:12,1827,51100株,93百万円,-66,-3.49,1817.043円,299回,232.90億円
9270,2019-10-15,1805,1827,09:00,1727,14:59,1727,43900株,77百万円,-100,-5.47,1760.809円,274回,220.16億円
9270,2019-10-16,2127,2127,14:48,1980,14:52,2127,586400株,1231百万円,+400,+23.16,2099.136円,1348回,271.15億円
9270,2019-10-17,2077,2388,12:34,2062,09:00,2319,544600株,1223百万円,+192,+9.03,2245.908円,2737回,295.62億円
9270,2019-10-18,2399,2490,09:18,2217,13:15,2300,312700株,735百万円,-19,-0.82,2351.315円,1532回,293.20億円
9270,2019-10-21,2320,2434,13:41,2285,09:02,2397,128800株,304百万円,+97,+4.22,2363.53円,591回,305.57億円
